N_estimators,max_features,Max_depth,Min_samples_leaf,Min_samples_split,bootstrap,Error-
469,,257,44,6,False,0.13002720996758318
285,sqrt,242,22,13,False,0.13339236482820302
181,sqrt,244,49,12,True,0.14956462114667185
406,,193,40,9,True,0.1303549731755095
451,log2,70,19,16,True,0.1360598817918599
123,sqrt,96,19,18,False,0.13241232759780494
122,log2,298,12,16,True,0.1328541598886798
238,log2,196,5,10,False,0.12513715590060648
800,log2,104,7,6,True,0.12866541626284442
711,sqrt,67,34,9,False,0.13723332142670566
298,sqrt,147,30,2,False,0.1358838220947016
42,,95,27,14,False,0.1378009211382494
131,log2,36,44,7,True,0.14671052110231975
759,log2,100,2,20,False,0.1275554546332132
512,log2,175,40,12,True,0.1452287038317903
148,,161,32,5,False,0.13562730216452565
278,,228,18,7,False,0.1423982646346001
47,log2,205,42,17,False,0.14271507794287333
399,,274,7,2,True,0.1260960667249115
78,,188,25,10,False,0.13847423997871877
334,sqrt,236,50,4,True,0.14936369981477216
132,sqrt,91,24,11,True,0.1395017480963203
428,,51,26,19,True,0.12865152081321682
660,,196,41,2,False,0.12836572771280688
127,sqrt,196,32,5,False,0.1363125234056235
415,sqrt,125,22,11,False,0.13338033371947666
332,log2,278,45,12,True,0.1471835915448093
772,,153,43,6,False,0.13002720996758232
780,sqrt,29,17,12,True,0.13473745538786638
624,log2,255,32,3,False,0.13643473459484862
701,log2,187,49,17,False,0.141743147445529
114,sqrt,30,42,18,True,0.14642370580713857
635,sqrt,206,48,4,True,0.14840817621422536
72,log2,185,1,5,True,0.12475661954240692
611,,268,20,20,True,0.12825759129524064
757,sqrt,5,19,4,True,0.13582974909128712
227,sqrt,299,34,17,True,0.14354734473696804
300,log2,201,34,5,False,0.13707753577656645
271,log2,61,38,14,False,0.13823128915280428
348,log2,300,28,11,False,0.13497704415886871
104,log2,42,29,9,True,0.14285607390071514
408,,169,42,20,True,0.13106069352689165
469,sqrt,24,26,7,False,0.13492383840910205
74,,121,38,16,True,0.1300465130042939
707,log2,171,22,17,False,0.13286202903258423
203,,293,41,4,True,0.1306729667903573
469,log2,193,25,2,True,0.13917674923384943
726,,252,5,4,False,0.1475159507749219
46,,300,17,10,False,0.14367206223043927
198,sqrt,191,40,7,False,0.13929460238967892
157,,21,41,18,True,0.13075333130679323
198,,291,27,12,False,0.13780092113824946
590,log2,76,12,15,False,0.12890826318370072
457,,279,3,19,False,0.15452075762491638
673,,86,3,8,False,0.16189305895472705
577,,187,23,11,True,0.128394552481454
699,log2,166,32,9,True,0.14208721208424202
728,sqrt,168,49,10,True,0.1486327520213064
726,,275,24,20,True,0.12854989475565123
437,,40,50,4,False,0.1300272099675832
406,log2,63,21,4,False,0.1329685526192446
275,sqrt,69,36,2,True,0.14419198781800682
517,sqrt,206,13,9,False,0.12941626314875185
591,sqrt,56,31,4,False,0.13618436512682205
283,,183,27,6,True,0.12875948573202686
787,log2,79,23,20,False,0.13290469392476417
497,sqrt,164,10,17,True,0.13078639406198192
674,log2,75,28,5,False,0.13468760439506672
146,sqrt,284,8,13,False,0.12739404452024783
666,,26,42,4,False,0.12836572771280683
396,log2,92,12,3,True,0.13239133754634413
319,log2,78,17,17,False,0.13137642866977917
736,,287,33,3,True,0.1291837041282675
473,sqrt,175,30,12,True,0.14157735000352228
721,log2,,16,5,False,0.13067530892479454
444,sqrt,192,46,9,False,0.14097585074783478
