N_estimators,max_features,Max_depth,Min_samples_leaf,Min_samples_split,bootstrap,Error-
465,,10,37,4,True,0.12956830673385691
540,log2,292,1,17,False,0.12701596824429826
543,sqrt,165,13,19,False,0.12935482049580052
500,log2,68,46,13,True,0.14777249913992702
570,,282,27,19,True,0.1286863899966285
519,log2,202,1,9,False,0.12589264326480373
194,,101,46,10,False,0.13002720996758305
99,log2,254,31,3,False,0.1365068343060887
174,sqrt,219,35,7,True,0.14466531845058542
135,sqrt,132,31,14,False,0.13673227210434014
235,log2,281,8,3,True,0.13016326541100573
597,sqrt,66,7,5,False,0.12690794554666876
355,,104,48,14,False,0.13002720996758307
81,,48,38,19,True,0.1300600591536715
327,sqrt,213,3,15,True,0.1284644699804499
13,log2,71,50,20,True,0.1572871959203505
541,sqrt,17,27,6,False,0.134839901653608
676,sqrt,220,36,18,True,0.14347048148463004
156,,250,49,2,True,0.13604133167547608
248,log2,274,41,2,True,0.14587619393991544
667,log2,59,1,11,False,0.12567178905050455
539,sqrt,209,38,14,True,0.1440589788896218
774,log2,287,31,5,False,0.1360370774160882
728,log2,30,46,4,False,0.14099193164790366
277,sqrt,23,20,9,True,0.13692344242749677
395,,289,42,20,False,0.12836572771280685
713,,148,40,10,False,0.13172425044953598
157,,17,2,14,False,0.15651857709722092
438,,255,34,18,False,0.13364833130116605
184,,121,43,6,False,0.13002720996758302
77,,290,45,10,True,0.1335118084905676
40,sqrt,184,35,14,True,0.14834279181030038
781,sqrt,184,29,15,True,0.1407900711145047
233,,173,3,12,True,0.12532954902429164
525,log2,21,25,17,True,0.13915632074749615
403,log2,166,49,9,False,0.14174913030442143
542,sqrt,53,27,3,True,0.14000762376822729
123,sqrt,233,27,19,True,0.1415641008400361
522,sqrt,92,20,19,False,0.13247704955332643
179,sqrt,68,38,3,False,0.1392164431818299
353,sqrt,278,31,11,False,0.1363702108667628
792,sqrt,123,38,4,True,0.14418538068265122
601,log2,94,27,5,False,0.13471961991445347
746,log2,256,15,14,True,0.1336110020415949
560,sqrt,66,34,15,True,0.1428169472930417
261,,135,36,2,True,0.129521344351895
32,log2,101,7,15,False,0.12913726715289822
68,,140,27,20,True,0.1289987147132022
519,sqrt,114,27,15,True,0.1401063392514441
327,sqrt,173,42,18,False,0.13969932203195373
398,sqrt,52,35,13,True,0.14295701036262948
47,sqrt,223,50,14,False,0.14576083956810815
304,sqrt,73,49,5,True,0.14886412329526066
357,sqrt,17,45,15,False,0.14080984887102646
445,sqrt,6,15,12,True,0.13412587530327955
579,sqrt,83,45,9,False,0.1406614215983264
246,log2,179,39,11,False,0.13850770038915897
592,,212,50,13,True,0.13618688183939168
197,,273,14,20,False,0.14164123956142968
54,,18,48,8,False,0.13002720996758285
599,sqrt,108,49,5,False,0.14165961002003413
165,,202,22,19,False,0.13896852573520116
302,sqrt,97,11,15,True,0.13210047113104015
58,log2,267,50,11,True,0.15202744725375664
515,log2,158,9,15,False,0.12821504732926328
125,sqrt,120,45,3,True,0.14726225506937932
552,log2,222,38,2,True,0.14408377310655962
524,log2,176,5,4,False,0.1255996018757596
578,sqrt,31,46,14,True,0.14725526451656434
112,log2,143,19,11,False,0.1328526079567739
270,sqrt,148,24,7,False,0.13380854214470297
97,sqrt,127,14,8,False,0.12985483328268735
429,,13,12,2,False,0.14172918609939092
757,log2,90,42,10,True,0.14571277787919348
714,log2,265,14,4,False,0.12984891684810118
410,sqrt,276,4,2,True,0.12769192415029174
203,,267,44,6,False,0.130027209967583
17,,193,12,17,False,0.14172918609939056
687,,121,25,6,False,0.13847423997871836
156,sqrt,259,44,9,True,0.1470925884391882
525,,180,3,13,True,0.12590655114167904
54,log2,126,36,18,True,0.14714002353911793
105,sqrt,167,17,12,False,0.132170306765774
611,log2,2,4,16,False,0.1493385513800497
627,,191,30,7,True,0.12893653006310948
536,sqrt,140,39,9,True,0.14442220559041186
11,log2,150,23,6,False,0.14264306032617224
402,log2,211,29,4,True,0.14102845511185627
260,,189,29,20,True,0.1289656784867068
77,log2,293,47,9,False,0.14368313978108796
384,log2,273,38,2,False,0.13809263408168274
91,log2,162,14,10,True,0.13366356737527832
99,,100,49,8,True,0.13599775209224693
240,,232,24,15,False,0.13944748758629835
215,sqrt,129,29,19,False,0.13579117990719045
518,log2,71,4,5,False,0.12490330172302484
522,log2,163,43,10,False,0.14010472987804887
80,log2,,19,4,True,0.1366031839833382
542,sqrt,280,23,14,False,0.13332608082800687
568,,166,32,10,True,0.129029139784914
47,,149,39,11,True,0.13012731746470854
714,log2,118,34,15,False,0.13725265232320916
33,,35,43,8,False,0.13002720996758285
126,,173,12,3,False,0.14172918609939067
125,sqrt,176,26,8,False,0.13519131310331267
489,log2,127,50,18,False,0.14208354097158907
319,log2,76,5,10,True,0.12764877546631817
434,log2,61,14,9,True,0.13354168009088788
677,,16,20,8,True,0.1282882076640487
122,log2,207,42,15,False,0.14059310158011484
440,log2,80,34,2,False,0.13730079117894972
490,log2,185,10,19,True,0.13087555777507168
676,,60,23,2,True,0.12850067810069515
557,log2,162,15,4,False,0.13040888893428912
497,sqrt,214,1,5,False,0.12380024898192621
91,,242,42,16,True,0.13111336595808867
457,sqrt,226,50,4,False,0.14202885655489716
203,,49,13,4,False,0.14150098831770597
453,sqrt,130,26,4,False,0.13484353410574793
133,sqrt,185,11,4,True,0.13198553503828128
80,sqrt,280,47,11,False,0.1433798750492551
415,,55,19,16,False,0.14201249750676206
702,log2,269,40,2,False,0.1387157770834658
132,log2,239,14,8,False,0.1297536160290025
8,,134,45,5,False,0.13002720996758282
280,log2,289,49,20,False,0.1419991246286995
233,sqrt,40,47,15,False,0.14132728162282568
587,sqrt,287,37,14,False,0.13761720321382417
178,log2,189,46,15,True,0.14881533216144696
158,log2,205,1,12,True,0.12824762610462312
346,,82,29,17,True,0.12890568839032332
9,log2,268,16,4,True,0.13834023053512487
625,log2,183,35,4,True,0.1431876714651614
775,log2,239,38,16,False,0.13800101937870207
273,log2,259,39,13,False,0.13854930333246548
445,,255,33,19,True,0.12915272834284944
379,log2,294,35,11,True,0.14295104372425763
378,,285,28,6,True,0.12883906833331443
665,sqrt,67,34,2,False,0.13737752890335175
777,,214,6,3,True,0.12568543102727625
486,sqrt,61,43,11,True,0.14646266413671594
84,log2,9,45,3,True,0.1492446756385039
149,log2,110,14,6,False,0.12970550155551597
77,,82,34,5,False,0.13364833130116613
584,,20,17,16,True,0.12799792433959942
68,log2,214,12,17,False,0.13056561639911216
161,sqrt,51,24,13,False,0.13392516490424003
251,,109,24,6,True,0.12834972955052312
30,sqrt,134,38,8,False,0.14120939608839142
211,sqrt,208,39,8,True,0.14491088658486412
221,,285,23,15,False,0.13944748758629835
800,,274,42,3,False,0.12836572771280627
548,,23,31,8,False,0.13391047200014192
252,sqrt,130,9,4,True,0.1310654060420976
569,,22,41,4,False,0.12836572771280727
470,log2,276,39,11,False,0.1386883253712898
135,,138,26,11,False,0.13780092113824946
117,log2,216,9,12,True,0.13190523297169035
559,sqrt,245,20,18,False,0.132620736533498
128,log2,212,37,6,False,0.13839228540152304
572,log2,184,28,8,False,0.1347692966577203
592,log2,115,45,10,False,0.14067435054018865
613,log2,280,45,4,False,0.14085564850660673
452,log2,128,21,6,True,0.13694923935899128
305,log2,49,37,20,True,0.14427076194108382
709,sqrt,41,7,10,False,0.1268635032984171
73,sqrt,81,21,20,True,0.13785353452944607
59,log2,25,30,13,True,0.14521149102234632
283,log2,235,25,8,True,0.13998593241999382
421,sqrt,273,33,20,True,0.1425089458686696
703,,207,27,20,True,0.12874086112993907
264,log2,196,21,18,False,0.13297529699720467
203,log2,30,33,2,False,0.13700262126468607
705,sqrt,50,4,16,True,0.12875330168257493
176,sqrt,250,7,6,False,0.12684824529193028
181,log2,65,45,12,False,0.14214838857353948
532,,274,35,17,True,0.12916030905330247
433,log2,257,23,11,False,0.13362165833518572
194,,48,18,18,True,0.12797123024961085
320,log2,255,34,10,False,0.13736027838301254
622,,198,45,13,True,0.1330598954385095
198,,146,36,14,True,0.12944818395840477
521,log2,168,42,19,True,0.14588778438875205
725,log2,190,18,7,True,0.13545836782813842
32,,233,16,2,True,0.12727109107843196
745,,29,24,8,True,0.12855723003548986
139,log2,121,29,10,True,0.1425635363177851
397,log2,268,19,6,False,0.13162047008004063
693,,299,43,12,True,0.13153619925254798
372,,215,38,11,True,0.12990451109277226
155,log2,87,50,13,True,0.14993052914255475
491,sqrt,141,25,16,False,0.13440848998951896
78,log2,137,36,11,False,0.13928183567656155
55,,227,16,16,False,0.14298942857838906
566,sqrt,165,45,12,False,0.14081915733716605
774,sqrt,168,25,8,False,0.1339238235438627
449,,274,30,15,True,0.1289633668681335
213,log2,9,9,9,True,0.13066160872660929
239,,173,42,17,False,0.12836572771280647
103,log2,190,47,9,True,0.14810447614012287
152,,224,19,11,True,0.12842083894821454
390,,33,5,9,False,0.14751595077492166
325,log2,41,25,10,False,0.1346408133258814
532,log2,7,30,11,True,0.14142050986183582
452,sqrt,24,31,9,True,0.1419229351512017
785,,185,17,13,False,0.14367206223043918
707,log2,207,2,3,False,0.12348655873150922
621,sqrt,8,34,16,False,0.1372903683472061
113,log2,116,50,12,False,0.14337671672339433
675,sqrt,260,28,15,False,0.13467942877762998
640,sqrt,160,30,15,True,0.14160684068812687
620,log2,95,31,2,False,0.1361607452053139
96,log2,33,29,7,True,0.14276792509792388
249,,99,23,12,False,0.13944748758629832
704,,147,21,14,True,0.12846656657448985
85,log2,116,46,14,True,0.14956072409836382
113,,151,13,12,False,0.14150098831770583
74,log2,71,46,5,False,0.14394477772836142
542,sqrt,259,36,10,False,0.13787539145363484
410,,198,24,6,True,0.12842802247767915
578,log2,161,41,16,False,0.1394145060860926
731,log2,163,42,3,True,0.1458242336290897
505,log2,22,30,16,False,0.13594435474577837
528,log2,273,28,17,False,0.13482541672493523
624,sqrt,217,6,11,True,0.12829410318787418
413,,285,45,4,False,0.13002720996758318
105,log2,93,20,16,True,0.13682406607384837
163,,235,30,2,True,0.12911118093934623
390,log2,66,22,7,True,0.13761885890175088
196,log2,240,30,14,False,0.13669455952755127
739,log2,257,13,8,False,0.129141058575452
353,sqrt,67,11,15,False,0.12853984672091626
361,sqrt,101,25,2,True,0.13935335921149303
771,log2,240,13,3,False,0.12918005943230423
125,sqrt,55,5,18,True,0.13050742289320108
165,sqrt,266,2,16,False,0.12707524017368343
551,,215,36,20,False,0.13136924173380704
694,sqrt,211,20,17,False,0.13219605854008604
137,log2,129,23,16,True,0.13922763814768382
329,sqrt,89,45,13,True,0.14710585780933763
554,log2,288,25,16,False,0.1340938057580228
42,log2,229,22,17,True,0.13950987220486744
661,sqrt,299,32,20,False,0.13651417967419022
328,,116,48,5,False,0.130027209967583
677,,206,21,8,True,0.1284903598716753
459,log2,66,44,4,True,0.1468657028333417
497,,109,27,9,False,0.13780092113824938
297,log2,141,4,20,True,0.13085711329402047
276,,282,8,5,False,0.14541681403300327
741,log2,119,18,12,True,0.13540060821624578
333,log2,150,27,17,True,0.14094913254018995
196,log2,179,40,12,False,0.1393996221191813
570,sqrt,244,17,19,True,0.13512861439178023
44,log2,35,49,4,True,0.15245552498278445
544,sqrt,173,9,8,False,0.12808592751414058
469,log2,164,38,3,True,0.14425870915538638
705,log2,1,31,14,True,0.16257835796193074
480,,265,17,5,False,0.14367206223043924
381,sqrt,191,12,16,True,0.13252720456191044
350,,186,31,6,True,0.12898722542691687
407,,255,33,13,True,0.12919031684533713
434,log2,67,27,15,False,0.13497689595729576
550,log2,155,8,18,False,0.128163141194917
37,,121,6,12,False,0.1447148528946222
265,,264,6,11,False,0.14471485289462185
617,,26,15,20,False,0.1419969078657761
464,,243,49,11,True,0.1359686576056284
327,,263,13,6,True,0.12714296289318888
708,log2,120,28,9,False,0.1346981303794469
675,sqrt,96,49,10,True,0.14852404196958396
103,,121,34,6,True,0.1291548352321098
369,log2,246,29,12,True,0.14114428988004082
514,log2,205,48,16,False,0.14142002360411934
749,sqrt,112,21,11,True,0.13669167218572076
38,log2,199,2,4,False,0.12624817732102103
290,log2,188,35,8,True,0.14362634566714508
478,,194,20,8,False,0.14070621479586187
749,,148,14,18,False,0.14164123956142957
587,log2,164,17,11,True,0.13506150239371872
390,log2,,40,8,False,0.1386447245631711
428,log2,14,46,4,True,0.14747974662419078
330,sqrt,40,48,4,False,0.1416015984955261
607,,38,31,20,False,0.13391047200014186
35,,196,31,19,True,0.1287457825079792
547,log2,11,35,20,True,0.1431044931378251
221,sqrt,135,4,18,False,0.1274036283850456
40,sqrt,30,24,18,True,0.14175505024042231
23,log2,91,31,3,False,0.1415242899624516
574,,207,25,2,True,0.12859526006046393
351,log2,184,50,18,True,0.14914718039288624
40,sqrt,56,1,19,False,0.12943984223402846
684,sqrt,69,41,4,False,0.13933467866745308
301,,89,42,11,True,0.13107363470457786
369,,33,46,7,False,0.13002720996758313
317,,227,2,16,False,0.15116536921194737
423,sqrt,211,4,7,False,0.12471974653679418
302,log2,239,1,16,True,0.1282848872159593
700,log2,231,48,11,False,0.14133299129581403
421,sqrt,97,40,8,True,0.14500499436832467
610,sqrt,201,22,19,False,0.1329568231403313
680,,42,49,13,True,0.13589138486659028
308,sqrt,233,27,11,False,0.13506884403187872
344,sqrt,190,47,7,True,0.14795967172888028
43,,248,12,13,True,0.12662895097096225
142,sqrt,223,49,13,False,0.14294227967971931
144,,177,11,11,False,0.1431405373463584
538,log2,238,4,4,True,0.1274614346292026
231,sqrt,81,49,18,False,0.1422069943388924
522,,291,7,11,False,0.14504302869020844
717,log2,279,22,2,True,0.1374345156675664
466,log2,277,22,18,False,0.13332669622427107
252,log2,133,19,6,False,0.1316948211402039
647,sqrt,277,26,14,False,0.13443913462326704
531,,255,36,17,False,0.13136924173380704
165,log2,29,9,17,True,0.1311803888121377
44,,18,43,2,False,0.1300272099675828
114,,229,18,8,True,0.1284139830260753
19,,286,42,13,False,0.12836572771280644
247,,30,18,10,True,0.12805482278624492
729,,179,40,11,False,0.1317242504495359
663,sqrt,249,17,14,False,0.13099688788300076
253,,175,47,2,False,0.13002720996758296
445,log2,165,13,15,True,0.13285364411685505
312,log2,10,10,8,False,0.1283765354023676
274,sqrt,277,8,7,False,0.12670074003607598
143,sqrt,58,23,3,False,0.13379120121616686
371,sqrt,118,48,5,False,0.14125147504150914
