Alpha,Max_iter,Tolerance,fit_intercept,positive,warm_start,selection,Error-
96,8100,0.0001,False,False,False,cyclic,0.5669966624904693
96,1100,1e-08,False,True,False,cyclic,0.5669966624904693
81,600,1e-08,True,False,True,random,0.0784995079648782
66,4600,0.01,True,True,True,random,0.0784995079648782
81,8100,0.0001,False,True,False,random,0.5669966624904693
51,3100,1e-06,True,True,True,random,0.0784995079648782
51,1100,1e-07,False,True,False,cyclic,0.5669966624904693
86,9600,1e-05,True,False,False,random,0.0784995079648782
36,100,0.01,False,True,True,cyclic,0.5669966624904693
56,2100,0.01,True,True,False,random,0.0784995079648782
21,3100,1e-07,False,False,True,cyclic,0.5669966624904693
96,1600,1e-05,False,True,False,cyclic,0.5669966624904693
36,5100,0.001,False,True,False,random,0.5669966624904693
96,4100,1e-08,False,True,True,cyclic,0.5669966624904693
16,5100,1e-08,True,False,True,random,0.0784995079648782
81,9100,1e-05,False,False,True,cyclic,0.5669966624904693
36,8100,1e-07,True,False,True,random,0.0784995079648782
16,5100,1e-06,True,True,True,random,0.0784995079648782
76,8100,0.0001,True,False,True,random,0.0784995079648782
41,100,1e-05,True,False,False,random,0.0784995079648782
36,600,0.0001,True,False,False,cyclic,0.0784995079648782
76,9100,0.001,False,True,True,cyclic,0.5669966624904693
31,7100,0.0001,False,True,False,random,0.5669966624904693
41,3100,1e-07,True,False,False,random,0.0784995079648782
76,600,0.001,True,False,True,random,0.0784995079648782
91,9100,1e-08,True,True,True,random,0.0784995079648782
41,7600,1e-07,True,False,True,random,0.0784995079648782
21,7100,0.1,True,True,True,random,0.0784995079648782
41,4100,0.001,False,True,False,cyclic,0.5669966624904693
46,1100,0.1,True,True,True,random,0.0784995079648782
6,3600,0.1,True,True,False,random,0.0784995079648782
51,8600,0.1,True,False,True,cyclic,0.0784995079648782
1,7600,1e-07,False,False,True,cyclic,0.5669966624904693
71,6100,1e-08,False,True,True,random,0.5669966624904693
36,9600,1e-05,False,True,True,cyclic,0.5669966624904693
61,8100,0.01,False,False,False,cyclic,0.5669966624904693
51,1100,0.001,False,False,True,random,0.5669966624904693
76,3100,1e-07,False,False,True,cyclic,0.5669966624904693
36,4100,1e-07,False,True,False,random,0.5669966624904693
