N_estimators,max_features,Max_depth,Min_samples_leaf,Min_samples_split,bootstrap,Error-
770,,83,6,4,False,0.12054642116189052
170,,68,11,16,True,0.0937406760895465
100,sqrt,24,11,14,True,0.12476256322673336
61,sqrt,56,39,20,True,0.17764523295449164
78,sqrt,104,15,14,False,0.12805456956388256
111,sqrt,182,6,15,False,0.10940436785018637
453,sqrt,20,33,5,True,0.16195326902793217
480,,182,20,9,True,0.1027110044103966
800,sqrt,262,11,17,True,0.1207807702291503
526,sqrt,220,41,13,False,0.15206298492709555
618,sqrt,53,36,12,False,0.14629779464472092
408,,129,46,15,False,0.11839399998524103
7,sqrt,77,17,11,True,0.14926701013682275
717,,89,11,16,False,0.10729322799641294
715,log2,238,30,8,False,0.13899475983496823
340,sqrt,53,5,17,False,0.10750051472859086
254,,18,16,13,True,0.09776041961232183
487,,193,36,13,True,0.11937478299063538
679,log2,282,14,5,False,0.11916669215245206
460,log2,51,32,12,True,0.16079386454062572
714,log2,298,22,5,True,0.14325135875779957
192,sqrt,249,15,12,False,0.12366467687039033
82,log2,194,50,17,False,0.16879527653998458
131,,165,50,6,False,0.12312597639211596
213,sqrt,215,30,20,False,0.14223132286370757
228,sqrt,248,4,20,True,0.11538516362033129
353,,186,38,12,True,0.12200127967874679
575,,65,15,2,True,0.09689155579836069
259,log2,260,1,11,False,0.09849083922199853
173,sqrt,234,19,6,True,0.14315881939108277
649,,242,11,19,True,0.0939891589618674
604,sqrt,71,4,3,False,0.09865068417768359
788,sqrt,236,37,6,True,0.16528457268355914
109,,187,10,18,False,0.11277348002288472
375,sqrt,172,23,15,False,0.1323675806092703
414,log2,164,24,10,True,0.14947824176810418
201,log2,169,34,3,True,0.1660415451336096
411,,10,18,7,False,0.10453916129576662
192,log2,219,39,8,False,0.15366729314171337
184,,50,26,17,True,0.10575557020730962
789,log2,295,16,8,False,0.12192073147982642
625,log2,196,1,11,False,0.0982070261101432
438,log2,172,47,4,True,0.18050414133065837
690,log2,95,8,11,True,0.11495770915431164
639,sqrt,137,1,5,True,0.0938969043962458
166,sqrt,91,20,11,False,0.1299124091517452
263,log2,269,32,6,False,0.14368509824247458
192,sqrt,7,36,7,False,0.15055243207826474
9,sqrt,226,35,7,True,0.17953629685572448
86,log2,204,27,18,False,0.1403631296922855
393,sqrt,180,2,4,True,0.09498469017253804
433,log2,23,33,8,True,0.16236596665705302
105,sqrt,103,17,6,False,0.12592341942522448
479,sqrt,26,36,4,True,0.16687042952957787
195,,287,30,10,True,0.10969642846223425
686,sqrt,215,49,15,True,0.17977148831052978
435,sqrt,226,32,6,True,0.1614228808626503
402,sqrt,159,29,10,True,0.1565684186344756
378,log2,151,3,19,True,0.11318627056816821
301,,18,50,16,True,0.12563429605038076
246,log2,289,29,4,True,0.16002609508217994
254,,154,24,19,False,0.10456286908194723
263,sqrt,270,22,15,False,0.13172654309386286
277,,114,33,7,False,0.1119837262454807
314,sqrt,102,29,11,True,0.15730627149028006
425,sqrt,115,48,12,False,0.1610945301339902
509,log2,163,3,17,False,0.1039353251404378
47,,215,17,5,False,0.1052285824565417
720,,231,45,18,True,0.12541265889965483
537,log2,208,37,15,False,0.14818444292206243
94,log2,27,10,3,False,0.11768584115897156
437,sqrt,126,43,4,True,0.17604307941522332
558,sqrt,218,5,5,True,0.10579055638152042
316,sqrt,222,47,12,False,0.1604741931420726
431,,212,30,5,False,0.11039109226226747
361,,104,49,16,True,0.12556896817394744
326,,98,4,19,True,0.0919397730191132
173,,217,25,11,True,0.10526875888594334
320,sqrt,156,4,15,False,0.10487086757422925
322,,53,8,16,False,0.11509555787545632
470,log2,288,29,4,False,0.14012417954587364
187,sqrt,264,36,5,True,0.17105540778853198
144,log2,144,15,17,False,0.1237450763759892
31,log2,264,33,13,False,0.15830461582030267
481,,249,28,3,False,0.11028477059547614
789,sqrt,4,12,5,True,0.1609513846905833
554,,231,49,5,True,0.1255882848622348
606,log2,146,2,14,True,0.1055826248155241
153,log2,4,22,3,False,0.16692318602882703
74,,46,27,17,False,0.11031778695384671
696,sqrt,32,8,14,True,0.11500581355185895
71,log2,144,3,20,True,0.11594041607132914
518,sqrt,137,33,11,True,0.16035576155782408
698,log2,135,17,14,False,0.12344350116245219
741,sqrt,297,24,14,True,0.1457267840149802
696,,57,26,11,False,0.1082356881418111
16,log2,145,27,18,True,0.16366959255503458
653,,98,46,9,False,0.11839399998524107
584,sqrt,125,44,7,True,0.1750108819460381
11,sqrt,273,24,20,True,0.16061955513932055
430,log2,269,17,11,False,0.12478502099493467
775,log2,195,8,8,True,0.11499956439753205
642,sqrt,173,12,18,False,0.11554760043230705
777,,145,48,8,True,0.1255944116897115
706,sqrt,60,40,7,True,0.16927620107930663
248,sqrt,120,7,14,True,0.11631598145252549
734,,16,14,18,True,0.09596300998465335
21,sqrt,120,40,10,False,0.15818095655688022
577,sqrt,189,1,17,True,0.10825030061986081
449,,102,23,2,True,0.10448208722380108
675,,100,35,19,True,0.11777887073917837
528,log2,112,26,16,True,0.14977956814062873
129,,242,11,8,True,0.09379626155724607
81,sqrt,36,7,2,True,0.11835465998622015
642,sqrt,5,28,11,False,0.14950994827821842
398,,151,1,15,True,0.08955107358375718
627,,81,10,8,False,0.11277348002288462
