Alpha,Max_iter,Tolerance,fit_intercept,positive,warm_start,selection,Error-
61,8100,1e-07,False,False,False,random,0.5530732942939486
26,2600,1e-06,False,False,True,cyclic,0.47454135013648024
1,9600,1e-08,False,True,False,cyclic,0.12522231291049038
91,4600,0.001,False,True,True,random,0.5797867809035597
46,100,9.999999999999999e-05,False,False,False,cyclic,0.5422582256127189
26,100,0.01,True,False,False,cyclic,0.10368881156524956
91,1100,1e-07,True,True,True,random,0.10368881156524956
66,4100,1e-08,False,True,False,random,0.557083704553747
41,8100,9.999999999999999e-06,True,False,False,cyclic,0.10368881156524956
21,2600,1e-07,True,True,True,random,0.10368881156524956
61,5600,0.1,True,False,True,cyclic,0.10368881156524956
56,6600,9.999999999999999e-05,False,False,True,random,0.5492989528181365
31,5600,0.01,True,True,False,random,0.10368881156524956
51,2600,0.1,True,True,False,cyclic,0.10368881156524956
36,7100,9.999999999999999e-06,False,False,False,random,0.5357638664489865
46,8600,9.999999999999999e-05,True,False,False,random,0.10368881156524956
36,9600,0.1,True,False,False,random,0.10368881156524956
41,1600,1e-08,True,True,False,random,0.10368881156524956
46,6600,1e-07,True,True,False,random,0.10368881156524956
31,2600,1e-06,True,True,False,random,0.10368881156524956
91,9100,0.1,True,False,False,cyclic,0.10368881156524956
56,8600,0.1,False,True,False,random,0.5603296028448176
6,7600,1e-07,True,False,True,cyclic,0.10345382664877725
36,5100,1e-06,True,False,False,cyclic,0.10368881156524956
51,7600,1e-08,False,True,False,random,0.5457185332208047
26,3100,1e-07,False,False,False,cyclic,0.474541300531455
41,1100,1e-06,True,False,False,cyclic,0.10368881156524956
21,4600,1e-06,True,True,True,cyclic,0.10368881156524956
81,7600,0.1,True,True,True,cyclic,0.10368881156524956
26,9100,0.1,True,False,True,random,0.10368881156524956
16,8100,9.999999999999999e-05,True,True,True,cyclic,0.10368881156524956
86,2600,0.1,True,False,False,random,0.10368881156524956
56,9600,0.01,False,True,True,cyclic,0.5492989528181365
16,600,1e-07,False,True,True,cyclic,0.3675429190389262
46,7600,0.001,False,True,False,cyclic,0.5422582256127189
76,600,0.1,False,False,False,random,0.601360558979116
66,600,1e-06,False,False,False,random,0.557083704553747
76,100,1e-06,True,False,False,cyclic,0.10368881156524956
56,7600,0.001,False,False,False,random,0.5492989528181365
66,4600,1e-07,False,False,True,random,0.557083704553747
36,3100,1e-07,False,True,True,random,0.5357638664489865
1,5600,0.1,True,True,True,random,0.10368881156524956
71,600,1e-08,False,False,True,random,0.5613818730756215
36,7600,9.999999999999999e-05,False,False,True,random,0.5357638664489865
46,5100,0.001,True,False,False,random,0.10368881156524956
61,6600,1e-08,True,True,False,random,0.10368881156524956
86,8100,0.001,True,False,True,cyclic,0.10368881156524956
81,600,0.001,True,True,False,random,0.10368881156524956
86,7600,1e-06,True,True,False,cyclic,0.10368881156524956
81,5600,0.001,False,False,False,random,0.5704147555552591
51,9600,1e-06,True,True,True,cyclic,0.10368881156524956
66,9600,9.999999999999999e-06,True,True,False,cyclic,0.10368881156524956
91,7100,0.001,False,True,True,random,0.5797867809035597
6,7100,1e-08,False,True,False,random,0.2040154991712109
81,5100,0.1,True,True,True,cyclic,0.10368881156524956
26,4100,0.001,True,False,True,random,0.10368881156524956
6,4600,1e-07,True,False,True,cyclic,0.10345382664877725
96,7600,1e-07,False,False,True,cyclic,0.5848332990299294
96,5600,9.999999999999999e-06,True,False,False,random,0.10368881156524956
26,1100,1e-06,False,True,False,random,0.47454480748543926
76,7100,1e-08,False,False,False,random,0.565860322592435
81,3600,0.01,False,False,False,random,0.5704147555552591
21,4100,1e-06,True,True,False,random,0.10368881156524956
51,4600,9.999999999999999e-05,True,True,True,random,0.10368881156524956
91,3100,0.1,False,False,False,random,0.5935778194592487
11,3100,9.999999999999999e-06,False,False,False,random,0.2794422638599668
21,3600,0.01,True,False,True,random,0.10368881156524956
46,600,0.01,True,True,True,cyclic,0.10368881156524956
11,8100,1e-06,True,False,False,cyclic,0.10368881156524956
76,2100,1e-08,False,True,True,cyclic,0.565860322592435
6,6100,0.1,True,True,True,random,0.10368881156524956
61,7100,1e-06,True,False,False,random,0.10368881156524956
76,7100,0.001,True,True,False,random,0.10368881156524956
41,3100,1e-06,False,False,True,cyclic,0.538938032811326
96,6600,9.999999999999999e-06,False,True,False,random,0.5848332990299294
86,4100,1e-07,True,True,False,random,0.10368881156524956
81,5600,1e-08,False,True,True,random,0.5704147555552591
96,1100,0.001,False,True,True,cyclic,0.5848332990299294
96,2600,0.001,True,False,True,random,0.10368881156524956
46,3600,0.001,False,False,True,cyclic,0.5422582256127189
6,1600,0.01,False,False,True,random,0.20174441173820482
56,6100,1e-08,False,True,False,cyclic,0.5492989528181365
31,6600,1e-08,True,True,False,cyclic,0.10368881156524956
86,4600,0.1,False,True,False,random,0.5800930922132861
71,9600,1e-06,True,True,False,random,0.10368881156524956
26,2600,1e-08,False,False,False,cyclic,0.474541293020633
31,7600,1e-07,False,False,True,random,0.5084997037558764
16,1600,9.999999999999999e-05,True,True,True,random,0.10368881156524956
1,6100,0.1,False,False,True,cyclic,0.16121405750629686
76,7600,0.1,True,False,False,random,0.10368881156524956
81,9600,1e-08,True,True,False,cyclic,0.10368881156524956
11,9100,1e-06,False,False,False,cyclic,0.27945193984281413
61,600,9.999999999999999e-05,True,True,True,cyclic,0.10368881156524956
21,3600,1e-08,False,True,False,random,0.44072086019115136
11,600,0.01,True,True,False,cyclic,0.10368881156524956
11,1600,9.999999999999999e-05,False,True,False,random,0.2794978533004033
86,8100,1e-08,False,True,False,cyclic,0.5750896881426304
86,4600,0.01,False,True,True,cyclic,0.5750896881426304
96,1600,9.999999999999999e-06,True,False,True,cyclic,0.10368881156524956
76,5600,0.001,False,False,True,cyclic,0.565860322592435
21,9100,0.001,False,True,False,random,0.43824171008667695
76,5100,9.999999999999999e-06,False,True,False,cyclic,0.565860322592435
16,4600,0.1,False,True,False,cyclic,0.3526364952883671
21,7600,9.999999999999999e-06,True,True,True,random,0.10368881156524956
86,4100,0.1,True,True,False,random,0.10368881156524956
41,1100,9.999999999999999e-06,False,False,False,cyclic,0.538938032811326
46,6600,9.999999999999999e-06,True,False,True,random,0.10368881156524956
81,100,1e-07,False,False,True,random,0.5704147555552591
11,9600,0.1,False,False,False,random,0.3026498176096686
1,8600,9.999999999999999e-05,True,False,False,cyclic,0.09939967056000104
11,9100,0.1,True,True,True,random,0.10368881156524956
51,7100,1e-07,False,False,False,random,0.5457185332208047
41,4600,0.001,False,True,True,cyclic,0.538938032811326
61,4100,9.999999999999999e-06,False,False,False,random,0.5530732942939486
46,5600,0.001,False,True,False,random,0.5422582256127189
66,6600,0.01,True,False,False,cyclic,0.10368881156524956
36,2600,1e-07,True,False,False,random,0.10368881156524956
16,5600,0.001,True,False,False,cyclic,0.10368881156524956
56,4600,1e-08,True,True,True,cyclic,0.10368881156524956
26,2100,1e-06,False,True,False,random,0.4745407510507049
46,4100,9.999999999999999e-05,False,False,False,cyclic,0.5422582256127189
1,9600,0.1,True,False,False,random,0.09939967056000104
16,5100,0.01,True,False,False,cyclic,0.10368881156524956
96,1100,9.999999999999999e-05,True,False,False,cyclic,0.10368881156524956
1,2600,9.999999999999999e-06,False,False,False,cyclic,0.12522961431885743
81,4600,1e-08,True,False,True,cyclic,0.10368881156524956
1,2100,9.999999999999999e-06,False,False,False,random,0.12515128762237335
31,100,9.999999999999999e-05,False,False,False,cyclic,0.5085033090894893
26,5600,0.001,True,True,False,cyclic,0.10368881156524956
36,3100,9.999999999999999e-06,True,False,True,cyclic,0.10368881156524956
41,8600,1e-07,False,True,False,cyclic,0.538938032811326
96,2100,9.999999999999999e-05,True,False,False,random,0.10368881156524956
51,100,1e-06,True,True,False,random,0.10368881156524956
36,600,0.001,True,False,True,random,0.10368881156524956
86,8600,1e-06,True,True,True,random,0.10368881156524956
36,5100,9.999999999999999e-05,False,True,False,random,0.5357638664489865
71,5100,0.01,False,False,True,random,0.5613818730756215
1,9600,1e-06,True,False,False,cyclic,0.09939967056000104
61,4600,1e-07,False,False,False,cyclic,0.5530732942939486
86,6600,1e-06,False,True,True,cyclic,0.5750896881426304
86,5100,9.999999999999999e-06,False,False,False,cyclic,0.5750896881426304
81,2100,1e-06,True,False,False,random,0.10368881156524956
56,2100,9.999999999999999e-06,True,True,False,cyclic,0.10368881156524956
96,2600,0.01,True,False,True,random,0.10368881156524956
61,5100,0.1,True,False,False,random,0.10368881156524956
66,6600,1e-06,False,False,True,random,0.557083704553747
66,2100,0.1,True,False,False,random,0.10368881156524956
21,4600,9.999999999999999e-06,True,True,False,cyclic,0.10368881156524956
6,100,0.1,False,True,False,cyclic,0.1738380355411519
11,3100,9.999999999999999e-05,False,True,False,random,0.2791854651425866
96,5600,1e-06,False,True,False,random,0.5848332990299294
21,4600,9.999999999999999e-05,False,False,False,random,0.44035637900256364
66,600,0.1,True,False,False,random,0.10368881156524956
16,3100,9.999999999999999e-05,False,False,False,random,0.3680321794235766
81,6600,1e-06,False,True,True,random,0.5704147555552591
1,7100,1e-08,False,True,False,cyclic,0.12522231291049038
46,4600,0.001,False,False,False,random,0.5422582256127189
81,2100,1e-06,False,False,False,random,0.5704147555552591
11,9600,1e-06,False,True,False,random,0.279446337211878
41,1600,1e-08,False,True,True,random,0.538938032811326
96,1600,9.999999999999999e-06,True,True,False,cyclic,0.10368881156524956
31,6600,9.999999999999999e-05,False,False,True,random,0.5085712416229207
41,100,0.1,False,True,False,cyclic,0.538938032811326
26,9100,0.01,True,True,False,cyclic,0.10368881156524956
81,600,0.1,False,False,False,cyclic,0.5704147555552591
61,9100,0.01,True,True,False,random,0.10368881156524956
96,8100,9.999999999999999e-06,True,False,False,random,0.10368881156524956
11,4600,9.999999999999999e-06,True,True,True,cyclic,0.10368881156524956
6,6100,0.001,True,False,True,cyclic,0.10345382664877725
6,1600,9.999999999999999e-06,True,True,False,random,0.10368881156524956
16,4100,0.01,True,True,True,random,0.10368881156524956
81,1600,1e-06,True,True,False,random,0.10368881156524956
31,1100,1e-08,True,True,True,cyclic,0.10368881156524956
56,2600,1e-06,True,True,False,random,0.10368881156524956
26,9100,1e-07,True,True,True,cyclic,0.10368881156524956
46,100,9.999999999999999e-06,False,True,True,random,0.5422582256127189
21,2600,0.1,True,False,False,cyclic,0.10368881156524956
46,1100,0.001,False,False,True,cyclic,0.5422582256127189
91,8100,1e-06,False,True,False,random,0.5797867809035597
1,6600,9.999999999999999e-05,False,True,True,random,0.12460127894890957
76,4600,0.1,False,False,False,random,0.565860322592435
36,5600,9.999999999999999e-05,True,True,True,random,0.10368881156524956
91,100,9.999999999999999e-05,False,True,True,cyclic,0.5797867809035597
91,5600,1e-07,True,False,True,cyclic,0.10368881156524956
