criterion,splitter,Min_samples_split,Min_samples_leaf,Ccp_alpha,Max_depth,Min_weight_fraction_leaf,Error-
friedman_mse,random,10,2,0.5,10000,0.5,579.577967376284
absolute_error,best,73,10,0.6,1000,0.0,833.1052046874998
squared_error,best,100,2,0.4,1000,0.1,1140.2085111223591
squared_error,random,10,1,0.3,10000,0.7,619.6211930485935
absolute_error,best,10,2,1.0,1000,0.4,573.3594133246529
absolute_error,random,2,100,0.3,100,0.3,2000.6330051215275
absolute_error,best,2,10,0.0,100,0.4,597.8444680555557
friedman_mse,random,73,10,0.5,10000,0.3,981.6832965701878
absolute_error,random,37,100,0.8999999999999999,1000,0.7999999999999999,2000.6330051215275
absolute_error,best,73,5,0.7,10000,1.0,833.8876326388886
friedman_mse,random,73,10,0.4,10,0.4,981.6832965701878
poisson,random,100,73,0.1,10,0.8999999999999999,1734.271818667195
friedman_mse,random,2,2,0.0,100,0.3,546.0738390769675
absolute_error,random,5,10,0.2,100,0.8999999999999999,665.6566067708334
absolute_error,random,10,5,0.6,1000,0.8999999999999999,608.8576072048614
absolute_error,best,10,2,0.8999999999999999,10,0.3,570.7822305989584
poisson,best,100,5,0.8999999999999999,1,0.3,4621.412477750557
squared_error,best,5,5,0.7,100,0.3,531.5979134971233
absolute_error,random,100,100,0.6,1000,0.7999999999999999,2000.6330051215275
squared_error,random,73,1,0.4,1000,0.6,950.2375381478594
absolute_error,best,73,5,0.0,1,1.0,4382.020887326386
absolute_error,random,5,10,0.1,1,0.7,4476.269161631945
squared_error,random,100,1,0.7999999999999999,1000,0.4,1327.09484145571
absolute_error,best,100,100,0.7999999999999999,1000,0.3,1823.0971453125007
friedman_mse,random,10,10,1.0,10,1.0,734.3642728304619
squared_error,random,73,73,0.3,1000,0.3,1743.299629468297
squared_error,random,5,73,0.6,1,0.7,4621.412477750557
absolute_error,random,100,100,0.8999999999999999,1000,0.1,2000.6330051215275
absolute_error,random,37,100,0.2,10,0.3,2000.6330051215275
absolute_error,random,5,1,0.6,1000,1.0,588.4110013020833
poisson,best,5,10,1.0,10000,0.3,698.8252030734677
squared_error,best,2,2,0.2,10,0.0,597.4713295853776
squared_error,random,2,1,1.0,1000,0.5,678.9684668882247
absolute_error,random,100,100,0.4,10,0.1,2000.6330051215275
friedman_mse,best,5,37,0.1,10000,0.5,1274.5244298138905
squared_error,best,100,2,0.6,1,0.4,4621.412477750557
friedman_mse,random,100,73,0.8999999999999999,10,0.2,1777.7180705879396
poisson,best,2,73,0.0,1,0.8999999999999999,4621.412477750557
poisson,best,73,1,0.4,10,0.8999999999999999,882.3623866014088
absolute_error,best,10,73,0.4,100,0.4,1578.700003472222
poisson,random,73,2,0.6,10000,0.0,971.8859787792842
absolute_error,random,5,1,0.4,100,0.5,600.0881508680559
poisson,random,37,5,0.4,1,0.7,4621.412477750557
poisson,random,37,100,0.5,100,0.2,1877.6905554317395
absolute_error,random,2,5,0.1,1,0.5,4476.269161631945
poisson,best,73,73,0.5,10,1.0,1507.8067025010637
friedman_mse,best,2,2,0.7,10,0.0,618.7383401830044
absolute_error,best,2,10,0.6,1000,0.8999999999999999,604.1431403645835
friedman_mse,best,10,73,0.2,1,0.5,4621.412477750557
friedman_mse,best,100,100,0.7999999999999999,10000,0.7,2046.427826345221
squared_error,random,10,5,1.0,100,0.6,559.2421200972931
poisson,random,2,100,0.4,100,0.6,1877.6905554317395
friedman_mse,random,10,5,0.5,10000,0.4,666.2856435070213
absolute_error,random,37,100,1.0,1,0.0,4476.269161631945
absolute_error,random,100,1,0.1,10,1.0,1342.7987568576375
squared_error,random,5,2,0.8999999999999999,10,0.0,546.4917860024119
poisson,random,2,2,0.6,1000,1.0,642.9903705730467
absolute_error,random,37,1,0.8999999999999999,1,0.4,4476.269161631945
squared_error,random,5,100,0.7,1,0.0,4621.412477750557
friedman_mse,best,37,5,0.0,1,1.0,4621.412477750557
squared_error,best,73,10,0.7999999999999999,1,0.4,4621.412477750557
absolute_error,random,5,73,0.6,10,0.6,1589.2009057291664
squared_error,best,10,10,0.5,10,1.0,634.4279332332902
squared_error,best,2,10,0.3,10000,1.0,633.786887846528
poisson,best,5,1,0.4,10000,0.2,609.9168679462944
friedman_mse,best,2,5,0.0,10000,0.2,615.5397714121054
poisson,best,37,37,0.3,10000,1.0,999.8020415921658
absolute_error,best,100,73,0.7999999999999999,10,1.0,1578.700003472222
squared_error,random,37,5,1.0,100,0.6,824.2511301289478
poisson,random,37,10,1.0,100,0.2,856.9848056647415
poisson,random,37,37,0.3,1,1.0,4621.412477750557
absolute_error,best,5,2,0.4,10,0.3,577.4861562065975
friedman_mse,best,37,2,0.1,1,1.0,4621.412477750557
squared_error,best,2,2,1.0,1000,0.4,573.0849789015422
absolute_error,best,10,2,0.5,100,0.2,546.3454911024306
absolute_error,random,37,2,0.7999999999999999,1,0.4,4476.269161631945
squared_error,random,37,2,0.4,100,0.3,824.2481704956278
absolute_error,best,100,2,0.1,10000,0.3,1028.7384277777771
squared_error,best,73,37,0.1,1,0.5,4621.412477750557
friedman_mse,best,37,73,0.8999999999999999,100,0.4,1771.2515273695606
squared_error,random,73,73,1.0,1000,0.6,1743.299629468297
friedman_mse,random,73,37,0.4,10000,0.4,1112.5408816956367
squared_error,random,100,100,0.0,1000,1.0,2074.212339784653
absolute_error,random,5,5,1.0,1,0.7,4476.269161631945
squared_error,random,100,1,0.3,10000,0.8999999999999999,1327.09484145571
poisson,best,73,37,0.3,1,0.7,4621.412477750557
friedman_mse,best,73,1,0.5,1000,0.8999999999999999,1196.738028745796
squared_error,random,10,5,0.2,1,1.0,4621.412477750557
poisson,best,73,1,0.8999999999999999,1,0.3,4621.412477750557
absolute_error,best,100,5,0.1,1000,0.5,1028.7384277777771
squared_error,random,37,1,0.1,1000,0.7,824.2817479550233
absolute_error,best,37,73,1.0,10000,0.6,1578.700003472222
squared_error,random,100,5,0.5,1,0.4,4621.412477750557
friedman_mse,random,5,5,0.1,10,1.0,593.498179660907
squared_error,random,5,100,0.7999999999999999,100,0.8999999999999999,2074.212339784653
squared_error,random,2,10,0.5,1,0.2,4621.412477750557
poisson,random,100,1,0.3,10000,0.7,1241.1423258236298
friedman_mse,best,100,5,0.0,100,0.6,1625.152964640232
friedman_mse,random,10,100,1.0,100,0.5,2254.6038648579065
absolute_error,best,10,73,0.7,100,0.3,1578.700003472222
squared_error,random,2,100,0.1,100,0.1,2074.212339784653
poisson,best,73,1,0.7,10000,0.7,888.5198876018192
poisson,best,73,100,0.0,10000,0.7999999999999999,2109.088157804013
squared_error,random,100,73,1.0,10,1.0,1743.299629468297
absolute_error,best,2,2,0.5,1,0.8999999999999999,4382.020887326386
poisson,random,2,2,1.0,10,0.8999999999999999,670.4754426839406
squared_error,best,100,100,0.7,10000,0.4,1863.4080011095284
absolute_error,random,100,100,0.2,10,0.2,2000.6330051215275
friedman_mse,best,5,1,0.1,1,0.7999999999999999,4621.412477750557
squared_error,best,5,10,0.4,10000,0.4,633.7712627574967
absolute_error,random,73,1,0.4,1,0.8999999999999999,4476.269161631945
absolute_error,best,73,2,0.7,1,0.8999999999999999,4382.020887326386
poisson,random,10,10,0.7,1,0.2,4621.412477750557
poisson,random,2,10,0.5,1000,0.5,700.6286998750431
squared_error,best,100,5,0.1,1,0.4,4621.412477750557
friedman_mse,best,10,5,0.8999999999999999,1000,0.7,615.47528659148
poisson,best,2,73,0.6,100,0.2,1507.8067025010637
absolute_error,random,10,5,0.7999999999999999,100,0.1,606.6812647569443
poisson,random,100,2,0.7,1000,0.4,1251.5457673546766
poisson,best,100,10,0.5,10,0.0,1171.413600410776
poisson,best,2,5,0.6,10000,0.1,634.8355379730787
squared_error,best,10,1,0.8999999999999999,1,0.5,4621.412477750557
friedman_mse,random,2,10,1.0,10000,0.7999999999999999,836.1503665846797
friedman_mse,random,2,5,0.6,10000,0.8999999999999999,666.2856435070213
poisson,best,37,2,0.4,1,0.1,4621.412477750557
