criterion,splitter,Min_samples_split,Min_samples_leaf,Ccp_alpha,Max_depth,Min_weight_fraction_leaf,Error-
absolute_error,random,73,10,0.2,10,0.5,0.06546123232388802
poisson,best,100,10,0.1,100,0.8999999999999999,0.0784995079648782
squared_error,best,10,73,0.9999999999999999,1,0.1,0.0784995079648782
squared_error,random,10,100,0.9999999999999999,10,0.1,0.0784995079648782
friedman_mse,best,37,100,0.8999999999999999,100,0.6,0.0784995079648782
squared_error,random,37,5,0.4,10,0.2,0.0784995079648782
squared_error,random,5,73,0.0,1,0.4,0.07831089962947729
absolute_error,random,10,73,0.2,10000,0.1,0.06546123232388802
friedman_mse,best,37,1,0.7999999999999999,100,0.0,0.0784995079648782
poisson,best,37,5,0.7,10000,0.6,0.0784995079648782
absolute_error,best,100,100,0.5,100,0.9999999999999999,0.06546123232388802
squared_error,best,100,5,0.8999999999999999,1,0.7,0.0784995079648782
squared_error,random,73,1,0.0,10,0.4,0.06633977402653747
friedman_mse,best,100,1,0.1,1,0.0,0.0784995079648782
absolute_error,random,10,10,0.1,1,0.0,0.06546123232388802
squared_error,random,100,37,0.30000000000000004,100,0.1,0.0784995079648782
poisson,best,5,100,0.6,1000,0.30000000000000004,0.0784995079648782
absolute_error,random,37,2,0.7999999999999999,10,0.5,0.06546123232388802
poisson,best,5,1,0.7999999999999999,1,0.30000000000000004,0.0784995079648782
squared_error,random,10,10,0.9999999999999999,1000,0.7999999999999999,0.0784995079648782
squared_error,best,2,73,0.0,10000,0.8999999999999999,0.0697584923691588
poisson,random,100,10,0.6,10000,0.9999999999999999,0.0784995079648782
poisson,random,10,100,0.2,100,0.0,0.0784995079648782
poisson,best,10,10,0.0,1,0.9999999999999999,0.07103465412923189
poisson,best,100,1,0.2,100,0.5,0.0784995079648782
squared_error,random,10,2,0.7,10,0.6,0.0784995079648782
poisson,random,2,1,0.0,10000,0.2,0.0653143774456786
absolute_error,best,10,73,0.8999999999999999,10000,0.30000000000000004,0.06546123232388802
absolute_error,random,10,5,0.7,1000,0.8999999999999999,0.06546123232388802
absolute_error,random,10,10,0.6,1,0.30000000000000004,0.06546123232388802
