N_neighbours,weights,algorithm,Leaf_size,P,metric,Error-
3,uniform,kd_tree,40,3.5,l1,0.2036794402423351
7,distance,brute,90,1.5,cityblock,0.179665869100765
9,distance,brute,10,4.5,manhattan,0.1820219297041809
9,uniform,brute,80,4.5,manhattan,0.18448929469039
4,distance,kd_tree,20,1.0,l2,0.1829233076852519
6,uniform,brute,80,3.0,manhattan,0.1824286908144552
4,distance,brute,10,2.0,l2,0.1829233076852519
10,distance,brute,30,3.5,euclidean,0.1831650896223229
4,distance,brute,30,3.5,cityblock,0.1903513277592055
2,uniform,brute,90,1.5,l1,0.2166515574903162
5,uniform,kd_tree,10,3.0,cityblock,0.180616064992121
8,uniform,brute,30,4.5,l2,0.1845847535807664
9,distance,kd_tree,20,3.5,l1,0.1820219297041809
3,uniform,ball_tree,60,3.5,l2,0.1947935206838643
7,uniform,ball_tree,40,1.0,manhattan,0.1817534259539467
9,distance,ball_tree,100,3.5,euclidean,0.1820926177870094
9,uniform,ball_tree,10,1.0,manhattan,0.18448929469039
2,uniform,kd_tree,60,4.5,cityblock,0.2166515574903162
6,uniform,kd_tree,70,2.5,manhattan,0.1824286908144552
3,distance,kd_tree,30,4.5,cityblock,0.2016683556278732
6,distance,kd_tree,50,4.0,l1,0.1805726813870888
8,uniform,brute,50,3.0,l2,0.1845847535807664
5,uniform,brute,100,1.5,cityblock,0.180616064992121
7,uniform,ball_tree,50,4.5,l1,0.1817534259539467
6,uniform,brute,20,1.5,l1,0.1824286908144552
5,distance,brute,20,2.5,l2,0.177647527328034
4,uniform,ball_tree,100,2.5,euclidean,0.1847694463897262
5,distance,brute,60,3.5,l2,0.177647527328034
1,uniform,kd_tree,40,4.0,l2,0.260530962071178
10,uniform,ball_tree,50,1.0,l1,0.1838332064473896
1,uniform,kd_tree,20,2.0,manhattan,0.2557533106891094
4,distance,brute,100,1.5,cityblock,0.1903513277592055
8,distance,kd_tree,70,4.0,l1,0.1818027431879084
5,distance,ball_tree,10,4.5,l1,0.1798213335948623
5,distance,kd_tree,80,4.5,l1,0.1798213335948623
8,distance,kd_tree,60,4.0,euclidean,0.1817509472375206
8,uniform,kd_tree,30,2.5,manhattan,0.1843041866277603
10,distance,ball_tree,40,4.5,l2,0.1831650896223229
9,distance,ball_tree,10,4.0,l1,0.1820219297041809
8,distance,ball_tree,70,4.0,l2,0.1817509472375206
6,uniform,brute,70,3.5,l2,0.18289699444316
2,uniform,kd_tree,20,4.5,euclidean,0.2071549075948004
4,uniform,ball_tree,10,2.5,cityblock,0.1914698026803621
10,distance,kd_tree,10,1.0,manhattan,0.1811283460334864
6,distance,brute,70,1.5,l1,0.1805726813870888
7,distance,ball_tree,100,2.0,cityblock,0.179665869100765
4,distance,kd_tree,80,3.0,l1,0.1903513277592055
4,uniform,kd_tree,70,3.0,l2,0.1847694463897262
10,uniform,kd_tree,10,2.0,cityblock,0.1838332064473896
5,distance,kd_tree,70,3.0,cityblock,0.1798213335948623
1,uniform,ball_tree,10,3.0,euclidean,0.260530962071178
7,uniform,kd_tree,30,3.0,manhattan,0.1817534259539467
9,distance,brute,100,1.5,l2,0.1820926177870094
9,uniform,kd_tree,100,3.0,l1,0.18448929469039
9,uniform,ball_tree,90,2.0,euclidean,0.1849583363993707
7,distance,ball_tree,40,3.0,manhattan,0.179665869100765
8,uniform,brute,60,1.5,euclidean,0.1845847535807664
2,distance,brute,100,1.5,euclidean,0.2061001352419849
9,uniform,ball_tree,10,2.5,l2,0.1849583363993707
5,uniform,ball_tree,20,4.0,l2,0.1792068580477395
4,distance,brute,50,4.5,euclidean,0.1829233076852519
10,uniform,kd_tree,20,4.0,manhattan,0.1838332064473896
6,distance,brute,100,2.5,cityblock,0.1805726813870888
8,uniform,ball_tree,50,3.0,manhattan,0.1843041866277603
5,uniform,kd_tree,60,2.0,manhattan,0.180616064992121
5,distance,brute,70,4.5,manhattan,0.1798213335948623
6,distance,brute,40,4.0,euclidean,0.1803348713056112
9,uniform,ball_tree,80,1.5,l1,0.18448929469039
6,uniform,kd_tree,30,1.0,cityblock,0.1824286908144552
