Alpha,L1_ratio,fit_intercept,Max_iter,selection,warm_start,Tol,Error-
10.0,0.25,True,1331,cyclic,False,9.779747415894773e-07,0.7507500031242251
0.8,0.03,True,1992,cyclic,True,4.967463797790804e-07,0.7169162842190271
8.700000000000001,0.0,True,1735,cyclic,False,5.081969563833813e-07,0.7212457619989379
2.2,0.3,True,3449,random,False,1.4535982164243914e-07,0.7383924545530538
7.4,0.84,False,626,random,True,6.995799249793334e-07,1.7221123221992751
1.2000000000000002,0.67,True,2047,cyclic,False,8.303016505711656e-07,0.7393150088716687
0.1,0.93,False,4174,random,False,9.220373251009762e-07,0.7067239141703644
1.0,0.41000000000000003,False,3590,cyclic,False,5.596629148425175e-08,0.9506965497308347
2.9000000000000004,0.9400000000000001,True,4180,cyclic,False,9.304288757266243e-07,0.7521058831351612
8.9,0.44,True,1493,cyclic,True,2.769482235004579e-07,0.7603188476968359
10.0,0.23,True,2464,cyclic,True,2.582716719191851e-07,0.7494313694326102
1.7000000000000002,0.02,True,4580,random,False,5.8897951121252174e-08,0.7197147178658008
0.2,0.77,False,584,random,False,4.2819543242634004e-07,0.7210479253940232
2.3000000000000003,0.58,False,2029,random,True,7.696944386041186e-07,1.2259810503914113
4.1000000000000005,0.5,False,612,random,True,7.588693242122061e-07,1.3728559133345208
0.6000000000000001,0.76,False,1495,random,False,4.344289251737981e-07,0.824040347012279
6.6000000000000005,0.02,True,1686,cyclic,True,1.6393468305358106e-07,0.7269664408257454
2.5,0.86,True,4684,random,False,4.943740662436407e-08,0.7482745444882389
6.2,0.51,True,2242,cyclic,False,7.404309451363796e-07,0.7550747971771459
4.0,0.31,False,4877,random,False,4.501705461762952e-07,1.2975591813085448
1.1,0.07,False,2798,cyclic,True,3.3974223418397455e-07,0.9386992220501282
2.5,0.41000000000000003,True,1793,random,True,1.7721539741165597e-07,0.740817903438264
3.1,0.68,False,2250,cyclic,True,3.59755020633244e-07,1.3400027723801218
8.9,0.39,True,1374,cyclic,True,6.371874333865014e-07,0.7572387784648327
0.7000000000000001,0.12,True,1015,cyclic,False,5.500819008510566e-07,0.7226126738310394
0.30000000000000004,0.46,False,3438,random,False,1.1057968826408074e-07,0.7535794199656534
9.8,0.72,False,3809,random,False,3.233765090134596e-07,1.8929422014012216
