Alpha,L1_ratio,fit_intercept,Max_iter,selection,warm_start,Tol,Error-
1.8,0.11,False,3582,random,False,5.168296100319585e-07,0.31493355566852266
3.9000000000000004,0.21,True,4527,random,True,2.181258509365898e-07,0.07849950796487822
3.8000000000000003,0.2,False,3529,random,False,5.748286578334336e-07,0.5438686536322875
2.6,0.38,True,4736,random,True,9.523532338197545e-07,0.07849950796487822
3.8000000000000003,0.3,False,1890,cyclic,True,4.017581855590458e-08,0.5669966624904693
9.0,0.85,True,3912,random,True,5.991070472532965e-07,0.07849950796487822
7.9,0.7000000000000001,True,1997,random,True,6.881503879562487e-08,0.07849950796487822
4.4,0.75,True,1512,cyclic,False,6.661733699683666e-07,0.07849950796487822
4.2,0.38,False,4144,cyclic,False,9.507470914264355e-07,0.5669966624904693
6.6000000000000005,0.59,True,1806,cyclic,True,2.392107114047482e-07,0.07849950796487822
5.2,0.73,True,715,cyclic,False,3.015197410434682e-07,0.07849950796487822
0.5,0.47000000000000003,True,644,random,True,6.223523610227871e-07,0.07849950796487822
9.5,0.49,True,2874,random,True,2.1879062909547043e-07,0.07849950796487822
0.5,0.33,False,4762,random,True,5.051713653889008e-07,0.19068372619595372
9.3,0.23,False,3995,random,False,8.629946375992586e-07,0.5669966624904693
3.4000000000000004,0.02,False,2320,random,False,4.360167868018756e-07,0.3519746795417746
8.0,0.31,True,2481,cyclic,False,7.953415825828464e-07,0.07849950796487822
7.1000000000000005,0.56,True,2583,random,False,8.605756538313825e-07,0.07849950796487822
1.3,0.47000000000000003,True,2593,cyclic,True,3.5829905789598096e-07,0.07849950796487822
2.3000000000000003,0.29,True,1821,cyclic,False,7.541270099874706e-07,0.07849950796487822
0.7000000000000001,0.53,False,979,random,False,2.6353385775366374e-08,0.30382522897323927
8.9,0.86,True,1370,random,True,9.296870162540205e-07,0.07849950796487822
2.2,0.19,True,1773,random,True,3.880416810795325e-07,0.07849950796487822
1.7000000000000002,0.81,True,961,cyclic,True,7.212903766203825e-07,0.07849950796487822
8.9,0.1,True,3596,cyclic,False,1.1442384254216934e-07,0.07849950796487822
3.4000000000000004,0.01,True,1140,random,False,1.416507921601808e-07,0.07849950796487822
8.0,0.44,False,2758,random,True,9.846470441249454e-07,0.5669966624904693
3.8000000000000003,0.81,True,2115,random,True,2.892390776295884e-07,0.07849950796487822
5.9,0.99,False,4632,random,False,3.0259065330331106e-07,0.5669966624904693
4.0,0.27,True,3631,cyclic,False,9.059360829859575e-07,0.07849950796487822
5.7,0.12,True,1091,random,True,8.953587060454375e-07,0.07849950796487822
1.4000000000000001,0.8,True,3078,cyclic,False,1.7305332056043594e-07,0.07849950796487822
9.3,0.47000000000000003,False,3236,cyclic,True,3.6285289079593637e-07,0.5669966624904693
9.1,0.43,False,1797,random,True,8.344315269100119e-07,0.5669966624904693
5.2,0.72,False,4751,cyclic,False,8.819876895949151e-07,0.5669966624904693
5.300000000000001,0.87,False,3724,cyclic,True,6.418504863693442e-07,0.5669966624904693
6.5,0.66,False,1396,cyclic,True,4.007853003853051e-07,0.5669966624904693
7.5,0.51,False,3173,cyclic,True,1.962794284414025e-07,0.5669966624904693
1.0,0.81,False,600,cyclic,True,6.992611010780813e-07,0.5440409066853548
3.6,0.19,False,2608,random,True,7.934702891216205e-08,0.5206074375923667
6.1000000000000005,0.58,False,3087,cyclic,True,2.6544469345997055e-07,0.5669966624904693
5.0,0.07,True,3697,cyclic,True,7.826516940363041e-08,0.07849950796487822
2.8000000000000003,0.96,True,1840,cyclic,False,2.8286109846276453e-07,0.07849950796487822
0.2,0.15,False,860,cyclic,False,8.041639917385594e-07,0.11926043672833625
0.1,0.96,False,855,cyclic,False,7.954200298333037e-07,0.12430919666828567
4.2,0.81,False,4474,random,True,4.835827866839031e-07,0.5669966624904693
3.7,0.53,False,3213,random,False,6.928281250330516e-08,0.5669966624904693
9.600000000000001,0.38,False,2243,cyclic,True,1.914561916552362e-08,0.5669966624904693
5.6000000000000005,0.06,True,1381,random,True,1.3049313801997664e-07,0.07849950796487822
5.0,0.06,False,4679,cyclic,True,7.060663198406307e-07,0.4448068689790983
9.1,0.6900000000000001,False,3429,cyclic,False,2.04715814403987e-07,0.5669966624904693
2.2,0.18,False,1438,cyclic,False,1.630663557404568e-07,0.4008159467186611
9.5,0.39,True,1801,random,True,6.362162119789481e-07,0.07849950796487822
8.0,0.97,True,1811,cyclic,True,3.2430989509639543e-07,0.07849950796487822
2.5,0.7000000000000001,False,4400,cyclic,False,8.752583233750084e-07,0.5669966624904693
8.9,0.89,True,4276,random,False,1.5413402282012827e-07,0.07849950796487822
9.200000000000001,0.1,True,1843,cyclic,True,4.082315525982929e-07,0.07849950796487822
9.8,0.33,False,3157,cyclic,False,7.572928311425765e-07,0.5669966624904693
5.6000000000000005,0.6,True,3227,random,False,5.52894207364667e-08,0.07849950796487822
1.3,0.84,False,4626,cyclic,False,8.554209055581614e-07,0.5669966624904693
5.0,0.29,False,1776,cyclic,True,6.594432308640406e-07,0.5669966624904693
9.4,0.26,True,1458,cyclic,True,2.013454680874324e-07,0.07849950796487822
7.2,0.09,False,1211,cyclic,True,4.3784640083761567e-07,0.5324705690697654
9.200000000000001,0.59,True,2361,random,False,3.446986161420899e-07,0.07849950796487822
9.0,0.13,True,2665,cyclic,True,2.202480527988929e-07,0.07849950796487822
8.1,0.48,True,2854,random,True,2.184813560807914e-07,0.07849950796487822
4.800000000000001,0.06,False,4873,cyclic,True,7.23395035817338e-07,0.4387905950180891
