N_estimators,max_features,Max_depth,Min_samples_leaf,Min_samples_split,bootstrap,Error-
525,log2,163.0,35,13,True,0.1820143460874533
192,,92.0,50,12,True,0.1859788869184105
270,,232.0,20,18,True,0.1693596818378745
384,log2,126.0,31,14,False,0.1735497256298374
16,log2,181.0,13,9,True,0.1723787219472745
233,sqrt,24.0,13,2,False,0.1627606002265659
243,,243.0,7,12,True,0.1574216223856535
403,sqrt,280.0,25,16,True,0.1764489968934554
170,log2,27.0,45,15,False,0.179307844201698
38,log2,233.0,20,11,False,0.1692193108516051
606,,49.0,20,14,True,0.1698532751118952
591,,132.0,16,7,True,0.1665333965755144
348,,43.0,21,11,True,0.1704348259245348
57,log2,194.0,6,11,True,0.1604751174476983
658,sqrt,67.0,22,7,False,0.1683593366513859
778,sqrt,238.0,21,5,True,0.1738461605066389
636,log2,1.0,20,9,True,0.2059232446084923
585,,128.0,32,19,False,0.1792679799319768
255,,36.0,25,10,False,0.1781301751965195
232,,130.0,25,2,False,0.1781301751965195
465,sqrt,92.0,1,5,False,0.1522226180890317
273,sqrt,132.0,21,4,True,0.1746511107044192
798,,38.0,3,16,True,0.1582239943988323
378,,174.0,45,13,False,0.1883971381274035
487,,114.0,23,9,False,0.1758959549943699
128,,178.0,11,14,True,0.1609677796134494
426,,24.0,20,4,False,0.1745406259443053
571,,145.0,17,20,True,0.1673417806032286
72,,78.0,42,3,False,0.1859658899416423
137,,83.0,13,20,False,0.1759541479354586
211,log2,52.0,6,5,True,0.160504178915964
259,sqrt,279.0,6,16,True,0.162606487400176
260,log2,243.0,48,20,False,0.1805969524453171
528,log2,139.0,2,10,False,0.1545492183036873
15,,85.0,36,6,True,0.1817376643123801
165,log2,154.0,9,19,True,0.1648047342003391
79,,272.0,3,6,True,0.1523411964592057
292,sqrt,198.0,50,17,False,0.1813416368835253
151,log2,100.0,47,6,False,0.1798185125292958
529,,203.0,21,5,True,0.1706802114677722
346,log2,163.0,3,7,False,0.1536471746590226
237,log2,292.0,6,11,True,0.1604609369540074
346,,143.0,6,12,False,0.1863923967998447
407,,60.0,26,8,True,0.1747339785622083
73,,130.0,19,6,False,0.1753130093689317
706,sqrt,257.0,40,3,True,0.1848534485317353
611,,158.0,6,6,True,0.1567822933112627
485,,90.0,5,12,True,0.1565572603383281
99,log2,32.0,8,18,False,0.1594675966758393
735,sqrt,82.0,32,10,True,0.1803180653906947
577,sqrt,161.0,19,20,False,0.1669843048690831
725,log2,144.0,16,20,True,0.1697022815869858
328,log2,283.0,19,6,False,0.1669223747594808
140,,214.0,18,9,True,0.1680945660872906
112,log2,75.0,16,7,False,0.1641967874736522
136,sqrt,78.0,19,16,False,0.1671759434481111
175,log2,85.0,18,5,True,0.1712436900303414
477,log2,162.0,48,8,False,0.1808622251897282
69,log2,142.0,16,13,True,0.1696581172622515
787,sqrt,77.0,14,8,True,0.1685101458314309
234,sqrt,92.0,8,11,False,0.1585489004614804
316,,291.0,15,2,False,0.1789161031256149
571,sqrt,29.0,24,15,False,0.1698883949881505
349,,280.0,50,2,False,0.1869241465360712
432,log2,261.0,13,6,False,0.1632149688184055
757,sqrt,270.0,25,14,False,0.1703022916874199
557,,183.0,49,9,False,0.1878008603761626
719,sqrt,87.0,22,4,False,0.1683597092611876
516,log2,82.0,28,18,True,0.1779821974111422
259,log2,62.0,23,14,True,0.1758007249650741
551,,66.0,27,20,True,0.1755148397288938
492,,154.0,44,17,False,0.1876381333481823
122,,143.0,21,18,False,0.1751856938451506
453,sqrt,294.0,9,5,False,0.1591537199607578
522,,234.0,17,8,True,0.1674043904729592
35,sqrt,207.0,23,17,True,0.1765417311573859
661,sqrt,193.0,1,15,False,0.156650262961625
583,sqrt,17.0,26,20,False,0.1708446735871386
72,sqrt,237.0,21,15,True,0.1733406929155988
547,log2,145.0,34,19,False,0.1748127081652731
240,log2,158.0,36,15,False,0.1754578796555573
391,,194.0,28,12,True,0.1762042940898989
791,log2,285.0,27,12,False,0.1713457470858177
550,,252.0,15,6,False,0.1789161031256146
336,log2,114.0,14,10,False,0.1631802687876013
107,sqrt,244.0,34,18,False,0.1750902584043856
22,sqrt,87.0,42,3,False,0.1797991969006351
140,log2,269.0,12,4,False,0.1622343964492117
199,,270.0,29,14,True,0.1767753291792393
106,sqrt,300.0,39,14,True,0.1839443775974447
70,,130.0,37,18,True,0.1817205757097973
38,log2,100.0,29,2,True,0.1779021907686696
750,sqrt,135.0,34,13,False,0.1750001058199756
658,log2,183.0,18,12,True,0.1712474186868916
747,log2,266.0,23,16,False,0.1691061213513737
184,log2,287.0,12,10,False,0.16242429693861
34,log2,80.0,43,8,False,0.1787089965757129
218,,245.0,25,6,True,0.1736659485532149
234,,6.0,25,10,True,0.173759862534728
795,,257.0,34,16,True,0.1794235670893085
779,sqrt,40.0,2,3,False,0.1518696404411896
307,log2,229.0,18,20,False,0.1662563078136403
583,,231.0,23,17,False,0.1758959549943699
508,sqrt,67.0,10,6,False,0.1608961802902969
170,log2,252.0,12,18,False,0.1623849635026712
440,log2,15.0,11,2,False,0.1619232967776755
92,,171.0,26,13,False,0.1781301751965195
594,,42.0,10,11,True,0.1610061717635145
242,log2,117.0,34,3,False,0.174884231852849
697,sqrt,157.0,17,4,True,0.1706280024393532
92,log2,243.0,18,10,False,0.1670877615264524
137,,225.0,16,4,True,0.1665127876801755
370,log2,272.0,11,11,False,0.161758149022215
8,log2,94.0,3,15,False,0.1587091010525993
287,sqrt,87.0,28,7,False,0.1724088073236239
242,sqrt,284.0,25,16,False,0.1702741488906571
611,sqrt,75.0,6,18,False,0.1587394960261147
770,sqrt,21.0,18,14,True,0.1713846725627147
137,,175.0,28,15,True,0.1759371739805388
515,,9.0,25,15,True,0.1740070626379848
314,,66.0,13,3,True,0.1636810838118228
37,log2,118.0,6,2,False,0.1564085548969472
245,,198.0,33,2,False,0.1798665590213146
33,log2,180.0,20,11,False,0.1696167588778266
576,log2,216.0,49,6,False,0.1808783486225886
142,log2,144.0,7,2,True,0.1619537401260639
599,sqrt,192.0,47,13,False,0.1800825670753346
57,,248.0,26,16,False,0.1781301751965195
24,,27.0,20,8,True,0.1691685015702257
486,sqrt,258.0,43,17,True,0.1868691135480494
275,sqrt,142.0,2,15,True,0.1609076443879255
591,sqrt,218.0,15,6,False,0.1643762917992347
523,,143.0,39,2,True,0.1821052778780698
448,log2,152.0,4,10,True,0.1579702617923447
742,log2,61.0,28,13,True,0.178139542554797
713,sqrt,65.0,24,3,True,0.1757746829974584
5,log2,245.0,47,17,True,0.1973706737234739
707,,73.0,28,3,True,0.1761037143931255
81,log2,279.0,32,13,False,0.1742397771833622
326,log2,278.0,4,13,False,0.1567100736535788
118,log2,92.0,47,14,False,0.1797651074702031
680,sqrt,297.0,47,6,True,0.1879070566004843
453,,37.0,41,19,True,0.1829921126763504
432,,34.0,4,9,False,0.1883601503537293
100,log2,253.0,14,16,False,0.163421703117119
42,log2,40.0,11,5,True,0.165419406755238
118,sqrt,154.0,34,16,True,0.1809198793016858
776,sqrt,209.0,26,8,True,0.1771565488175971
441,sqrt,137.0,18,15,False,0.1661567535604731
536,log2,233.0,50,5,False,0.1812001593341468
454,log2,54.0,39,3,True,0.1843772544640662
65,log2,7.0,36,16,True,0.1824132276013047
632,log2,76.0,40,4,True,0.1848823477176493
581,,99.0,11,8,False,0.1794426784731549
705,,193.0,46,8,True,0.1848671305203746
668,log2,47.0,19,4,True,0.1719573694233958
147,,184.0,38,8,True,0.1817470385937265
221,sqrt,172.0,37,19,True,0.1833597230573603
106,sqrt,135.0,26,17,False,0.171307081594895
478,,86.0,9,16,False,0.1811547756023284
640,log2,286.0,12,15,False,0.1626928957813772
505,sqrt,125.0,8,19,False,0.1599522249558265
403,,105.0,15,6,True,0.1654909647248294
119,log2,134.0,32,11,True,0.1799614091156619
126,sqrt,126.0,45,18,False,0.1786467507115731
274,,133.0,50,13,True,0.1858622485414208
588,log2,39.0,41,13,False,0.1774727804443785
592,sqrt,219.0,6,7,True,0.1601536280850382
679,log2,149.0,13,16,False,0.1631516843220428
207,log2,240.0,27,15,False,0.1714756075481197
125,,172.0,16,3,False,0.1742469491204333
16,,134.0,29,7,False,0.1781609305432767
547,,178.0,38,12,False,0.1791220192491463
429,sqrt,169.0,14,16,True,0.168526381079506
406,,270.0,21,5,False,0.1751856938451505
662,sqrt,188.0,19,3,True,0.1719055732360692
263,sqrt,248.0,9,3,True,0.1643589634548906
720,,145.0,6,15,True,0.1582837039672498
638,sqrt,95.0,48,9,True,0.1882860964231006
163,,58.0,25,8,True,0.1740569708424738
673,,215.0,47,12,True,0.1851271711539177
161,,161.0,49,13,False,0.1878008603761626
607,,116.0,22,20,False,0.1768987206341798
542,,252.0,24,17,True,0.1731098448433499
537,sqrt,279.0,30,3,False,0.173229387759353
126,log2,216.0,2,20,True,0.163509152332621
343,log2,20.0,45,15,True,0.1874677991268747
708,,159.0,23,7,True,0.1722217599641814
283,,125.0,5,9,True,0.1556515770802927
62,,184.0,36,2,False,0.1810598233421106
767,sqrt,178.0,42,20,True,0.1861291686265717
549,,159.0,20,18,False,0.1745406259443053
475,sqrt,255.0,13,4,True,0.1674748618395551
230,,132.0,35,6,True,0.1800022314007238
73,log2,180.0,41,17,True,0.1851696124406386
285,sqrt,131.0,37,2,True,0.1834256229982272
550,sqrt,224.0,10,14,True,0.1647541922216001
139,log2,95.0,37,9,False,0.176022491685682
104,log2,63.0,14,7,False,0.163403323205954
477,,89.0,28,6,True,0.1762572834437877
367,,60.0,8,10,True,0.1588806587707943
207,log2,173.0,31,14,True,0.1799616541977052
205,,68.0,36,17,True,0.1805789713103323
73,,216.0,27,13,False,0.1781301751965195
176,sqrt,104.0,49,18,True,0.1890943668581989
457,sqrt,36.0,43,17,True,0.1867845971898881
504,sqrt,247.0,15,7,True,0.1691146524125368
548,sqrt,160.0,26,2,True,0.1769926904565925
498,sqrt,6.0,39,6,False,0.176522386535882
116,log2,40.0,11,14,False,0.160229548661862
743,log2,43.0,37,6,False,0.1758638528598305
626,log2,197.0,22,20,False,0.1683654319115572
654,sqrt,6.0,26,8,False,0.1708082423386638
529,,46.0,32,11,False,0.1792679799319767
731,log2,4.0,25,20,True,0.1768113313421375
462,sqrt,104.0,23,20,True,0.1754730537766378
626,sqrt,294.0,10,5,False,0.1607500467272865
714,log2,138.0,40,5,True,0.1848640618100468
485,sqrt,123.0,50,8,False,0.1813509851712722
500,,110.0,45,15,False,0.1883971381274033
439,log2,206.0,1,12,False,0.1551200307542336
355,log2,102.0,10,9,False,0.1608015030126472
511,log2,8.0,28,18,False,0.1720175464652121
166,sqrt,31.0,40,12,True,0.1852213146928238
130,sqrt,251.0,39,11,False,0.1767316701102898
519,sqrt,132.0,32,9,False,0.17385914440642
382,log2,73.0,46,18,True,0.187921798002754
606,,251.0,30,12,True,0.1772326693228911
529,log2,72.0,42,3,True,0.1860835807484477
275,sqrt,37.0,17,2,False,0.1653652095672625
674,,231.0,32,16,False,0.1792679799319767
42,sqrt,290.0,10,7,False,0.1599945201331543
299,sqrt,17.0,34,12,False,0.1749574037931418
220,sqrt,94.0,32,8,False,0.1737979269143551
66,sqrt,105.0,43,3,False,0.1775705175613841
244,,16.0,39,7,False,0.1830041519475732
340,,257.0,45,12,True,0.1846156969249535
301,log2,260.0,5,13,True,0.1603356530757972
721,sqrt,100.0,17,9,False,0.1655415320159783
49,log2,261.0,22,2,False,0.1686474627431391
547,,209.0,32,20,True,0.1785440011980926
362,log2,205.0,37,15,False,0.1756934419379312
695,log2,195.0,47,2,False,0.1800347751209837
659,,162.0,14,14,True,0.1648052505845276
714,log2,121.0,39,18,True,0.1841781317004021
15,,194.0,41,19,False,0.1861369559305595
529,sqrt,62.0,2,20,True,0.1629947612781133
673,log2,188.0,48,12,False,0.1808482467361269
63,log2,240.0,42,3,False,0.1777124359973541
315,log2,128.0,4,7,False,0.1540520386367032
654,log2,59.0,10,9,True,0.1644550891445617
519,log2,169.0,15,14,False,0.1644829334640879
535,,72.0,21,5,False,0.1751856938451505
632,sqrt,154.0,30,6,True,0.1793566741425085
534,sqrt,210.0,42,11,False,0.1777534265071384
363,log2,155.0,15,11,False,0.164235516061793
61,,94.0,35,6,False,0.1798867077451108
726,log2,38.0,36,10,True,0.1825363527303584
79,,174.0,36,20,True,0.1810967807967128
125,,31.0,24,4,False,0.1771234835605029
509,,182.0,18,5,True,0.1681892037666037
732,,168.0,19,2,False,0.1753130093689322
784,sqrt,35.0,7,6,True,0.1616767175322538
487,,158.0,18,17,True,0.1682001947680174
722,sqrt,67.0,18,10,True,0.1713237117284994
91,,188.0,12,3,True,0.1625556942933285
304,log2,205.0,2,7,True,0.1573316569166939
211,log2,158.0,24,10,True,0.1761852039077217
249,,246.0,32,8,True,0.1782253965036978
603,log2,35.0,17,17,False,0.165417584794556
521,,19.0,49,10,True,0.1856298191270712
482,log2,38.0,44,6,False,0.1789387414830915
562,sqrt,62.0,25,9,False,0.1703211095929594
263,log2,179.0,43,13,False,0.1780846288958743
631,sqrt,92.0,46,4,False,0.1796827143540134
387,log2,217.0,4,12,True,0.1601671435563089
712,,253.0,9,18,True,0.1600501800330265
241,,184.0,28,17,True,0.1760183518672845
245,log2,45.0,8,13,True,0.1634942309631899
368,log2,256.0,31,9,False,0.1736138020089567
65,sqrt,151.0,50,14,True,0.1890458543648456
483,log2,8.0,2,16,False,0.1577131028295784
689,,298.0,18,4,True,0.1681361125033586
536,,216.0,28,18,False,0.1781301751965193
53,,2.0,25,8,False,0.1926105717165582
646,,258.0,43,17,True,0.1838658042665594
216,,113.0,36,10,False,0.1810598233421106
87,sqrt,208.0,26,6,False,0.1715897194580062
276,log2,25.0,29,15,False,0.1730598357797232
125,,131.0,9,5,True,0.1597681613365333
621,sqrt,283.0,12,8,True,0.1662729242956343
38,sqrt,190.0,43,4,False,0.1788834994645014
396,,31.0,25,11,True,0.1740610680371563
378,sqrt,111.0,33,14,False,0.1740305073326257
690,log2,13.0,3,17,True,0.1616969195692514
401,log2,209.0,21,19,True,0.1739886544054197
289,,8.0,25,7,True,0.1738161383040817
777,sqrt,100.0,12,12,True,0.1663193049307769
61,log2,229.0,19,2,False,0.1684288961939459
270,log2,166.0,9,10,False,0.1592422592409844
252,log2,115.0,46,15,False,0.1795999658060694
352,log2,244.0,38,5,True,0.1837879008625001
114,sqrt,138.0,18,16,False,0.1668147439444184
435,sqrt,272.0,35,2,False,0.1751819193031858
462,sqrt,118.0,42,17,False,0.1777749033292884
282,,40.0,1,6,True,0.1515499205677597
73,sqrt,143.0,15,12,False,0.1640383372055042
589,log2,226.0,39,9,False,0.1765510721901755
623,log2,196.0,50,6,False,0.1811221465242762
593,sqrt,48.0,24,11,False,0.169823441718547
649,sqrt,83.0,36,20,False,0.1753817027275364
98,log2,299.0,20,7,False,0.1679314269547233
111,sqrt,145.0,12,5,True,0.1663383818429366
159,log2,215.0,7,11,True,0.1617777042323877
785,sqrt,207.0,40,19,True,0.185001202413595
552,log2,13.0,15,10,False,0.164529225312428
586,,105.0,26,6,True,0.1746738003220038
670,sqrt,218.0,2,17,False,0.1571449781233255
359,,44.0,5,10,False,0.1846688936003413
115,sqrt,157.0,18,7,False,0.1667720621657082
300,sqrt,267.0,1,3,True,0.153981884568034
267,sqrt,230.0,13,3,False,0.1630252199831268
11,log2,283.0,24,16,False,0.1743337616412662
219,sqrt,282.0,11,5,True,0.1656846263215578
219,sqrt,128.0,7,2,True,0.162081556194536
136,log2,94.0,44,4,True,0.1864858739512122
226,,39.0,10,5,False,0.1811257511317291
512,,244.0,50,19,True,0.1859722339728999
630,,118.0,48,12,False,0.1882462635970075
743,log2,1.0,40,11,True,0.2059107914694897
57,,82.0,8,7,False,0.1860132505659005
770,log2,9.0,11,4,False,0.1615431968311025
591,log2,42.0,41,17,False,0.1774586209551128
484,log2,296.0,45,8,False,0.1794913045419935
552,,146.0,40,19,False,0.1832803322706195
540,,298.0,11,9,True,0.1618523192293918
347,sqrt,215.0,45,4,False,0.1791724466594668
351,log2,54.0,2,18,False,0.1577365176496002
473,,200.0,29,2,True,0.1769254338390327
