N_neighbours,weights,algorithm,Leaf_size,P,metric,Error-
10,uniform,ball_tree,20,4.0,euclidean,0.6832708333343749
7,distance,ball_tree,40,2.0,l2,0.5315665111876327
1,distance,kd_tree,10,2.0,euclidean,0.684765625
10,uniform,kd_tree,90,4.0,cityblock,0.6647395833343746
9,uniform,ball_tree,50,3.5,manhattan,0.6679166666666667
7,distance,brute,70,4.5,manhattan,0.5108636724292452
8,distance,brute,10,4.5,l1,0.507371098993529
2,uniform,brute,70,2.5,l2,0.6957812500000002
6,distance,ball_tree,70,2.0,manhattan,0.5153293762054884
5,uniform,brute,100,2.0,l2,0.6930624999999997
6,uniform,kd_tree,60,4.0,manhattan,0.670091145833333
2,distance,brute,90,4.0,manhattan,0.5848476870291759
1,distance,brute,30,2.0,l2,0.684765625
10,distance,brute,100,1.0,manhattan,0.5008761952665414
7,uniform,ball_tree,100,2.0,euclidean,0.6890922619040178
7,distance,kd_tree,50,1.5,l1,0.5108701577852198
6,distance,brute,70,1.5,euclidean,0.5403637982697709
10,uniform,brute,100,1.5,l1,0.6647395833343746
6,uniform,kd_tree,30,4.5,l1,0.670091145833333
4,uniform,ball_tree,20,1.0,l2,0.6920898437500003
6,distance,kd_tree,100,4.5,euclidean,0.5403637960143456
6,uniform,kd_tree,50,2.5,euclidean,0.6945312499999999
1,distance,brute,70,4.5,euclidean,0.684765625
3,uniform,ball_tree,100,2.0,l1,0.671067708334375
8,distance,kd_tree,10,3.0,cityblock,0.507371098993529
5,distance,brute,10,3.5,cityblock,0.5206782701851727
6,uniform,kd_tree,60,1.5,l2,0.6945312499999999
9,uniform,ball_tree,80,1.0,cityblock,0.6679166666666667
5,distance,kd_tree,90,4.0,euclidean,0.5430242994208663
2,uniform,ball_tree,80,2.0,cityblock,0.6778906250000001
4,uniform,brute,30,1.0,cityblock,0.6734114583343751
3,distance,ball_tree,90,3.5,manhattan,0.5500716428485359
2,distance,brute,40,3.0,manhattan,0.5848476870291759
1,distance,kd_tree,10,4.5,euclidean,0.684765625
