criterion,splitter,Min_samples_split,Min_samples_leaf,Ccp_alpha,Max_depth,Min_weight_fraction_leaf,Error-
friedman_mse,best,5,5,0.7,10,0.8999999999999999,0.1812252062325326
squared_error,best,10,5,0.4,1,0.1,0.1812252062325326
absolute_error,random,37,73,0.2,10000,0.5,0.1820275805012005
friedman_mse,random,37,2,0.7,1,0.2,0.1812252062325326
absolute_error,random,100,73,0.0,10,0.2,0.1788033109692562
squared_error,random,73,10,0.7999999999999999,1000,0.7999999999999999,0.1812252062325326
absolute_error,best,2,2,0.0,1000,0.3,0.1591766910791309
absolute_error,random,100,100,0.6,10000,0.7999999999999999,0.1820275805012005
poisson,random,2,5,0.8999999999999999,10,0.7,0.1812252062325326
squared_error,random,37,10,0.1,1,0.3,0.1812252062325326
squared_error,best,5,10,0.2,10,0.8999999999999999,0.1812252062325326
squared_error,best,10,10,1.0,100,0.1,0.1812252062325326
friedman_mse,random,10,73,0.7999999999999999,10000,1.0,0.1812252062325326
friedman_mse,best,2,10,0.3,10,0.3,0.1812252062325326
squared_error,best,73,100,0.4,100,0.1,0.1812252062325326
friedman_mse,random,10,2,0.7999999999999999,1000,1.0,0.1812252062325326
poisson,best,100,1,0.7,10,0.2,0.1812252062325326
absolute_error,random,10,5,1.0,100,0.2,0.1820275805012005
absolute_error,best,100,1,0.7999999999999999,10000,1.0,0.1820275805012005
squared_error,random,100,5,0.5,1,0.8999999999999999,0.1812252062325326
friedman_mse,random,73,10,1.0,10000,0.7,0.1812252062325326
friedman_mse,random,100,1,1.0,10,0.6,0.1812252062325326
absolute_error,random,73,1,0.4,10000,0.4,0.1820275805012005
friedman_mse,random,2,100,0.0,10000,0.7,0.1811194273298408
friedman_mse,random,2,1,0.3,10000,0.0,0.1812252062325326
squared_error,random,2,5,0.1,10,0.7999999999999999,0.1812252062325326
poisson,best,10,10,1.0,10000,0.7999999999999999,0.1812252062325326
absolute_error,best,10,100,0.4,10,1.0,0.1820275805012005
