N_neighbours,weights,algorithm,Leaf_size,P,metric,Error-
6,uniform,ball_tree,80,1.0,manhattan,2027.9504441261574
3,uniform,ball_tree,50,3.0,l1,1793.3487778067138
8,distance,kd_tree,90,2.0,l1,1876.7372116495258
1,distance,brute,70,1.0,l1,1791.0471459201376
7,distance,brute,60,2.0,euclidean,2134.1858516831617
10,distance,brute,100,1.5,cityblock,1951.8121441524322
6,uniform,ball_tree,10,4.5,cityblock,2040.0451383101868
10,uniform,ball_tree,50,3.0,manhattan,2221.604000694444
9,distance,brute,90,1.0,l2,2251.1654642525027
10,uniform,ball_tree,50,2.0,manhattan,2221.604000694444
8,uniform,brute,90,4.0,euclidean,2431.830853960503
5,uniform,kd_tree,10,4.0,euclidean,2239.024763333332
10,distance,ball_tree,10,1.0,manhattan,1946.7212364825773
8,distance,kd_tree,10,4.5,l1,1882.9557514017954
3,distance,kd_tree,70,4.0,euclidean,1828.9583850670301
8,distance,kd_tree,30,1.0,l1,1886.1593655564777
5,distance,brute,70,4.0,euclidean,2024.2039060320442
8,distance,kd_tree,60,2.5,cityblock,1889.9467330307616
5,uniform,kd_tree,100,2.0,l2,2265.644910225694
8,distance,brute,90,3.5,euclidean,2195.7055218131463
8,distance,brute,90,2.5,l1,1874.3507312582553
2,uniform,ball_tree,50,2.0,l1,1803.526808723958
9,uniform,brute,20,4.0,cityblock,2144.443284876544
4,distance,brute,70,3.5,l2,1993.7315493432159
8,uniform,ball_tree,90,4.5,cityblock,2117.137365125868
8,distance,kd_tree,80,3.0,l1,1876.7372116495258
8,uniform,brute,100,2.5,manhattan,2102.5740177842877
6,uniform,kd_tree,40,4.0,l2,2248.350582479746
9,distance,brute,80,2.0,euclidean,2251.1654642525027
1,uniform,ball_tree,60,4.0,manhattan,1753.037386545138
8,uniform,brute,30,1.5,manhattan,2102.5740177842877
7,uniform,ball_tree,80,4.0,l1,2096.6250118799626
2,uniform,ball_tree,40,3.0,cityblock,1803.526808723958
2,distance,ball_tree,10,1.0,manhattan,1652.9657346540173
3,uniform,brute,90,2.5,euclidean,2020.7550107928228
1,uniform,ball_tree,10,2.0,euclidean,1784.7724940972216
2,uniform,brute,50,1.0,l1,1830.5843429253462
1,uniform,ball_tree,80,1.0,l2,1807.801232031249
8,distance,ball_tree,20,3.5,cityblock,1885.8825882740127
10,uniform,brute,100,4.0,manhattan,2206.127236953126
9,distance,kd_tree,30,1.0,euclidean,2237.6121744678294
10,distance,kd_tree,10,1.0,l2,2282.916024485629
6,uniform,kd_tree,40,2.5,l2,2248.350582479746
4,uniform,ball_tree,20,1.0,manhattan,1870.7606221571182
5,uniform,brute,50,2.5,cityblock,1950.6837943749986
