N_neighbours,weights,algorithm,Leaf_size,P,metric,Error-
1,uniform,brute,30,1.0,manhattan,1791.0471459201376
3,distance,brute,80,2.0,euclidean,1839.725079442549
7,distance,kd_tree,80,1.0,l2,2136.046792666857
4,distance,brute,40,2.0,l2,1993.7315493432159
9,uniform,ball_tree,90,3.5,cityblock,2155.0005701871155
3,uniform,brute,60,1.5,manhattan,1823.248381799769
3,uniform,ball_tree,20,3.5,l2,2008.6863985532395
2,uniform,brute,50,3.5,cityblock,1830.5843429253462
1,uniform,ball_tree,80,4.0,l2,1807.801232031249
1,uniform,kd_tree,80,2.5,l2,1803.4751172743045
8,distance,brute,50,2.0,euclidean,2195.7055218131463
10,distance,kd_tree,100,3.5,l2,2268.3651892722437
2,distance,kd_tree,50,1.5,l2,1772.6061603097514
4,uniform,ball_tree,50,1.5,l2,2223.3690593967003
8,uniform,brute,40,1.0,l1,2102.5740177842877
7,uniform,ball_tree,10,4.5,l1,2073.407395659723
4,uniform,brute,20,2.0,l2,2239.7651857638884
6,uniform,brute,80,2.0,cityblock,2008.6302943576397
5,uniform,brute,40,1.0,manhattan,1950.6837943749986
2,uniform,brute,50,1.5,l1,1830.5843429253462
10,distance,brute,10,3.0,l1,1951.8121441524322
3,uniform,ball_tree,20,3.5,cityblock,1844.8124570891207
4,distance,ball_tree,20,1.5,cityblock,1691.203721435676
10,distance,brute,10,2.0,cityblock,1951.8121441524322
1,uniform,ball_tree,90,3.5,cityblock,1770.3169246527764
3,distance,brute,40,3.0,l1,1656.968879695727
10,uniform,kd_tree,10,3.5,l1,2197.0468288888883
3,uniform,ball_tree,40,3.0,l1,1793.3487778067138
4,uniform,kd_tree,80,1.0,cityblock,1962.0898469184026
9,uniform,ball_tree,100,4.5,l1,2155.0005701871155
3,distance,kd_tree,90,4.0,manhattan,1683.3558692555373
7,uniform,ball_tree,50,4.5,cityblock,2070.20012077133
9,distance,brute,90,2.5,manhattan,1910.0890445415625
4,distance,kd_tree,20,3.0,cityblock,1690.060583128178
7,uniform,brute,50,1.5,euclidean,2342.8511312376013
2,distance,ball_tree,40,4.5,l2,1760.7120913859694
8,uniform,brute,60,3.0,euclidean,2431.830853960503
3,distance,brute,80,4.0,euclidean,1839.725079442549
7,distance,kd_tree,10,4.5,l2,2123.989742287355
5,distance,kd_tree,70,4.0,cityblock,1775.1983720533901
3,distance,ball_tree,80,4.5,euclidean,1836.7340332937351
6,distance,ball_tree,30,3.0,manhattan,1813.691610800661
1,distance,brute,40,2.5,euclidean,1836.4038850694428
8,distance,ball_tree,10,2.5,manhattan,1880.4271715149112
8,distance,brute,50,4.5,l1,1874.3507312582553
3,uniform,ball_tree,10,3.5,cityblock,1832.8816089699073
2,uniform,brute,40,1.0,cityblock,1830.5843429253462
10,distance,brute,60,4.0,l1,1951.8121441524322
5,distance,brute,30,2.5,l2,2024.2039060320442
2,uniform,kd_tree,60,2.5,euclidean,1901.6332897135412
3,uniform,ball_tree,30,3.5,l1,1844.8124570891207
10,distance,brute,70,1.5,manhattan,1951.8121441524322
5,uniform,kd_tree,30,2.5,l1,1977.4856436805553
7,distance,ball_tree,70,2.5,l2,2120.7686096089465
9,uniform,kd_tree,50,1.5,manhattan,2170.3056349633503
1,distance,kd_tree,60,2.5,cityblock,1761.487921093749
10,uniform,kd_tree,90,1.5,l1,2190.155959826388
5,uniform,brute,10,1.5,manhattan,1950.6837943749986
1,distance,brute,60,2.5,euclidean,1836.4038850694428
8,uniform,kd_tree,60,3.5,l1,2135.769260145398
7,distance,brute,50,2.0,euclidean,2134.1858516831617
2,uniform,ball_tree,100,1.5,manhattan,1768.6805753038188
8,uniform,kd_tree,80,3.0,l1,2112.4370436197914
1,distance,kd_tree,30,4.5,l2,1812.4701300347215
10,distance,ball_tree,80,3.0,manhattan,1946.0354861927472
6,distance,kd_tree,10,1.0,l2,2061.365675453786
10,uniform,ball_tree,60,1.5,cityblock,2221.604000694444
9,distance,kd_tree,10,1.5,cityblock,1918.9378561865976
4,uniform,ball_tree,50,3.0,euclidean,2223.3690593967003
4,uniform,brute,100,1.0,l2,2239.7651857638884
2,uniform,brute,60,2.0,l2,1945.2631954427081
9,uniform,ball_tree,10,2.0,l2,2486.2225469907416
10,uniform,brute,80,1.0,manhattan,2206.127236953126
