N_neighbours,weights,algorithm,Leaf_size,P,metric,Error-
8,distance,kd_tree,20,2.0,euclidean,2203.129621478878
3,uniform,kd_tree,10,2.5,cityblock,1831.7617546875
8,distance,brute,80,3.0,euclidean,2195.7055218131463
8,distance,ball_tree,90,3.0,manhattan,1879.0699672141134
10,distance,brute,100,3.5,euclidean,2280.158966955157
4,distance,ball_tree,60,1.0,manhattan,1720.378984970966
5,distance,ball_tree,80,2.5,manhattan,1779.9120537402744
8,uniform,ball_tree,50,1.5,l2,2435.5533852105023
8,uniform,ball_tree,50,2.5,manhattan,2132.931632866752
3,distance,brute,70,3.0,manhattan,1656.968879695727
2,distance,ball_tree,60,1.0,l2,1760.7120913859694
8,distance,ball_tree,30,2.5,euclidean,2197.512741244209
6,uniform,brute,70,2.5,cityblock,2008.6302943576397
1,uniform,kd_tree,100,3.0,l1,1765.9908098958317
8,distance,kd_tree,40,3.5,l2,2193.967451077846
1,distance,ball_tree,70,3.5,cityblock,1753.037386545138
10,distance,brute,30,1.5,l2,2280.158966955157
1,uniform,brute,20,3.0,l2,1836.4038850694428
10,distance,kd_tree,50,1.0,l2,2272.267255369584
8,distance,ball_tree,20,2.5,l2,2197.512741244209
5,uniform,kd_tree,80,4.5,l1,1999.0907696180557
10,uniform,brute,20,3.0,euclidean,2520.199073142361
4,distance,kd_tree,80,4.5,l2,1989.2597436662409
3,uniform,ball_tree,90,3.5,euclidean,2017.0979596643506
8,distance,kd_tree,70,4.0,l2,2193.967451077846
1,distance,ball_tree,20,2.5,cityblock,1760.5469022569441
3,distance,kd_tree,100,1.5,l1,1683.3558692555373
4,uniform,brute,100,2.0,euclidean,2239.7651857638884
6,uniform,brute,80,1.0,cityblock,2008.6302943576397
1,distance,ball_tree,70,3.5,l1,1753.037386545138
9,uniform,brute,70,3.0,l1,2144.443284876544
1,uniform,ball_tree,50,4.5,l1,1753.037386545138
4,uniform,kd_tree,20,3.0,manhattan,1871.2602496961806
7,uniform,ball_tree,70,3.5,euclidean,2322.4500251116087
1,distance,brute,80,2.5,euclidean,1836.4038850694428
3,distance,kd_tree,100,4.5,manhattan,1683.3558692555373
8,distance,ball_tree,50,4.5,l2,2196.0746746841023
5,uniform,kd_tree,20,3.0,l1,1977.4856436805553
9,uniform,kd_tree,20,1.0,l2,2475.4370201003094
9,distance,ball_tree,100,4.5,l2,2235.0265613075335
2,distance,ball_tree,60,4.0,manhattan,1677.6713205191795
6,uniform,ball_tree,70,3.5,manhattan,2023.1643656973383
10,distance,brute,40,3.0,cityblock,1951.8121441524322
6,uniform,ball_tree,40,3.5,euclidean,2252.9488588686345
3,distance,kd_tree,60,1.0,euclidean,1828.9583850670301
2,uniform,kd_tree,60,3.5,l2,1901.6332897135412
10,uniform,kd_tree,40,1.0,manhattan,2225.1774759374994
8,distance,brute,10,2.0,cityblock,1874.3507312582553
2,distance,brute,20,1.5,l1,1701.5679999462625
9,distance,brute,80,3.5,euclidean,2251.1654642525027
2,uniform,brute,20,3.5,l2,1945.2631954427081
4,distance,brute,40,2.0,l1,1720.0117581538016
10,distance,kd_tree,30,2.0,l2,2279.1875397313897
9,distance,ball_tree,30,2.0,manhattan,1929.1935067907311
5,distance,brute,60,2.0,cityblock,1745.6377063296723
7,distance,kd_tree,100,1.5,manhattan,1870.4310828852329
9,uniform,ball_tree,60,3.5,l1,2156.9729391396622
3,distance,brute,50,3.0,l1,1656.968879695727
4,uniform,brute,100,3.5,euclidean,2239.7651857638884
6,distance,kd_tree,20,3.0,cityblock,1816.4803952988357
5,distance,brute,10,4.5,l2,2024.2039060320442
9,uniform,kd_tree,100,2.0,l1,2166.948922714122
5,uniform,kd_tree,40,4.5,euclidean,2233.3423917187492
4,distance,brute,90,1.0,manhattan,1720.0117581538016
8,uniform,ball_tree,40,2.0,l1,2132.931632866752
7,uniform,kd_tree,50,2.0,euclidean,2331.20690559276
6,uniform,kd_tree,70,4.0,l2,2248.350582479746
6,distance,brute,80,4.0,l2,2077.9818756233954
5,distance,brute,70,1.0,cityblock,1745.6377063296723
2,distance,kd_tree,50,1.5,cityblock,1686.7215085978833
4,distance,brute,10,4.0,euclidean,1993.7315493432159
1,uniform,ball_tree,30,1.0,manhattan,1760.5469022569441
9,uniform,brute,50,2.0,cityblock,2144.443284876544
10,distance,kd_tree,30,2.5,cityblock,1956.4339113113822
1,distance,kd_tree,80,3.0,manhattan,1765.9908098958317
10,uniform,brute,90,4.0,manhattan,2206.127236953126
2,uniform,ball_tree,70,3.0,cityblock,1803.526808723958
4,distance,kd_tree,20,3.0,l2,1984.742005242371
4,distance,kd_tree,80,3.0,l1,1744.9690466920547
5,uniform,kd_tree,90,4.0,manhattan,1999.0907696180557
9,uniform,kd_tree,100,2.5,l1,2166.948922714122
3,uniform,ball_tree,30,3.5,cityblock,1844.8124570891207
6,distance,brute,40,2.5,cityblock,1795.5863513373456
7,uniform,brute,30,3.5,cityblock,2067.0389020585308
9,uniform,kd_tree,100,1.0,manhattan,2166.948922714122
5,distance,kd_tree,40,2.5,manhattan,1775.1983720533901
10,distance,kd_tree,90,1.0,cityblock,1943.275195637944
7,uniform,ball_tree,80,1.5,l1,2096.6250118799626
3,distance,ball_tree,30,1.5,cityblock,1672.300246507442
3,distance,brute,60,1.5,l1,1656.968879695727
1,uniform,ball_tree,70,2.5,l2,1798.3941256944433
7,uniform,brute,80,1.5,l1,2067.0389020585308
3,distance,kd_tree,80,1.5,manhattan,1683.3558692555373
1,uniform,kd_tree,10,2.0,euclidean,1790.1521249999992
1,distance,brute,80,2.0,manhattan,1791.0471459201376
6,distance,brute,60,4.0,manhattan,1795.5863513373456
8,uniform,kd_tree,100,1.5,manhattan,2112.4370436197914
9,distance,ball_tree,50,3.5,manhattan,1917.3352035640467
1,distance,kd_tree,40,2.0,cityblock,1761.487921093749
8,uniform,brute,90,3.0,l1,2102.5740177842877
10,uniform,kd_tree,90,4.0,manhattan,2190.155959826388
4,distance,brute,30,3.0,euclidean,1993.7315493432159
7,uniform,brute,90,4.5,l1,2067.0389020585308
6,uniform,kd_tree,80,1.5,manhattan,2023.2775563946761
2,distance,brute,90,3.0,l2,1811.1374082520078
3,distance,brute,50,3.0,euclidean,1839.725079442549
1,distance,brute,60,4.5,manhattan,1791.0471459201376
3,uniform,brute,100,3.0,manhattan,1823.248381799769
1,distance,ball_tree,100,4.5,l2,1807.801232031249
10,distance,kd_tree,80,4.0,l1,1943.275195637944
7,uniform,brute,70,4.0,manhattan,2067.0389020585308
2,uniform,brute,20,2.5,l1,1830.5843429253462
3,distance,brute,80,4.5,l2,1839.725079442549
1,uniform,kd_tree,50,4.5,l1,1761.487921093749
2,distance,kd_tree,80,1.0,l2,1804.6924956476091
4,distance,ball_tree,30,2.0,l1,1691.203721435676
4,distance,brute,80,2.5,euclidean,1993.7315493432159
1,uniform,brute,80,1.0,euclidean,1836.4038850694428
3,uniform,brute,80,2.0,l1,1823.248381799769
7,distance,ball_tree,90,1.5,cityblock,1868.378924289117
1,distance,brute,30,3.0,cityblock,1791.0471459201376
5,distance,brute,90,2.0,manhattan,1745.6377063296723
7,distance,kd_tree,10,2.5,l1,1848.3972050396528
5,distance,kd_tree,100,1.0,l1,1777.5854214971048
3,uniform,ball_tree,10,4.5,l2,2027.2156126446748
10,uniform,brute,20,3.0,l2,2520.199073142361
6,uniform,brute,20,4.0,l1,2008.6302943576397
7,uniform,kd_tree,40,4.5,euclidean,2331.20690559276
4,uniform,kd_tree,10,3.0,manhattan,1881.2995897786457
4,uniform,ball_tree,10,2.5,euclidean,2212.9040346137144
6,uniform,brute,100,1.5,manhattan,2008.6302943576397
8,uniform,kd_tree,20,2.5,l1,2125.6777195529517
3,distance,kd_tree,50,3.0,cityblock,1645.1727045920827
7,distance,kd_tree,30,3.0,l2,2120.7052200750977
9,uniform,ball_tree,50,1.0,l1,2156.9729391396622
5,distance,ball_tree,40,2.5,euclidean,2020.930750445818
10,uniform,ball_tree,60,1.5,l1,2221.604000694444
5,distance,kd_tree,80,3.5,l2,2046.6580647713658
7,uniform,kd_tree,30,4.5,manhattan,2070.75733843006
10,distance,kd_tree,90,1.0,l2,2268.3651892722437
4,distance,kd_tree,80,4.5,l1,1744.9690466920547
4,distance,kd_tree,20,3.5,euclidean,1984.742005242371
3,uniform,ball_tree,20,2.0,euclidean,2008.6863985532395
10,distance,brute,40,4.5,l1,1951.8121441524322
9,uniform,ball_tree,70,4.5,euclidean,2485.624877951389
5,uniform,brute,20,2.5,l1,1950.6837943749986
2,distance,brute,30,1.0,manhattan,1701.5679999462625
3,distance,kd_tree,70,2.0,l2,1828.9583850670301
1,uniform,ball_tree,50,1.5,euclidean,1798.3941256944433
7,distance,brute,40,4.0,l1,1841.7103345580026
1,distance,kd_tree,20,3.0,euclidean,1812.4701300347215
10,uniform,ball_tree,70,4.0,euclidean,2509.7706059635398
7,distance,ball_tree,100,1.0,cityblock,1868.378924289117
10,uniform,kd_tree,30,4.5,l2,2523.305626406249
4,distance,kd_tree,60,2.5,cityblock,1724.0911678639916
1,distance,ball_tree,40,4.5,manhattan,1753.037386545138
4,uniform,kd_tree,10,3.5,manhattan,1881.2995897786457
8,distance,brute,90,4.5,l1,1874.3507312582553
9,distance,brute,100,3.0,manhattan,1910.0890445415625
2,uniform,ball_tree,50,3.0,l2,1887.5869789496526
5,uniform,brute,30,4.5,l2,2239.2591297048602
7,uniform,brute,80,2.0,cityblock,2067.0389020585308
5,uniform,brute,50,4.0,l2,2239.2591297048602
3,distance,kd_tree,60,3.0,l2,1828.9583850670301
10,distance,kd_tree,90,3.0,cityblock,1943.275195637944
7,distance,ball_tree,50,2.5,euclidean,2120.7686096089465
9,uniform,ball_tree,30,3.5,cityblock,2178.897756471838
3,uniform,kd_tree,90,4.0,l1,1846.1428260416665
3,uniform,kd_tree,10,2.5,euclidean,2037.2817324363423
8,uniform,ball_tree,60,3.5,l2,2435.5533852105023
7,uniform,brute,30,4.5,cityblock,2067.0389020585308
4,distance,kd_tree,80,4.5,manhattan,1744.9690466920547
3,distance,kd_tree,30,3.5,euclidean,1835.8492916935184
9,uniform,ball_tree,70,2.5,l2,2485.624877951389
2,distance,kd_tree,30,2.5,l2,1763.3439759586413
7,distance,kd_tree,90,2.0,l1,1870.4310828852329
9,uniform,ball_tree,20,1.0,cityblock,2178.897756471838
7,uniform,brute,50,4.0,manhattan,2067.0389020585308
4,uniform,ball_tree,40,4.5,manhattan,1924.4711391059027
3,uniform,kd_tree,40,4.0,euclidean,2012.0593630497672
8,distance,ball_tree,10,1.5,euclidean,2196.9731911458493
1,distance,kd_tree,10,1.5,l1,1743.3374356770828
5,uniform,kd_tree,40,2.0,l2,2233.3423917187492
5,uniform,kd_tree,100,3.0,l1,1999.0907696180557
6,uniform,ball_tree,90,2.5,euclidean,2222.973464525464
8,distance,ball_tree,70,2.5,l1,1888.754433110601
10,distance,brute,40,4.0,manhattan,1951.8121441524322
1,distance,kd_tree,10,1.5,l2,1790.1521249999992
10,uniform,brute,100,4.5,l2,2520.199073142361
2,uniform,ball_tree,100,3.5,euclidean,1897.2401098090277
3,distance,brute,50,1.5,manhattan,1656.968879695727
4,uniform,kd_tree,60,1.5,l1,1929.8415603298608
10,uniform,kd_tree,100,1.0,euclidean,2508.4294943315963
6,distance,ball_tree,50,1.0,l1,1803.0829765475246
6,uniform,brute,90,2.0,l2,2270.693337427662
3,distance,kd_tree,100,1.0,cityblock,1683.3558692555373
7,uniform,kd_tree,80,3.5,manhattan,2100.0142818452396
2,uniform,ball_tree,40,3.0,euclidean,1887.5869789496526
10,uniform,brute,60,2.5,l1,2206.127236953126
5,uniform,brute,90,2.0,cityblock,1950.6837943749986
5,uniform,brute,100,3.5,euclidean,2239.2591297048602
10,uniform,kd_tree,20,2.0,manhattan,2210.693536631944
4,distance,kd_tree,50,3.0,cityblock,1724.0911678639916
2,uniform,brute,50,4.0,l2,1945.2631954427081
5,uniform,kd_tree,10,1.5,manhattan,1988.687916822917
7,uniform,ball_tree,50,3.0,manhattan,2070.20012077133
1,uniform,kd_tree,10,2.0,manhattan,1743.3374356770828
8,uniform,brute,20,1.0,l1,2102.5740177842877
5,distance,kd_tree,80,4.5,manhattan,1777.5854214971048
7,distance,brute,40,4.5,manhattan,1841.7103345580026
1,distance,ball_tree,80,2.5,manhattan,1770.3169246527764
5,distance,ball_tree,100,1.0,l2,2048.200702327406
7,distance,brute,90,2.5,manhattan,1841.7103345580026
6,distance,brute,10,1.5,manhattan,1795.5863513373456
10,distance,kd_tree,80,3.0,cityblock,1943.275195637944
4,uniform,kd_tree,100,4.0,l2,2233.8503789062497
1,distance,brute,60,2.0,manhattan,1791.0471459201376
3,uniform,ball_tree,10,2.0,l2,2027.2156126446748
2,uniform,brute,10,1.5,l1,1830.5843429253462
5,uniform,brute,50,3.5,euclidean,2239.2591297048602
3,uniform,kd_tree,60,1.0,l2,2012.0593630497672
10,uniform,brute,80,2.0,manhattan,2206.127236953126
3,distance,kd_tree,10,4.0,cityblock,1663.950318613134
2,distance,kd_tree,50,3.0,l2,1772.6061603097514
5,uniform,brute,40,2.0,cityblock,1950.6837943749986
5,distance,ball_tree,80,4.0,manhattan,1779.9120537402744
2,uniform,kd_tree,50,1.5,euclidean,1901.6332897135412
10,uniform,kd_tree,50,2.5,l2,2512.5004574739564
8,uniform,kd_tree,100,3.5,l1,2112.4370436197914
6,uniform,kd_tree,30,3.0,manhattan,2043.40409212963
8,distance,kd_tree,60,1.5,manhattan,1889.9467330307616
3,uniform,kd_tree,40,2.0,l2,2012.0593630497672
10,distance,kd_tree,20,1.5,l1,1956.4339113113822
6,uniform,ball_tree,60,4.5,manhattan,2023.1643656973383
2,distance,brute,30,4.5,manhattan,1701.5679999462625
5,uniform,brute,80,2.0,l2,2239.2591297048602
8,uniform,kd_tree,30,4.0,cityblock,2125.6777195529517
7,distance,brute,30,4.0,l1,1841.7103345580026
4,uniform,kd_tree,40,4.0,euclidean,2224.1487989800335
8,uniform,ball_tree,10,4.0,l1,2114.8178716362845
9,distance,brute,30,3.0,l2,2251.1654642525027
8,uniform,brute,80,1.5,cityblock,2102.5740177842877
10,uniform,brute,60,1.0,euclidean,2520.199073142361
9,distance,brute,60,3.5,l2,2251.1654642525027
3,uniform,brute,40,4.5,l1,1823.248381799769
8,distance,brute,10,1.5,l2,2195.7055218131463
4,uniform,brute,70,3.5,euclidean,2239.7651857638884
5,distance,ball_tree,50,1.5,l2,2020.930750445818
8,uniform,kd_tree,40,4.0,euclidean,2432.0288054578987
4,distance,brute,90,1.0,l1,1720.0117581538016
10,distance,ball_tree,100,3.5,euclidean,2269.0962053418443
6,uniform,kd_tree,60,2.5,cityblock,2016.47660931713
9,distance,ball_tree,10,2.5,l1,1905.840245015977
10,distance,brute,20,2.0,euclidean,2280.158966955157
3,distance,kd_tree,70,3.5,cityblock,1645.1727045920827
7,uniform,kd_tree,60,3.0,manhattan,2071.9265624875998
6,uniform,brute,90,3.5,manhattan,2008.6302943576397
7,distance,ball_tree,10,4.0,manhattan,1850.1673528201054
2,uniform,brute,60,3.5,euclidean,1945.2631954427081
8,uniform,kd_tree,40,1.0,l1,2135.769260145398
1,uniform,brute,70,2.0,l1,1791.0471459201376
9,uniform,brute,20,3.0,euclidean,2491.2347014660504
9,uniform,kd_tree,80,1.5,cityblock,2166.948922714122
5,uniform,kd_tree,50,3.5,l2,2233.3423917187492
7,uniform,brute,90,3.0,euclidean,2342.8511312376013
5,uniform,brute,40,1.5,cityblock,1950.6837943749986
4,uniform,ball_tree,50,2.0,cityblock,1924.4711391059027
7,uniform,kd_tree,80,1.5,euclidean,2350.047341902284
2,distance,kd_tree,60,2.5,manhattan,1686.7215085978833
9,uniform,brute,70,2.0,manhattan,2144.443284876544
3,distance,kd_tree,30,3.5,cityblock,1671.9144893893863
4,uniform,kd_tree,70,2.0,manhattan,1929.8415603298608
7,distance,kd_tree,60,2.0,manhattan,1849.3029886054837
3,distance,kd_tree,80,4.5,l2,1842.469849981785
10,uniform,kd_tree,40,3.0,manhattan,2225.1774759374994
10,distance,ball_tree,80,2.0,l2,2269.0962053418443
4,distance,ball_tree,100,3.0,euclidean,1986.895965735323
2,uniform,brute,20,4.5,euclidean,1945.2631954427081
8,uniform,brute,20,1.0,manhattan,2102.5740177842877
7,uniform,ball_tree,80,4.0,euclidean,2350.0134172991093
6,distance,kd_tree,80,1.5,euclidean,2051.1928526162437
6,uniform,brute,70,3.0,l1,2008.6302943576397
10,distance,ball_tree,40,3.0,l1,1964.962079186973
2,distance,ball_tree,90,1.5,l1,1656.163301002397
2,uniform,brute,30,2.0,cityblock,1830.5843429253462
3,uniform,kd_tree,50,3.5,l2,2012.0593630497672
1,distance,brute,80,1.0,cityblock,1791.0471459201376
2,distance,brute,90,2.5,manhattan,1701.5679999462625
3,distance,ball_tree,80,4.5,l2,1836.7340332937351
5,distance,ball_tree,40,1.5,cityblock,1776.6395064167145
1,uniform,ball_tree,10,4.0,euclidean,1784.7724940972216
9,distance,brute,50,2.0,euclidean,2251.1654642525027
1,uniform,kd_tree,10,1.0,l1,1743.3374356770828
10,uniform,kd_tree,30,1.0,l2,2523.305626406249
5,uniform,kd_tree,50,2.5,manhattan,1992.1702712152764
6,uniform,kd_tree,50,2.0,euclidean,2248.350582479746
1,uniform,brute,10,2.0,l1,1791.0471459201376
10,uniform,kd_tree,80,2.5,l1,2190.155959826388
7,uniform,kd_tree,20,3.0,l2,2322.590027740577
10,distance,ball_tree,90,3.5,l2,2269.0962053418443
7,distance,kd_tree,60,3.5,l2,2126.244115380411
2,distance,brute,100,3.0,manhattan,1701.5679999462625
1,distance,kd_tree,10,2.0,euclidean,1790.1521249999992
2,distance,ball_tree,100,3.5,l2,1772.547254848827
5,distance,kd_tree,50,1.5,cityblock,1775.1983720533901
5,uniform,ball_tree,80,1.0,l1,2003.5662850694446
6,uniform,brute,20,3.0,cityblock,2008.6302943576397
6,uniform,brute,60,4.0,euclidean,2270.693337427662
8,distance,kd_tree,80,2.0,l2,2199.6143082257336
1,distance,ball_tree,50,4.0,l1,1753.037386545138
5,uniform,ball_tree,50,2.5,manhattan,2001.5330609722214
8,uniform,kd_tree,60,1.0,euclidean,2432.0288054578987
3,distance,brute,60,4.0,cityblock,1656.968879695727
7,distance,brute,20,2.0,euclidean,2134.1858516831617
10,distance,kd_tree,10,2.0,euclidean,2282.916024485629
8,distance,brute,80,1.5,manhattan,1874.3507312582553
10,distance,ball_tree,90,1.5,euclidean,2269.0962053418443
3,uniform,kd_tree,70,1.5,l2,2012.0593630497672
8,uniform,kd_tree,10,3.0,l1,2120.1724757486973
9,distance,ball_tree,70,3.0,manhattan,1917.3352035640467
1,uniform,brute,10,1.5,manhattan,1791.0471459201376
9,distance,kd_tree,60,3.5,manhattan,1923.0347524108893
9,distance,ball_tree,70,4.0,euclidean,2245.0142328632637
3,distance,brute,70,2.0,manhattan,1656.968879695727
3,distance,brute,60,2.0,l1,1656.968879695727
6,distance,brute,60,1.0,l2,2077.9818756233954
6,uniform,kd_tree,20,3.0,l2,2265.4236767939815
6,distance,ball_tree,30,1.0,l2,2067.7690784965093
4,distance,kd_tree,90,4.5,manhattan,1744.9690466920547
9,distance,ball_tree,40,3.0,l1,1917.3352035640467
5,uniform,ball_tree,40,2.5,l2,2231.1191915451386
6,uniform,kd_tree,10,3.5,cityblock,2035.8157682002325
2,uniform,brute,100,1.0,cityblock,1830.5843429253462
3,uniform,brute,40,4.0,manhattan,1823.248381799769
4,distance,brute,20,3.5,manhattan,1720.0117581538016
9,distance,kd_tree,40,1.0,cityblock,1923.0347524108893
5,distance,kd_tree,60,3.5,euclidean,2022.6034508728214
3,uniform,kd_tree,100,4.5,cityblock,1846.1428260416665
7,distance,ball_tree,30,1.5,euclidean,2122.042996468606
9,distance,ball_tree,60,3.5,manhattan,1917.3352035640467
2,uniform,ball_tree,20,2.5,l2,1876.3613934895825
8,uniform,brute,50,4.0,cityblock,2102.5740177842877
1,uniform,ball_tree,60,2.5,l2,1798.3941256944433
6,distance,ball_tree,40,1.5,manhattan,1803.0829765475246
5,distance,brute,40,3.5,euclidean,2024.2039060320442
10,distance,kd_tree,100,4.0,cityblock,1943.275195637944
10,uniform,kd_tree,40,2.5,euclidean,2512.5004574739564
6,uniform,kd_tree,80,3.5,manhattan,2023.2775563946761
6,distance,ball_tree,30,4.5,euclidean,2067.7690784965093
2,uniform,brute,70,1.0,l1,1830.5843429253462
8,distance,ball_tree,20,4.5,manhattan,1885.8825882740127
9,distance,kd_tree,10,1.5,euclidean,2247.1773079148597
3,distance,kd_tree,10,2.5,euclidean,1848.8698939863034
2,uniform,brute,50,2.0,euclidean,1945.2631954427081
9,uniform,kd_tree,70,2.0,l1,2170.3056349633503
10,distance,brute,10,1.5,l2,2280.158966955157
6,distance,kd_tree,90,4.0,manhattan,1810.319451528708
4,distance,brute,30,3.5,euclidean,1993.7315493432159
1,uniform,ball_tree,30,2.5,manhattan,1760.5469022569441
4,distance,ball_tree,30,1.0,manhattan,1691.203721435676
5,uniform,ball_tree,100,4.0,l1,2003.5662850694446
10,uniform,brute,60,4.0,l1,2206.127236953126
3,uniform,brute,20,3.0,cityblock,1823.248381799769
