N_neighbours,weights,algorithm,Leaf_size,P,metric,Error-
7,uniform,ball_tree,100,2.5,euclidean,2350.0134172991093
7,distance,ball_tree,60,3.5,l2,2120.7686096089465
3,uniform,brute,40,4.5,manhattan,1823.248381799769
7,distance,ball_tree,100,1.5,euclidean,2135.8919789933834
9,uniform,ball_tree,10,4.0,manhattan,2139.820394714509
7,uniform,kd_tree,50,2.5,cityblock,2071.9265624876
4,distance,brute,40,4.5,euclidean,1993.731549343216
1,uniform,kd_tree,100,4.5,l1,1765.9908098958315
9,distance,brute,100,4.0,manhattan,1910.0890445415623
1,distance,brute,20,3.0,l1,1791.0471459201376
7,distance,ball_tree,40,1.5,l2,2120.7686096089465
10,distance,brute,80,1.0,l2,2280.158966955157
1,uniform,ball_tree,70,4.5,l1,1753.037386545138
4,distance,ball_tree,80,1.0,l1,1744.4517429021312
8,distance,brute,30,3.0,l1,1874.3507312582556
8,uniform,brute,20,3.0,l2,2431.830853960503
1,distance,kd_tree,10,4.5,l2,1790.1521249999992
8,distance,kd_tree,90,3.5,l2,2199.6143082257336
2,distance,brute,50,1.0,l2,1811.137408252008
6,distance,brute,30,4.5,euclidean,2077.981875623396
5,distance,kd_tree,70,3.0,manhattan,1775.19837205339
2,uniform,brute,50,4.0,euclidean,1945.263195442708
9,uniform,brute,70,2.5,cityblock,2144.443284876544
2,distance,brute,30,3.5,euclidean,1811.137408252008
8,uniform,kd_tree,80,2.0,l1,2112.4370436197914
5,uniform,kd_tree,60,1.5,manhattan,1992.1702712152764
8,distance,kd_tree,100,4.0,manhattan,1876.7372116495255
3,uniform,kd_tree,40,4.0,cityblock,1794.8133527488433
9,uniform,ball_tree,80,3.5,l2,2476.3952048707565
10,uniform,ball_tree,30,3.0,cityblock,2204.087760130208
1,uniform,kd_tree,50,3.5,l2,1806.8446602430545
8,distance,kd_tree,30,1.5,cityblock,1886.1593655564775
6,distance,brute,80,1.5,euclidean,2077.981875623396
4,uniform,brute,80,2.5,euclidean,2239.7651857638884
9,uniform,ball_tree,50,2.5,l1,2156.9729391396622
7,uniform,kd_tree,80,3.5,euclidean,2350.047341902284
8,uniform,ball_tree,50,1.0,euclidean,2435.5533852105023
9,distance,brute,70,2.0,l2,2251.1654642525027
4,uniform,brute,40,1.5,euclidean,2239.7651857638884
5,uniform,ball_tree,10,1.5,l2,2241.682099809026
1,distance,kd_tree,100,1.0,euclidean,1803.4751172743045
1,distance,brute,10,1.5,manhattan,1791.0471459201376
7,uniform,kd_tree,60,4.5,l2,2331.20690559276
8,uniform,kd_tree,70,2.5,manhattan,2135.769260145398
7,uniform,kd_tree,10,3.0,cityblock,2067.639375905259
4,uniform,ball_tree,10,3.5,manhattan,1892.103025651042
8,distance,kd_tree,10,4.5,cityblock,1882.9557514017956
2,distance,kd_tree,60,1.0,l1,1686.7215085978833
5,uniform,ball_tree,50,3.0,l1,2001.5330609722212
1,uniform,ball_tree,20,4.5,euclidean,1807.2712274305547
7,distance,ball_tree,10,2.0,l1,1850.1673528201052
5,distance,brute,100,3.0,l2,2024.203906032044
1,uniform,kd_tree,90,2.5,l2,1803.4751172743045
9,uniform,brute,30,2.5,l2,2491.2347014660504
4,distance,ball_tree,100,2.0,l2,1986.895965735323
6,uniform,brute,20,4.0,manhattan,2008.63029435764
7,distance,brute,60,1.0,euclidean,2134.1858516831617
10,distance,brute,30,1.0,cityblock,1951.812144152432
9,distance,kd_tree,40,2.0,euclidean,2242.9170957046053
7,uniform,ball_tree,70,3.5,l2,2322.4500251116087
4,distance,kd_tree,100,1.0,manhattan,1744.9690466920547
7,distance,brute,30,4.0,manhattan,1841.7103345580024
8,distance,ball_tree,40,1.5,cityblock,1888.754433110601
2,distance,kd_tree,80,2.5,euclidean,1804.692495647609
1,distance,brute,40,2.5,manhattan,1791.0471459201376
9,uniform,brute,10,1.0,euclidean,2491.2347014660504
9,distance,ball_tree,100,1.5,l1,1914.6969285108091
7,distance,ball_tree,50,2.0,manhattan,1848.5045811895484
7,uniform,brute,90,4.5,cityblock,2067.0389020585308
4,uniform,ball_tree,80,1.0,l2,2229.2103691406246
1,uniform,kd_tree,10,2.5,l1,1743.3374356770828
9,distance,brute,40,1.5,euclidean,2251.1654642525027
4,distance,kd_tree,100,1.0,cityblock,1744.9690466920547
7,distance,ball_tree,50,1.5,cityblock,1848.5045811895484
10,distance,brute,40,2.0,euclidean,2280.158966955157
2,uniform,kd_tree,90,1.5,l1,1802.978057942708
1,distance,brute,20,1.0,cityblock,1791.0471459201376
4,distance,kd_tree,70,3.5,cityblock,1724.0911678639916
8,uniform,kd_tree,100,1.0,l2,2434.8909269314217
3,uniform,brute,50,3.0,euclidean,2020.7550107928228
8,uniform,brute,60,3.5,l1,2102.574017784288
2,distance,kd_tree,90,2.0,l2,1804.692495647609
9,uniform,brute,90,1.5,l2,2491.2347014660504
8,distance,brute,20,3.0,euclidean,2195.7055218131463
2,distance,ball_tree,70,3.5,euclidean,1760.7120913859694
6,distance,ball_tree,80,4.0,cityblock,1812.3331255895016
4,distance,brute,60,1.0,l1,1720.0117581538016
3,uniform,ball_tree,40,1.5,cityblock,1793.3487778067138
4,uniform,kd_tree,50,2.5,manhattan,1929.8415603298608
7,uniform,kd_tree,10,2.0,l1,2067.639375905259
6,uniform,brute,80,1.5,l2,2270.693337427662
3,distance,ball_tree,10,2.5,l1,1664.9962336668182
9,distance,brute,80,1.5,euclidean,2251.1654642525027
7,distance,ball_tree,100,1.0,euclidean,2135.8919789933834
6,uniform,ball_tree,10,3.5,manhattan,2040.0451383101868
5,uniform,kd_tree,30,3.5,l2,2239.664654027777
1,distance,brute,60,4.0,cityblock,1791.0471459201376
5,distance,ball_tree,10,2.5,l2,2026.7617147188348
10,uniform,brute,50,4.0,l2,2520.199073142361
8,uniform,brute,80,4.5,manhattan,2102.574017784288
7,distance,brute,80,3.0,cityblock,1841.7103345580024
3,uniform,kd_tree,10,2.0,l1,1831.7617546875
5,uniform,ball_tree,50,2.0,euclidean,2231.1191915451386
4,distance,kd_tree,100,1.5,l2,1989.2597436662409
9,uniform,ball_tree,70,4.0,manhattan,2156.9729391396622
9,uniform,brute,40,2.5,l1,2144.443284876544
6,uniform,brute,50,2.5,euclidean,2270.693337427662
1,uniform,kd_tree,90,4.5,euclidean,1803.4751172743045
4,uniform,kd_tree,100,2.5,manhattan,1962.0898469184024
8,distance,kd_tree,30,2.0,manhattan,1886.1593655564775
6,uniform,brute,50,4.0,euclidean,2270.693337427662
6,uniform,kd_tree,70,3.5,l2,2248.350582479746
9,uniform,ball_tree,10,3.0,l2,2486.2225469907416
5,distance,ball_tree,60,1.5,cityblock,1776.6395064167143
3,distance,brute,10,4.5,l2,1839.725079442549
2,uniform,kd_tree,100,4.0,l2,1931.5375924479167
6,distance,ball_tree,30,2.0,cityblock,1813.691610800661
7,distance,kd_tree,30,4.0,cityblock,1851.0920896039484
2,distance,brute,50,1.0,cityblock,1701.5679999462625
6,distance,kd_tree,20,1.5,manhattan,1816.480395298836
1,uniform,brute,30,4.0,l1,1791.0471459201376
3,distance,ball_tree,80,2.0,l2,1836.7340332937351
9,distance,brute,40,4.5,l1,1910.0890445415623
4,distance,brute,60,3.5,manhattan,1720.0117581538016
