N_neighbours,weights,algorithm,Leaf_size,P,metric,Error-
8,distance,brute,20,3.0,cityblock,0.1372994251414648
2,distance,ball_tree,70,4.5,l1,0.1516547441394306
3,distance,ball_tree,30,2.5,l1,0.1487814985955483
4,distance,kd_tree,60,2.5,l1,0.1447054844140488
6,uniform,brute,90,3.0,l1,0.1421881919718445
10,uniform,kd_tree,80,4.5,euclidean,0.1391273775649151
9,distance,brute,90,4.0,l2,0.1355865099969875
8,uniform,kd_tree,10,2.5,manhattan,0.1381175432052143
5,uniform,ball_tree,10,1.0,cityblock,0.1420447815721728
2,distance,brute,80,2.0,l1,0.1516547441394306
3,uniform,ball_tree,60,3.5,euclidean,0.1423067931269745
4,uniform,ball_tree,70,4.0,euclidean,0.1413406619022444
4,uniform,ball_tree,70,1.5,cityblock,0.146147923547374
2,uniform,ball_tree,70,2.5,euclidean,0.1501550149482515
6,distance,kd_tree,70,4.5,l1,0.1409311921962986
2,distance,kd_tree,60,4.5,euclidean,0.1490787574138725
1,distance,kd_tree,80,4.5,l2,0.1644024563244898
8,distance,ball_tree,100,4.5,euclidean,0.135122457772302
3,uniform,ball_tree,20,2.5,l1,0.1503484954353766
2,distance,brute,80,4.5,l2,0.1490787574138725
1,distance,brute,10,3.5,l2,0.1644024563244898
3,uniform,kd_tree,80,4.0,cityblock,0.1503484954353766
10,distance,brute,80,4.0,l1,0.1358838082045548
9,distance,kd_tree,90,2.0,manhattan,0.137661714806757
8,distance,ball_tree,20,1.0,cityblock,0.1372994251414648
3,distance,ball_tree,60,3.0,euclidean,0.1412579189248718
9,uniform,kd_tree,20,2.0,manhattan,0.1386332912732801
9,uniform,ball_tree,40,4.5,manhattan,0.1386332912732801
7,distance,brute,100,2.0,euclidean,0.1363305349198963
9,uniform,kd_tree,90,4.5,l1,0.1386332912732801
9,distance,ball_tree,50,3.0,manhattan,0.137661714806757
10,uniform,ball_tree,70,1.5,euclidean,0.1391273775649151
6,distance,brute,40,2.0,manhattan,0.1409311921962986
1,distance,brute,30,1.0,euclidean,0.1644024563244898
8,distance,brute,60,3.0,l2,0.135122457772302
7,uniform,ball_tree,20,1.0,manhattan,0.1403411298709617
5,uniform,ball_tree,50,3.5,l2,0.1385740356013555
4,uniform,ball_tree,10,3.0,cityblock,0.146147923547374
2,distance,ball_tree,60,4.5,l2,0.1490787574138725
6,distance,brute,100,2.5,euclidean,0.1338256931626558
4,uniform,kd_tree,90,1.0,manhattan,0.146147923547374
4,distance,brute,50,4.5,l1,0.1447054844140488
6,uniform,kd_tree,90,1.5,cityblock,0.1421881919718445
9,uniform,ball_tree,80,3.0,cityblock,0.1386332912732801
8,distance,brute,90,3.0,l2,0.135122457772302
3,distance,kd_tree,10,3.5,manhattan,0.1487814985955483
8,distance,ball_tree,50,3.5,l2,0.135122457772302
5,uniform,brute,50,3.0,cityblock,0.1420447815721728
10,distance,kd_tree,10,1.0,l1,0.1358838082045548
4,uniform,kd_tree,30,1.0,cityblock,0.146147923547374
9,distance,kd_tree,50,2.0,l1,0.137661714806757
5,uniform,kd_tree,90,1.0,l2,0.1385740356013555
7,uniform,kd_tree,70,1.5,euclidean,0.1375266502359712
9,distance,kd_tree,30,1.5,euclidean,0.1355865099969875
5,distance,ball_tree,80,1.0,manhattan,0.1410991644688247
9,uniform,kd_tree,70,3.0,l1,0.1386332912732801
7,distance,ball_tree,60,1.0,manhattan,0.1395607067838906
3,distance,ball_tree,30,2.5,manhattan,0.1487814985955483
8,uniform,kd_tree,80,4.0,l1,0.1381175432052143
2,uniform,ball_tree,60,2.5,l1,0.1534270806183092
5,uniform,ball_tree,50,4.0,euclidean,0.1385740356013555
4,distance,brute,20,2.5,l2,0.1404987367704054
3,distance,kd_tree,90,2.0,l1,0.1487814985955483
9,uniform,brute,100,3.5,l2,0.1365696214611785
3,uniform,brute,30,4.0,cityblock,0.1503484954353766
