N_neighbours,weights,algorithm,Leaf_size,P,metric,Error-
2,distance,ball_tree,50,1.0,l1,0.17869661385545133
6,distance,brute,90,1.5,manhattan,0.1629645395659578
2,distance,brute,100,1.0,euclidean,0.17235377285931872
2,distance,kd_tree,100,2.0,manhattan,0.17869661385545133
7,distance,ball_tree,40,4.0,l2,0.16112874198520125
4,distance,brute,40,4.5,cityblock,0.16482130714117513
9,distance,ball_tree,70,4.5,manhattan,0.16321910010407767
9,distance,ball_tree,30,1.5,manhattan,0.16321910010407767
3,distance,brute,30,3.0,manhattan,0.1640214664892537
1,uniform,brute,50,2.0,manhattan,0.19580617142387235
2,distance,brute,90,3.5,cityblock,0.17869661385545133
8,uniform,brute,50,3.0,manhattan,0.16463277944776913
4,distance,brute,70,3.5,l1,0.16482130714117513
2,uniform,ball_tree,70,2.5,cityblock,0.18017963101761292
1,uniform,ball_tree,30,1.0,cityblock,0.19580617142387235
8,distance,brute,90,3.5,cityblock,0.1630149688599243
4,distance,kd_tree,100,1.5,manhattan,0.16482130714117513
10,distance,brute,60,2.5,euclidean,0.1628728315538813
7,uniform,ball_tree,30,4.5,l1,0.1640521095602938
5,uniform,kd_tree,100,4.0,euclidean,0.16702474148397498
2,uniform,ball_tree,80,4.5,euclidean,0.17186991351451086
7,distance,ball_tree,100,4.5,l1,0.1623563261201955
1,uniform,ball_tree,40,3.5,l2,0.20096480559511898
5,distance,ball_tree,20,2.0,cityblock,0.16317099319465173
9,uniform,kd_tree,30,4.0,l2,0.16277674768184586
3,uniform,brute,10,2.5,euclidean,0.16426067796536395
6,distance,kd_tree,30,3.0,euclidean,0.16303429603962985
9,uniform,kd_tree,40,2.5,manhattan,0.1649099491324212
10,distance,kd_tree,10,2.5,manhattan,0.16215958199267347
3,distance,kd_tree,100,1.0,euclidean,0.1643590825845804
10,distance,ball_tree,90,4.0,euclidean,0.1628728315538813
5,uniform,brute,20,3.0,l1,0.1644419494748782
9,uniform,kd_tree,40,4.5,manhattan,0.1649099491324212
5,distance,brute,50,2.5,l1,0.16317099319465173
10,uniform,brute,80,2.0,l1,0.16353383108099753
6,uniform,kd_tree,20,3.5,euclidean,0.1637241506430591
3,distance,brute,80,1.0,manhattan,0.1640214664892537
3,uniform,ball_tree,60,1.0,cityblock,0.164396550533557
2,distance,ball_tree,50,1.5,euclidean,0.17235377285931866
9,uniform,ball_tree,30,1.5,l2,0.16277674768184586
10,uniform,brute,90,4.5,euclidean,0.1637121101767771
7,uniform,ball_tree,20,3.0,l2,0.1616422621409734
5,distance,kd_tree,30,4.5,l1,0.16317099319465173
5,distance,kd_tree,100,2.5,cityblock,0.16317099319465173
5,distance,ball_tree,10,4.0,l2,0.16619780500611517
7,distance,ball_tree,90,3.5,cityblock,0.1623563261201955
8,distance,ball_tree,90,1.0,cityblock,0.1630149688599243
4,distance,brute,70,3.5,euclidean,0.16844877061600746
1,uniform,kd_tree,100,2.0,manhattan,0.19580617142387235
7,distance,kd_tree,10,3.5,l2,0.16112874198520125
10,uniform,brute,60,3.0,euclidean,0.1637121101767771
8,distance,kd_tree,60,2.5,cityblock,0.1630149688599243
7,distance,brute,20,4.5,manhattan,0.1623563261201955
10,uniform,brute,90,4.5,l1,0.16353383108099753
8,distance,kd_tree,90,3.5,cityblock,0.1630149688599243
5,distance,kd_tree,80,1.5,manhattan,0.16317099319465173
7,uniform,ball_tree,20,2.0,l2,0.1616422621409734
8,distance,kd_tree,80,2.5,manhattan,0.1630149688599243
7,distance,brute,70,3.5,cityblock,0.1623563261201955
5,distance,brute,80,2.0,l1,0.16317099319465173
10,uniform,ball_tree,70,3.5,cityblock,0.16353383108099753
8,uniform,ball_tree,10,3.0,cityblock,0.16463277944776913
2,uniform,brute,50,1.0,cityblock,0.18017963101761292
9,uniform,brute,30,3.0,l1,0.1649099491324212
9,uniform,ball_tree,10,4.0,euclidean,0.16277674768184586
1,uniform,ball_tree,70,2.0,l1,0.19580617142387235
3,uniform,brute,80,4.0,l2,0.16426067796536395
4,uniform,ball_tree,80,3.5,manhattan,0.16574644567925204
3,distance,brute,80,3.0,l2,0.1643590825845804
6,uniform,kd_tree,70,4.0,cityblock,0.16452158319004775
2,uniform,kd_tree,70,2.0,l2,0.17186991351451086
5,distance,brute,100,4.5,euclidean,0.1661978050061152
3,uniform,kd_tree,90,2.0,manhattan,0.164396550533557
1,uniform,brute,50,2.0,l1,0.19580617142387235
1,uniform,ball_tree,10,1.0,manhattan,0.19580617142387235
3,uniform,kd_tree,80,2.0,l2,0.16426067796536395
6,distance,ball_tree,70,3.5,l2,0.16303429603962985
4,uniform,brute,100,2.0,cityblock,0.16574644567925204
6,distance,kd_tree,90,3.0,euclidean,0.16303429603962985
4,distance,brute,70,2.5,l2,0.16844877061600746
9,uniform,brute,60,4.5,manhattan,0.1649099491324212
10,distance,kd_tree,50,3.5,euclidean,0.1628728315538813
3,distance,brute,20,4.0,manhattan,0.1640214664892537
3,uniform,kd_tree,10,3.5,manhattan,0.164396550533557
10,distance,ball_tree,40,4.5,euclidean,0.1628728315538813
7,distance,kd_tree,70,1.0,l1,0.1623563261201955
4,uniform,kd_tree,60,3.5,l1,0.16574644567925204
1,distance,brute,70,2.0,manhattan,0.19580617142387235
6,uniform,brute,60,4.0,manhattan,0.16452158319004775
1,uniform,kd_tree,60,1.0,manhattan,0.19580617142387235
4,distance,brute,20,1.0,l1,0.16482130714117513
7,uniform,kd_tree,90,1.5,manhattan,0.1640521095602938
