N_neighbours,weights,algorithm,Leaf_size,P,metric,Error-
8,uniform,brute,100,2.5,cityblock,0.1646327794477691
5,distance,ball_tree,20,3.5,l2,0.1661978050061151
2,uniform,kd_tree,60,3.0,cityblock,0.1801796310176129
4,distance,kd_tree,90,3.5,manhattan,0.1648213071411751
10,distance,brute,60,1.5,cityblock,0.1621595819926734
7,distance,kd_tree,20,2.5,cityblock,0.1623563261201955
2,distance,brute,30,2.5,euclidean,0.1723537728593187
1,uniform,brute,60,3.5,l1,0.1958061714238723
5,distance,ball_tree,50,4.5,cityblock,0.1631709931946517
9,distance,ball_tree,30,3.5,l1,0.1632191001040776
8,uniform,brute,30,4.0,l2,0.1611864122256552
7,distance,brute,60,1.5,manhattan,0.1623563261201955
1,distance,ball_tree,70,1.0,manhattan,0.1958061714238723
10,distance,kd_tree,80,3.0,manhattan,0.1621595819926734
7,uniform,ball_tree,30,4.5,manhattan,0.1640521095602938
5,uniform,kd_tree,40,1.5,manhattan,0.1644419494748782
5,distance,brute,80,4.5,cityblock,0.1631709931946517
4,distance,brute,100,1.5,l1,0.1648213071411751
3,uniform,kd_tree,40,3.5,euclidean,0.1642606779653639
10,distance,brute,20,1.5,manhattan,0.1621595819926734
4,uniform,brute,20,4.0,euclidean,0.1692494560110703
6,uniform,brute,100,2.0,l2,0.1637241506430591
8,distance,brute,50,2.0,manhattan,0.1630149688599243
3,uniform,ball_tree,40,4.0,cityblock,0.164396550533557
4,uniform,ball_tree,20,3.0,l2,0.1692494560110703
6,uniform,ball_tree,90,1.0,euclidean,0.1637241506430591
6,distance,kd_tree,20,3.5,manhattan,0.1629645395659578
4,distance,brute,100,3.0,l1,0.1648213071411751
7,distance,brute,10,1.5,l1,0.1623563261201955
7,uniform,kd_tree,70,4.0,cityblock,0.1640521095602938
6,uniform,brute,60,3.5,cityblock,0.1645215831900477
2,uniform,brute,40,2.0,l1,0.1801796310176129
1,distance,kd_tree,50,4.0,l2,0.2009648055951189
5,distance,brute,40,4.0,l2,0.1661978050061151
5,uniform,brute,40,2.5,manhattan,0.1644419494748782
1,uniform,kd_tree,40,2.5,euclidean,0.2009648055951189
