Alpha,Max_iter,Tolerance,fit_intercept,positive,warm_start,selection,Error-
81,800,1e-07,False,True,True,random,0.3973602276164866
61,3800,9.999999999999999e-06,True,False,False,random,0.3340921137954637
21,4800,0.001,False,True,True,random,0.37288275284238137
91,3300,0.1,False,True,True,random,0.41659962788673
76,4800,1e-08,False,True,False,cyclic,0.39623196645599584
31,3800,9.999999999999999e-06,True,False,False,random,0.2910102121456789
31,800,1e-08,False,True,True,random,0.3848377217664535
36,300,1e-08,True,False,False,cyclic,0.29916150477468567
16,2300,9.999999999999999e-05,False,True,False,cyclic,0.3700143842888247
51,2800,9.999999999999999e-05,False,False,True,random,0.39784559031183775
31,4300,1e-08,True,True,True,cyclic,0.35138945534572086
61,3300,0.001,False,True,True,cyclic,0.39313816499619497
96,1300,0.1,False,True,False,cyclic,0.44143312053558037
31,300,1e-07,True,True,True,cyclic,0.35138945570394525
16,300,0.001,False,True,True,cyclic,0.370035415325607
66,4300,1e-07,False,True,True,random,0.3941071104267375
66,2800,1e-07,False,True,False,cyclic,0.39410715107635697
11,2800,1e-08,True,False,False,random,0.2704895364109924
76,1300,1e-07,False,True,True,random,0.3962319834594326
56,1800,0.001,False,False,False,cyclic,0.4019583046391296
61,4300,9.999999999999999e-05,True,True,True,cyclic,0.36400660689878206
41,4800,1e-06,True,False,True,cyclic,0.30792937490615113
56,1800,0.1,True,False,True,random,0.32793328531170995
56,3800,9.999999999999999e-05,True,True,False,cyclic,0.36333336503327446
56,2300,1e-07,False,False,True,random,0.40190829600939515
66,800,1e-06,False,True,True,cyclic,0.39410714123050894
26,2800,0.001,True,False,True,random,0.2832364355220007
1,3800,0.001,False,False,True,cyclic,0.3636469412942202
56,3800,0.01,True,True,True,cyclic,0.3633193483320903
1,1800,0.001,True,True,False,random,0.3559832611629397
66,3800,0.01,False,False,False,random,0.4086873926508803
81,2800,0.01,True,False,True,cyclic,0.3597196239670276
96,800,1e-06,False,True,False,cyclic,0.4012169833515814
46,1800,0.01,True,False,False,random,0.31518599851626294
