criterion,splitter,Min_samples_split,Min_samples_leaf,Ccp_alpha,Max_depth,Min_weight_fraction_leaf,Error-
absolute_error,random,100,5,0.0,10000,1.0,414.30167286245353
poisson,best,73,10,0.2,10,0.2,345.96697114498653
friedman_mse,best,73,73,1.0,100,0.1,605.7706768948514
absolute_error,best,73,5,0.1,10000,1.0,352.4125371747212
absolute_error,best,37,5,0.3,1,0.2,1255.006691449814
poisson,random,100,10,0.7,1000,0.3,443.9486205924395
friedman_mse,random,100,1,0.0,10,0.4,430.0288524279284
poisson,best,5,5,1.0,1000,0.0,392.324992144471
poisson,best,73,5,0.4,1000,0.3,378.9909666042891
poisson,random,5,37,0.7,10000,0.7,643.8161186249581
absolute_error,random,2,73,0.8999999999999999,1,0.7,1906.7561524163568
poisson,best,10,1,0.0,10,0.6,255.54433363511404
squared_error,best,100,1,0.7999999999999999,1,0.8999999999999999,1339.4588032548336
absolute_error,random,73,10,0.7,100,0.4,359.7030855018586
poisson,best,37,37,1.0,100,0.0,399.5187328129814
friedman_mse,random,2,2,0.8999999999999999,10000,0.7,267.5617360950575
squared_error,best,100,1,0.2,1000,0.1,361.5545225017406
poisson,best,37,10,0.2,1,0.3,1339.4588032548336
absolute_error,random,5,1,0.4,100,0.0,257.08268587360595
poisson,random,10,37,0.8999999999999999,10000,0.3,643.8161186249581
absolute_error,random,5,1,1.0,1,0.6,1703.9406040892188
absolute_error,best,100,2,0.1,100,0.8999999999999999,346.72437732342
poisson,random,73,1,0.1,10000,0.7,379.5442751618054
squared_error,random,10,73,0.8999999999999999,10000,0.6,1719.788839536799
squared_error,best,5,5,0.3,1,0.0,1339.4588032548336
absolute_error,best,5,10,0.3,100,0.6,292.70976765799264
poisson,random,5,5,0.0,1000,0.5,295.1839788362682
squared_error,best,100,1,0.8999999999999999,1000,0.5,361.5545225017406
poisson,random,100,37,0.8999999999999999,1000,0.7999999999999999,603.833467814967
friedman_mse,best,10,73,0.2,100,0.4,605.7706768948514
absolute_error,random,2,1,0.0,1000,0.5,297.5210594795539
squared_error,best,73,1,0.7999999999999999,100,0.1,340.1385074117923
squared_error,random,5,37,0.0,10,0.0,640.7141583346229
friedman_mse,random,10,100,0.8999999999999999,100,0.7999999999999999,1944.612217822676
squared_error,best,10,1,0.8999999999999999,10000,0.3,254.15698735026845
squared_error,best,5,2,0.0,10000,0.3,239.9464358736059
poisson,random,2,5,1.0,1000,0.1,403.5118857049234
friedman_mse,random,10,2,0.6,10000,0.3,270.93470606154483
absolute_error,random,37,73,0.0,1000,0.7999999999999999,1326.0334665427506
friedman_mse,random,5,2,0.7,10,0.8999999999999999,322.4171937871324
absolute_error,best,37,73,0.8999999999999999,10000,0.2,540.1157527881041
friedman_mse,best,100,37,0.7999999999999999,100,0.3,373.8142127837702
poisson,best,73,100,1.0,10,0.3,633.4409871308835
poisson,random,73,100,0.0,10000,0.2,1944.612217822676
poisson,best,37,10,0.5,100,0.3,389.4019189899304
absolute_error,random,10,37,0.5,1,0.6,1703.9406040892188
poisson,random,37,2,1.0,10,0.8999999999999999,381.8643292541652
squared_error,best,100,100,0.7,10,0.3,621.035763408322
squared_error,best,10,73,0.7999999999999999,10,0.5,605.7706768948514
absolute_error,best,37,73,0.0,1000,0.7999999999999999,540.1157527881041
absolute_error,best,10,10,0.1,10,0.2,291.44475836431235
absolute_error,random,2,100,0.3,1,0.7999999999999999,1906.7561524163568
squared_error,random,2,1,0.2,10,0.2,304.22411348697545
poisson,random,10,37,1.0,10,0.2,643.8161186249581
squared_error,best,100,2,0.7,10000,0.5,361.5545225017406
friedman_mse,random,37,1,0.5,10,0.3,336.8143238672842
squared_error,random,5,37,0.8999999999999999,1000,0.1,640.7141583346229
squared_error,random,5,2,1.0,10,0.1,321.3415410609862
squared_error,random,5,100,0.2,10000,0.0,1944.612217822676
poisson,best,37,5,1.0,1,0.0,1339.4588032548336
poisson,best,2,1,0.6,10,0.4,374.66931466404
poisson,random,37,73,0.6,10000,0.8999999999999999,1717.8047784528624
absolute_error,random,37,100,0.7,10,0.7999999999999999,1596.8663104089217
friedman_mse,best,37,5,0.0,1000,0.1,293.8429028398633
squared_error,random,2,100,0.0,10,0.4,1944.612217822676
absolute_error,random,2,73,0.8999999999999999,100,0.8999999999999999,1328.6551672862452
poisson,random,100,10,0.7,10,0.5,443.9486205924395
absolute_error,best,5,1,0.0,1,0.1,1255.006691449814
squared_error,best,73,10,0.7999999999999999,1,1.0,1339.4588032548336
absolute_error,best,10,100,0.8999999999999999,10000,0.3,670.2815427509292
poisson,random,73,73,0.8999999999999999,10000,1.0,1717.8047784528624
poisson,random,5,2,0.7999999999999999,10000,0.0,400.2347016287066
squared_error,random,73,5,0.6,1000,0.5,372.6249069514864
poisson,random,5,1,0.0,100,1.0,270.2936710037174
squared_error,random,100,5,0.8999999999999999,10000,0.4,430.0288524279284
absolute_error,random,10,1,0.7999999999999999,100,0.0,317.70985130111524
friedman_mse,best,10,1,0.4,1,1.0,1339.4588032548336
squared_error,best,37,73,0.6,10,0.8999999999999999,605.7706768948514
friedman_mse,random,37,100,0.0,10,0.8999999999999999,1944.612217822676
squared_error,random,5,100,0.3,10,0.0,1944.612217822676
poisson,best,73,2,0.3,10000,0.5,376.9514204658023
poisson,random,100,37,0.5,10000,0.5,603.833467814967
friedman_mse,random,100,10,0.7999999999999999,10000,0.6,430.0288524279284
absolute_error,best,5,2,0.1,10,0.0,236.70637546468407
poisson,best,10,10,0.2,1,0.2,1339.4588032548336
friedman_mse,random,2,73,0.1,1000,0.2,1719.788839536799
poisson,random,73,37,0.1,100,0.5,640.5171975929837
squared_error,random,73,100,0.6,1,1.0,2195.092067341081
poisson,random,5,5,0.3,1,0.4,1845.552727677196
absolute_error,random,10,2,0.3,10000,0.0,265.1889869888476
poisson,best,100,100,1.0,10000,0.6,633.4409871308835
friedman_mse,random,73,37,0.8999999999999999,10000,0.2,640.7141583346229
absolute_error,best,10,2,0.7999999999999999,100,0.0,249.08897769516736
squared_error,random,37,1,0.0,100,0.5,340.71770283337133
poisson,best,73,37,1.0,1,0.7,1339.4588032548336
absolute_error,random,73,37,0.0,1000,0.7,616.0463197026023
friedman_mse,random,73,5,1.0,100,0.2,372.6249069514864
squared_error,random,73,2,0.5,1000,0.2,372.6249069514864
friedman_mse,best,100,1,0.7,1000,0.6,361.5545225017406
poisson,best,100,100,0.5,1000,0.3,633.4409871308835
poisson,best,2,2,0.7,1000,1.0,392.324992144471
poisson,best,100,10,0.6,1000,0.7,392.324992144471
poisson,random,5,73,0.6,100,0.6,1717.8047784528624
friedman_mse,random,10,37,0.3,10,0.7,640.7141583346229
friedman_mse,best,100,2,0.7999999999999999,10000,0.6,361.5545225017406
squared_error,best,10,2,0.8999999999999999,10,0.2,251.62046602811927
squared_error,random,10,73,1.0,10000,0.4,1719.788839536799
friedman_mse,best,100,10,0.4,10000,0.0,361.5545225017406
absolute_error,random,2,37,0.7,10000,1.0,615.8263568773235
friedman_mse,best,2,10,0.0,1,0.1,1339.4588032548336
friedman_mse,random,37,1,1.0,10,0.2,336.8143238672842
absolute_error,random,2,1,0.7999999999999999,100,0.7,305.8235687732342
squared_error,random,2,1,0.6,10000,0.0,267.7880266418835
friedman_mse,random,73,5,0.3,10,0.5,372.6249069514864
poisson,random,73,100,0.0,1,0.0,2195.092067341081
poisson,best,5,1,0.3,1000,0.0,354.4577262730512
absolute_error,best,37,5,0.6,10,0.3,291.00974907063204
