criterion,splitter,Min_samples_split,Min_samples_leaf,Ccp_alpha,Max_depth,Min_weight_fraction_leaf,Error-
friedman_mse,random,100,73,0.7,1,0.8999999999999999,2195.0920673410815
squared_error,random,100,2,0.7999999999999999,1000,0.5,430.02885242792837
absolute_error,random,10,2,0.9999999999999999,1000,0.7,283.7828066914498
squared_error,random,100,2,0.0,10000,0.9999999999999999,430.02885242792837
squared_error,best,5,100,0.1,100,0.7,621.035763408322
squared_error,best,5,10,0.9999999999999999,10000,0.2,305.0162862574415
poisson,best,10,10,0.7999999999999999,100,0.9999999999999999,392.324992144471
absolute_error,best,5,100,0.2,10,0.1,670.2815427509292
squared_error,best,5,2,0.1,10,0.4,239.40349317156648
poisson,random,37,2,0.7,10000,0.7,387.1836131060388
poisson,random,2,73,0.4,100,0.9999999999999999,1717.8047784528624
friedman_mse,best,100,1,0.6,1000,0.7999999999999999,361.5545225017406
friedman_mse,best,2,73,0.9999999999999999,1,0.7999999999999999,1339.4588032548336
friedman_mse,best,10,73,0.30000000000000004,10000,0.4,605.7706768948514
absolute_error,random,2,10,0.7999999999999999,1000,0.7,344.1636802973978
absolute_error,random,73,5,0.0,100,0.8999999999999999,356.06885687732336
friedman_mse,best,73,10,0.8999999999999999,1,0.6,1339.4588032548336
friedman_mse,best,10,37,0.4,10000,0.2,375.41923983198467
poisson,random,10,37,0.5,10,0.9999999999999999,651.1519343067382
squared_error,random,37,5,0.1,1,0.1,1845.5527276771957
squared_error,best,2,1,0.9999999999999999,10000,0.7999999999999999,275.76134200743496
friedman_mse,random,100,37,0.9999999999999999,100,0.1,601.8332018628807
squared_error,random,2,100,0.5,10000,0.1,1944.6122178226758
absolute_error,best,5,2,0.7999999999999999,1,0.8999999999999999,1255.006691449814
poisson,best,5,37,0.1,10,0.2,369.92576515895877
absolute_error,random,2,2,0.9999999999999999,10,0.8999999999999999,333.6377137546469
squared_error,random,10,73,0.6,10,0.5,1719.788839536799
friedman_mse,random,100,100,0.1,1,0.8999999999999999,2195.0920673410815
friedman_mse,best,73,1,0.9999999999999999,100,0.7999999999999999,340.6851365334149
squared_error,best,37,2,0.7,1,0.0,1339.4588032548336
poisson,best,73,2,0.1,10,0.5,343.97472740594804
friedman_mse,best,100,100,0.4,1000,0.2,621.035763408322
poisson,best,2,5,0.4,1,0.0,1339.4588032548336
absolute_error,random,100,5,0.2,1,0.0,1703.9406040892188
friedman_mse,best,10,10,0.7999999999999999,100,0.7999999999999999,305.4338730554929
absolute_error,random,37,10,0.8999999999999999,1000,0.30000000000000004,344.02178438661707
squared_error,random,100,1,0.2,10000,0.4,430.02885242792837
squared_error,random,2,2,0.5,1000,0.5,266.54416777078757
absolute_error,random,100,37,0.1,10,0.2,578.1277137546468
absolute_error,best,100,1,0.0,10,0.30000000000000004,346.72437732342
poisson,best,10,37,0.7,10000,0.9999999999999999,399.5187328129814
friedman_mse,random,73,2,0.1,1000,0.6,372.62490695148637
squared_error,best,37,100,0.5,10,0.2,621.035763408322
poisson,best,5,5,0.5,1000,0.8999999999999999,371.7462415094992
squared_error,random,100,1,0.7,100,0.2,430.02885242792837
poisson,best,2,10,0.8999999999999999,10000,0.5,392.324992144471
squared_error,random,5,73,0.5,10,0.0,1719.788839536799
squared_error,random,73,100,0.2,10,0.6,1944.6122178226758
squared_error,random,10,5,0.7,10,0.8999999999999999,311.0872636517512
poisson,best,100,5,0.2,10000,0.8999999999999999,358.76528321971387
squared_error,random,73,5,0.9999999999999999,10000,0.1,372.62490695148637
friedman_mse,best,73,5,0.7999999999999999,1,0.2,1339.4588032548336
poisson,random,37,100,0.8999999999999999,10,0.5,1944.0361154660836
absolute_error,best,2,73,0.9999999999999999,100,0.8999999999999999,540.1157527881041
poisson,best,37,37,0.7,1000,0.9999999999999999,399.5187328129814
poisson,best,5,100,0.5,10000,0.5,633.4409871308835
absolute_error,random,5,5,0.2,10000,0.8999999999999999,279.2117286245353
squared_error,best,10,1,0.6,1000,0.7,254.1483845002065
friedman_mse,random,2,1,0.5,10000,0.4,265.103488228005
squared_error,best,5,10,0.6,10,0.2,305.22582454115644
poisson,random,100,1,0.2,1,0.1,1845.5527276771957
poisson,random,5,37,0.7999999999999999,100,0.8999999999999999,643.8161186249581
friedman_mse,best,37,5,0.4,1,0.5,1339.4588032548336
friedman_mse,best,5,1,0.8999999999999999,10,0.9999999999999999,250.3689447116621
poisson,best,73,73,0.9999999999999999,10000,0.30000000000000004,612.3065469435656
poisson,random,5,5,0.4,1000,0.2,368.0682044601108
friedman_mse,random,2,100,0.2,10,0.30000000000000004,1944.6122178226758
friedman_mse,best,5,10,0.9999999999999999,10,0.1,305.64341133920783
friedman_mse,random,100,5,0.4,100,0.4,430.02885242792837
squared_error,random,10,1,0.4,10,0.9999999999999999,305.8407790648932
absolute_error,best,73,10,0.7,1000,0.6,352.4125371747212
absolute_error,best,73,10,0.30000000000000004,1000,0.7999999999999999,352.4125371747212
friedman_mse,random,100,73,0.9999999999999999,100,0.2,1719.788839536799
poisson,random,5,1,0.30000000000000004,10000,0.9999999999999999,347.5751208724921
poisson,random,73,1,0.8999999999999999,10000,0.30000000000000004,378.5947062930758
friedman_mse,best,37,10,0.9999999999999999,100,0.1,313.873821605746
absolute_error,random,2,1,0.1,10,0.7999999999999999,293.8997304832713
friedman_mse,best,10,100,0.2,10000,0.0,621.035763408322
poisson,random,100,2,0.6,10,0.0,443.9486205924395
