N_estimators,max_features,Max_depth,Min_samples_leaf,Min_samples_split,bootstrap,Error-
439,log2,224,5,15,True,0.044172839698663986
75,log2,60,47,6,True,0.06588518011222282
50,log2,280,2,13,False,0.04442407400364559
641,sqrt,154,18,4,True,0.053003488704336625
193,,291,40,12,False,0.06296896787837188
485,log2,81,20,14,False,0.049377706707582264
395,log2,242,37,7,True,0.0626108019392211
51,sqrt,51,32,18,False,0.05787341965605738
495,sqrt,228,37,10,False,0.05952091431630003
222,log2,280,46,18,False,0.061403424058617394
376,sqrt,260,1,13,True,0.04396413886339601
569,log2,225,32,8,True,0.06115827186143417
785,log2,198,16,19,False,0.048011199690946325
704,sqrt,74,37,17,False,0.059471600181499766
32,sqrt,13,3,10,True,0.04579607829395841
787,log2,78,28,15,True,0.0600406535048369
417,log2,117,2,7,False,0.042030183410182116
372,,272,22,8,False,0.05978404881491355
162,sqrt,217,6,17,True,0.04460083630714636
684,,249,18,14,True,0.04817590340843777
410,sqrt,79,44,20,False,0.06044008476621854
95,,199,16,17,True,0.046225228912315924
636,log2,129,43,12,False,0.06025765275629685
296,sqrt,155,46,7,True,0.0654079108511155
113,,6,2,5,True,0.05533149687330183
411,,275,16,17,False,0.06058641467772385
372,log2,45,48,19,False,0.06148891652163498
691,sqrt,163,18,17,False,0.04895606105265191
306,sqrt,281,15,9,True,0.0489752339580491
595,log2,211,27,2,False,0.0523951614023734
311,log2,17,22,5,False,0.049200846314618935
465,log2,262,7,13,True,0.04476255750539814
469,sqrt,160,35,7,True,0.062024301606378
376,log2,36,37,5,True,0.06262727622750691
142,log2,4,31,13,False,0.06444766460469019
470,,116,36,18,True,0.05988748225199356
478,,138,37,17,True,0.06023305147454336
241,log2,26,12,4,False,0.046474064471689114
141,sqrt,262,13,3,False,0.047549788293149764
780,sqrt,187,6,15,False,0.04362688843843444
141,log2,261,28,5,True,0.060374079446533745
696,sqrt,24,7,20,True,0.04542952024305726
517,log2,231,17,14,False,0.048808903150708884
344,sqrt,284,16,6,True,0.049853990926364326
564,sqrt,211,10,17,False,0.04437143010268905
729,sqrt,251,32,12,False,0.05720887605993014
535,sqrt,114,48,6,False,0.06135625591805181
181,log2,55,25,4,True,0.05907926119324633
68,,220,34,2,True,0.05965340381599495
18,log2,179,5,16,False,0.04565935347557554
800,sqrt,30,28,2,False,0.0527946246150676
175,,262,6,18,False,0.05517846994801176
447,,123,32,14,False,0.06185514937589646
454,log2,134,36,9,True,0.06220696711197768
113,log2,20,1,15,False,0.04310380819652652
622,log2,217,28,3,True,0.06008335780039825
120,sqrt,250,33,11,True,0.061944561124848585
343,,235,7,20,True,0.04304436903494264
698,,235,37,12,False,0.06326221404585272
641,log2,275,21,15,True,0.05664381007670121
254,,97,39,11,False,0.06322718112357274
272,log2,205,12,17,False,0.04654370867288618
158,,44,40,17,False,0.06296896787837199
455,sqrt,73,12,2,True,0.04794048494274966
144,log2,241,30,15,True,0.06074690483693591
130,sqrt,108,31,13,True,0.06144594096974213
282,,263,2,18,True,0.04265292068765256
508,sqrt,222,45,15,True,0.06513385461147077
220,log2,48,43,15,True,0.06457742313369708
148,sqrt,72,16,4,False,0.048188213577914384
683,sqrt,43,34,5,False,0.058094681189546055
250,sqrt,109,14,9,False,0.0473730644677561
78,log2,186,22,20,True,0.057984716265926974
48,sqrt,206,21,7,True,0.05798886013844196
534,,297,47,15,True,0.06417096714789018
398,sqrt,176,47,13,True,0.06559639204681461
350,,267,48,8,True,0.06450738087247294
456,sqrt,110,7,3,True,0.04471599508577345
703,sqrt,5,12,10,True,0.0567230307753512
169,log2,200,15,12,False,0.047703642976476945
737,,80,34,4,True,0.0592451524888992
736,,56,46,3,False,0.06135047664203943
16,log2,93,41,3,True,0.06501359860005058
553,sqrt,294,12,19,False,0.04656822035877461
679,,179,39,13,True,0.060997049642466585
424,sqrt,89,14,4,True,0.048901359813702604
337,,25,46,17,False,0.06135047664203972
750,log2,118,2,13,False,0.04297927782004613
563,sqrt,138,28,5,True,0.06014059178098178
599,sqrt,56,6,16,True,0.04400813131319628
615,log2,165,20,2,False,0.049197792592466316
673,,281,28,7,False,0.057468007409501226
552,sqrt,247,36,19,True,0.06225696102760161
490,log2,29,37,6,True,0.06260876828799838
401,,83,38,8,True,0.0606528260819589
621,log2,107,45,17,False,0.06058934490859211
478,log2,160,3,6,False,0.04202349801018837
693,,135,6,9,True,0.04180234117277182
512,,246,25,5,True,0.056161621463918295
73,log2,39,33,17,False,0.05775860685654008
220,sqrt,14,40,10,True,0.06354814616912942
677,sqrt,135,8,17,True,0.04602472413408248
324,log2,203,35,4,False,0.059219138177843716
636,sqrt,85,20,3,True,0.055654686116573045
436,log2,201,22,3,True,0.057578718596829524
106,log2,291,17,15,False,0.04955841148723809
373,log2,136,42,16,False,0.06010590929205558
462,log2,127,49,6,True,0.06631300642097034
166,sqrt,294,3,15,False,0.043667410943420366
348,sqrt,137,7,13,True,0.044728003373512897
13,,135,16,4,False,0.06058641467772419
665,,194,36,8,False,0.06379118511550556
614,sqrt,70,25,7,False,0.05059517897350535
515,sqrt,124,44,2,False,0.060388898109361065
559,,253,49,20,False,0.06492399982868112
60,sqrt,140,9,11,False,0.04393504458596915
120,sqrt,115,49,16,False,0.062060423700726015
795,sqrt,249,27,2,True,0.05973301797998485
32,sqrt,15,4,9,True,0.04440176602976298
527,,186,38,8,True,0.060696255814746296
92,log2,19,22,5,False,0.049401745166811145
586,log2,63,41,7,False,0.05983834269059668
542,log2,8,25,10,True,0.06021213321162181
507,sqrt,260,17,15,True,0.051599794473440506
71,sqrt,127,49,4,True,0.06634967421575372
568,log2,246,43,19,False,0.06033115848391276
274,log2,206,4,5,True,0.04329832083750828
662,,177,25,11,False,0.057970975681225355
791,log2,224,43,14,True,0.06450252447802592
132,log2,234,16,19,False,0.04836578946601605
690,,110,1,10,True,0.04088809884642312
320,,79,47,17,False,0.06440587698382169
176,log2,43,33,3,False,0.057837549224109996
312,,54,12,7,False,0.0593681790504964
499,sqrt,98,28,5,True,0.06022439150889686
211,sqrt,24,24,7,True,0.058339891202852656
106,,55,19,5,False,0.056298723794325066
135,,191,30,20,True,0.058033431367609266
279,sqrt,226,24,19,True,0.05851129659547646
271,,234,40,7,True,0.06125963804137219
235,sqrt,234,45,2,False,0.0608007280041184
525,log2,96,26,18,True,0.05949618790099661
291,,54,24,3,False,0.05191163956203638
200,,294,24,7,True,0.05563102213665177
696,log2,121,29,13,True,0.060326213751886855
548,sqrt,53,42,16,True,0.06429559525208944
486,,89,38,8,True,0.06069682900099277
167,sqrt,103,1,3,False,0.04050252142031773
214,,6,29,2,True,0.06103084396170944
309,,40,18,9,False,0.05520031855173874
676,,173,46,9,True,0.06378067107602163
116,sqrt,154,32,7,True,0.06190953704917207
782,,81,44,5,True,0.06269470150625935
534,sqrt,256,14,3,True,0.048923470785229774
618,,127,32,2,True,0.05856580895082114
307,sqrt,185,27,2,False,0.05209642063667469
596,sqrt,173,34,8,True,0.06174828577118544
527,,190,10,19,True,0.04459983450948996
687,sqrt,280,5,9,True,0.043427868437999846
755,sqrt,277,5,20,False,0.04457971095656333
486,log2,7,43,4,False,0.062489247944048275
341,sqrt,258,4,5,True,0.04328762677628805
291,log2,265,32,16,True,0.06131998341286493
330,sqrt,83,6,11,True,0.043977467896578505
405,log2,219,27,9,False,0.052422200204750184
571,,207,6,15,False,0.055096442194205904
54,log2,212,34,9,True,0.062462805908571804
272,sqrt,15,10,17,False,0.04468768320881281
195,log2,87,8,2,True,0.046164930125325944
760,log2,141,46,11,False,0.060998280672114685
294,sqrt,122,50,18,False,0.0617670212696337
658,,206,30,20,True,0.057969281532446876
599,log2,288,48,16,True,0.06596621270829411
539,log2,248,28,5,True,0.06018185329004663
103,,167,50,18,False,0.06471270643859096
781,,204,3,13,True,0.04265883926048499
166,sqrt,259,6,12,False,0.04317151940385275
267,log2,56,9,3,True,0.046556452762447346
257,log2,9,48,6,False,0.06202999413044214
473,,26,6,15,True,0.04209860995877946
800,log2,2,7,4,False,0.0686471736228032
474,,118,42,3,False,0.059876112954695825
336,,129,47,20,True,0.06408657353852633
203,log2,167,42,10,True,0.06436268277324791
135,,59,20,6,False,0.05480055346639922
20,log2,41,9,4,False,0.04492048956458283
364,,42,5,16,True,0.04319941632107516
780,log2,142,44,9,False,0.06032805178821854
231,log2,48,49,4,False,0.06172800669062722
458,sqrt,210,20,17,False,0.04943043741352565
378,sqrt,201,33,12,False,0.05781960881266171
610,,248,40,5,False,0.06296896787837165
754,,202,11,14,True,0.04515699198381345
30,,268,48,16,True,0.0654661911315171
753,log2,131,22,17,True,0.057493303493283444
32,sqrt,145,45,3,True,0.06545924319830138
363,sqrt,182,5,7,True,0.04392755196097856
197,,196,14,13,False,0.056510387535587146
615,sqrt,274,14,10,True,0.04909974285195403
639,,281,33,9,False,0.061560277681086066
531,,145,8,15,True,0.04349508531485886
651,,186,31,9,True,0.05828877441515166
191,sqrt,149,24,20,False,0.049439670080032305
534,log2,89,19,14,True,0.05432845812509033
206,sqrt,239,38,18,True,0.06306658397497533
402,,83,8,14,False,0.05875849100220173
398,sqrt,212,8,15,False,0.043238831180739457
742,log2,84,21,9,True,0.05661421596501654
539,log2,119,17,19,True,0.05154245593184977
743,log2,31,27,11,False,0.05241974394104667
792,,256,11,12,False,0.057484527206123515
262,sqrt,107,39,15,True,0.06337901717160506
447,sqrt,146,43,5,True,0.06454847340964583
138,log2,171,32,7,False,0.05726561971408586
301,,148,36,20,False,0.06379118511550576
35,,233,31,10,True,0.05924349845835145
90,,180,28,7,False,0.05746800740950076
354,,234,30,19,False,0.05666026950979064
527,,22,43,7,True,0.06242597667910408
496,,237,44,11,True,0.06277389400336164
662,sqrt,156,1,8,False,0.041176988773416426
619,log2,129,39,12,False,0.05963694714589185
685,log2,161,26,18,False,0.051400882998268144
366,,94,23,2,True,0.05498301763604188
634,sqrt,146,42,16,False,0.05987317699912948
691,log2,34,31,3,False,0.05613806675285621
271,log2,186,32,2,False,0.05723087405123231
415,sqrt,47,13,15,False,0.047084659444156345
525,sqrt,11,20,13,True,0.05585557269715826
377,log2,258,47,3,False,0.06138782038173535
532,log2,290,32,18,True,0.06120487013607406
236,log2,13,45,18,False,0.06081184201543968
252,,44,11,19,True,0.04497147741053501
582,log2,102,44,17,True,0.06488069606007645
407,log2,55,33,17,False,0.05778873440878146
724,sqrt,119,35,14,True,0.06195430274678169
401,log2,44,26,10,True,0.059435056334183334
600,,202,46,11,False,0.06135047664203924
28,sqrt,239,33,2,False,0.058275557080230335
173,,179,41,11,False,0.06271161812483832
258,sqrt,78,32,17,True,0.06110819619680702
597,,177,33,5,False,0.06156027768108608
669,log2,103,37,9,False,0.05941745281926731
356,sqrt,119,45,14,False,0.06065286974495093
665,sqrt,185,27,7,True,0.05976592047925716
724,,98,28,12,False,0.057468007409501136
592,sqrt,18,45,19,False,0.06066519593199207
642,sqrt,135,21,6,True,0.056637096118537684
768,sqrt,229,8,10,False,0.04349922910040357
469,,292,13,3,True,0.045572184174286906
141,,136,20,11,False,0.05480055346639922
25,log2,14,22,13,True,0.059556860346753004
390,log2,278,50,9,True,0.06638162077161389
747,log2,72,20,16,False,0.049137544636156466
522,,22,41,4,True,0.06171779029420384
142,log2,24,17,8,True,0.051044125880405224
688,,87,13,4,True,0.04549249053226778
665,sqrt,198,19,17,False,0.04919416479507102
550,,282,49,17,False,0.06492399982868115
667,sqrt,151,19,19,False,0.04919266788218068
606,,48,32,16,False,0.0618551493758966
675,sqrt,207,22,12,True,0.05748827246879765
511,log2,111,13,17,False,0.04710185233818313
109,sqrt,197,11,16,True,0.04887183722304017
449,sqrt,87,39,9,True,0.06334538681147307
479,sqrt,25,39,3,False,0.05978317643804171
443,,246,37,5,False,0.06326221404585261
420,,275,43,8,True,0.0623368668654013
12,sqrt,113,17,17,True,0.056638832235131255
113,log2,74,37,16,False,0.06011802441984355
98,sqrt,77,43,5,True,0.06485967851590975
277,log2,180,15,3,False,0.047500115943699454
690,log2,292,34,11,False,0.05810468445200203
710,log2,208,14,5,False,0.04733094139988442
470,log2,102,32,20,False,0.05729054430772115
113,sqrt,120,10,13,True,0.048403829469228034
275,sqrt,10,48,9,False,0.0615960574810123
488,log2,149,23,5,False,0.04948644082639688
84,log2,57,22,17,False,0.04935118597251421
518,,141,31,11,False,0.059496151799518664
636,,68,49,14,True,0.0650020583732735
196,,204,21,20,True,0.05274565486989443
798,sqrt,216,30,2,False,0.05437063955461922
631,sqrt,51,8,17,True,0.046050006876116524
484,,215,39,3,True,0.061021237520469895
90,log2,93,41,15,True,0.06420494515748608
193,,29,41,7,True,0.061547793090273674
243,sqrt,185,32,13,True,0.061112207891859914
398,,296,7,15,False,0.057108135696862655
546,log2,13,35,13,False,0.05914201566331661
376,sqrt,253,31,5,True,0.061018559358204376
773,log2,223,20,3,False,0.04912345434774612
141,,284,6,5,True,0.04205595609669255
508,log2,194,4,11,False,0.04272064089352618
792,sqrt,27,31,4,False,0.05610156942442762
481,sqrt,15,26,6,False,0.05135535001207938
532,,234,15,13,True,0.04597461797091356
40,,212,41,10,False,0.06271161812483853
728,,3,10,13,True,0.06052560338220791
513,sqrt,257,42,3,False,0.05992470522857085
480,sqrt,206,7,15,True,0.04496629671005905
576,log2,130,15,3,False,0.04748575447043535
392,log2,83,50,7,True,0.06637327639842261
258,sqrt,21,49,20,False,0.06167070566416951
143,sqrt,133,16,20,False,0.048244659456358446
358,sqrt,254,27,9,True,0.05979825276924109
273,log2,291,25,14,True,0.059022930059175256
407,,246,5,6,True,0.04234576689966806
580,,82,35,18,True,0.05940814806266658
347,sqrt,27,6,9,True,0.04391183922681343
157,log2,177,4,2,False,0.042765921049335576
229,sqrt,232,39,3,False,0.06006056485965252
119,log2,137,25,4,True,0.05954936750122621
777,,67,11,8,False,0.05748452720612348
247,sqrt,40,7,20,True,0.0456457816655688
607,,53,3,16,False,0.05320759439716507
276,log2,121,3,15,False,0.043808736255898394
316,,229,15,19,False,0.05593745231116373
335,,3,31,17,False,0.06563190187827346
232,log2,219,5,7,False,0.04249798911474107
112,log2,25,49,13,False,0.06211294764833528
302,,248,17,5,False,0.06234319901535735
440,log2,1,44,6,True,0.07438509240416975
278,,156,15,7,False,0.0559374523111637
203,,240,2,14,True,0.042030193564021184
769,sqrt,105,39,5,False,0.05958937474954255
380,log2,173,49,3,True,0.06621709653199108
27,,68,48,16,True,0.06522942527523748
98,log2,294,31,11,True,0.06142557489906733
26,,216,14,3,False,0.05651038753558735
519,,122,28,19,False,0.05746800740950105
85,sqrt,279,14,4,True,0.04878485708924571
405,,42,48,18,False,0.06405765657656697
711,,203,20,8,False,0.054800553466399955
632,log2,88,19,16,True,0.054413754856365425
