N_neighbours,weights,algorithm,Leaf_size,P,metric,Error-
5,uniform,ball_tree,50,1.5,cityblock,355.6778698884757
4,uniform,ball_tree,70,4.0,cityblock,336.00421468401476
6,uniform,ball_tree,80,1.0,l1,351.79627013630744
8,uniform,brute,20,1.0,euclidean,387.61934247211894
3,distance,ball_tree,80,1.0,l2,362.0051706254578
10,uniform,brute,80,2.0,l2,404.0589739776954
5,distance,brute,50,4.0,manhattan,337.66741171003747
5,uniform,brute,50,3.0,l2,359.53616356877313
5,uniform,kd_tree,60,1.5,manhattan,354.95324907063184
4,uniform,kd_tree,30,1.5,cityblock,351.33743959107807
2,uniform,ball_tree,40,3.0,cityblock,384.9921375464685
4,uniform,kd_tree,90,4.5,cityblock,336.26203531598503
6,uniform,ball_tree,50,1.5,l1,360.5645755885996
5,uniform,ball_tree,70,4.5,l1,351.7594907063198
10,distance,ball_tree,100,2.5,l2,394.36795207817954
7,uniform,kd_tree,80,4.5,l1,360.3858443972385
6,distance,ball_tree,40,3.5,manhattan,344.1206721699319
1,distance,ball_tree,100,3.5,manhattan,446.7906133828996
7,distance,brute,100,4.5,l1,342.64703473903654
9,distance,ball_tree,20,3.5,l2,390.9756333412168
1,distance,ball_tree,30,4.5,cityblock,493.16526022304845
8,uniform,kd_tree,100,2.5,manhattan,386.80812267657996
7,distance,ball_tree,40,4.5,l2,370.89234079840315
3,uniform,ball_tree,100,4.0,cityblock,361.40972118959115
5,distance,kd_tree,90,2.0,l2,345.7241700794873
2,distance,ball_tree,10,1.0,l2,369.43119613351803
2,distance,ball_tree,70,4.5,l1,378.7416945477076
4,uniform,kd_tree,40,3.5,euclidean,352.9799535315984
3,uniform,ball_tree,20,3.5,l2,379.0463506815365
5,uniform,kd_tree,70,1.5,cityblock,348.1104014869889
9,distance,brute,40,3.5,cityblock,352.5877222517571
10,distance,ball_tree,10,4.5,l2,389.6177845711301
4,distance,kd_tree,100,1.5,euclidean,343.08284080345135
6,distance,brute,80,3.5,euclidean,364.37141442644065
2,uniform,ball_tree,90,3.5,manhattan,378.3591635687733
8,distance,brute,40,3.0,manhattan,348.3674483850885
1,uniform,kd_tree,10,4.0,cityblock,466.00442379182164
3,distance,brute,40,2.0,cityblock,342.07252044609663
