N_neighbours,weights,algorithm,Leaf_size,P,metric,Error-
8,distance,ball_tree,60,1.5,cityblock,357.72215694275434
5,distance,brute,30,3.0,euclidean,351.3554252298326
4,uniform,ball_tree,80,1.0,l2,345.6471143122676
7,uniform,brute,60,4.0,cityblock,359.1915002655337
2,distance,brute,100,4.0,l2,354.9291731488626
10,uniform,kd_tree,10,3.0,l1,395.1061431226764
3,distance,kd_tree,60,4.0,l2,368.2464271096367
5,distance,ball_tree,90,2.5,euclidean,343.3167484383807
5,distance,kd_tree,80,3.5,euclidean,345.7241700794873
6,uniform,brute,70,1.5,l1,344.0910377942999
5,uniform,brute,80,2.0,cityblock,348.86965427509307
2,uniform,kd_tree,20,4.0,l2,403.8810873605949
6,distance,kd_tree,60,1.5,manhattan,345.92380626647366
6,distance,brute,40,3.5,euclidean,364.3714144264407
6,distance,brute,90,2.5,manhattan,334.33506603372973
7,distance,kd_tree,30,1.5,cityblock,351.3969660785649
6,distance,brute,60,3.0,cityblock,334.33506603372973
2,uniform,brute,60,2.0,manhattan,355.018810408922
10,uniform,ball_tree,30,4.5,cityblock,395.1771524163569
3,distance,brute,10,2.5,euclidean,341.5872200874123
9,uniform,brute,40,2.0,manhattan,370.7122965716649
9,uniform,brute,100,1.0,manhattan,370.7122965716649
8,uniform,brute,10,3.0,l1,367.6837964684015
2,distance,brute,40,3.0,l1,354.8446623296159
5,uniform,kd_tree,20,1.0,l1,365.77010780669167
5,uniform,brute,30,1.5,cityblock,348.86965427509307
6,uniform,brute,90,1.0,manhattan,344.0910377942999
2,distance,kd_tree,40,3.0,manhattan,386.1534634448576
1,distance,ball_tree,20,2.5,l1,493.1652602230485
4,uniform,brute,90,1.5,euclidean,346.0643401486989
8,distance,brute,90,1.5,l2,375.0074113945002
2,uniform,brute,30,2.0,l1,355.018810408922
9,distance,ball_tree,50,4.0,l1,361.5088685495186
3,uniform,kd_tree,50,3.0,l2,369.4857992565056
5,uniform,ball_tree,10,3.5,cityblock,337.2273791821563
