N_neighbours,weights,algorithm,Leaf_size,P,metric,Error-
7,uniform,brute,30,3.5,l2,387.60021242697843
2,distance,ball_tree,80,3.0,manhattan,378.7416945477076
10,uniform,brute,30,3.5,manhattan,371.9459107806691
6,uniform,ball_tree,60,1.5,manhattan,360.5645755885996
4,distance,ball_tree,20,2.5,euclidean,354.6896134664456
10,uniform,ball_tree,50,3.0,l2,406.9302397769516
5,uniform,kd_tree,90,2.5,manhattan,348.1104014869889
9,uniform,ball_tree,60,2.5,l1,387.2543886823627
4,distance,kd_tree,60,2.5,cityblock,343.6443738714816
6,uniform,kd_tree,20,4.5,euclidean,376.5331567534075
2,distance,kd_tree,50,4.0,cityblock,386.1534634448576
3,uniform,kd_tree,70,4.0,l1,365.18804832713766
8,distance,kd_tree,100,2.0,cityblock,361.62525187426263
2,uniform,brute,100,4.5,cityblock,355.018810408922
5,distance,brute,50,3.0,l1,337.66741171003747
1,uniform,ball_tree,30,1.0,l1,493.16526022304845
6,uniform,ball_tree,80,2.5,l2,366.40199194547716
3,distance,brute,70,2.5,manhattan,342.07252044609663
1,distance,brute,10,1.5,l2,458.78278810408926
7,distance,ball_tree,90,4.0,l2,374.78029620850396
10,uniform,kd_tree,30,3.5,cityblock,403.5806710037173
9,distance,brute,50,4.0,cityblock,352.5877222517571
2,uniform,brute,30,1.0,euclidean,355.018810408922
6,distance,kd_tree,80,3.5,manhattan,333.26710339334505
3,distance,ball_tree,90,1.5,l2,362.0051706254578
9,uniform,brute,50,3.0,manhattan,370.7122965716649
1,distance,brute,90,2.5,l2,458.78278810408926
10,uniform,brute,40,3.5,l2,404.0589739776954
6,uniform,kd_tree,60,3.5,l2,372.713324039653
3,distance,brute,50,3.0,cityblock,342.07252044609663
3,uniform,kd_tree,100,3.5,cityblock,365.18804832713766
2,uniform,ball_tree,90,4.0,manhattan,378.3591635687733
2,uniform,brute,50,3.0,l1,355.018810408922
3,uniform,ball_tree,40,1.0,l2,365.9736493184634
1,uniform,brute,70,4.5,cityblock,458.78278810408926
3,distance,kd_tree,100,2.0,l2,364.9716452227317
9,distance,brute,100,4.5,euclidean,381.6965534266674
6,distance,brute,10,2.5,manhattan,334.33506603372973
3,uniform,brute,80,2.0,manhattan,343.66601610904576
2,distance,ball_tree,100,3.0,l2,373.4343862660127
4,uniform,brute,50,4.5,cityblock,355.2714033457249
7,distance,brute,80,4.0,cityblock,342.64703473903654
9,uniform,ball_tree,80,4.0,cityblock,381.29110285006186
2,distance,brute,50,3.5,l1,354.8446623296159
9,uniform,kd_tree,50,2.0,l2,397.98901280462644
10,distance,ball_tree,90,3.0,manhattan,367.212126963448
7,uniform,kd_tree,100,4.5,l1,360.3858443972385
1,uniform,kd_tree,100,2.0,l2,442.82332713754647
2,uniform,ball_tree,30,3.5,l2,401.0983457249071
2,distance,brute,100,4.0,euclidean,354.9291731488626
4,uniform,kd_tree,90,1.5,euclidean,345.435971189591
3,uniform,kd_tree,50,2.0,cityblock,364.9797893432466
10,distance,ball_tree,30,2.5,cityblock,370.01963368239876
1,distance,kd_tree,80,4.5,cityblock,442.82332713754647
2,distance,kd_tree,70,3.0,euclidean,372.0818026228901
10,uniform,kd_tree,80,1.5,cityblock,387.8630390334571
1,distance,brute,100,1.5,manhattan,458.78278810408926
4,uniform,ball_tree,10,3.0,euclidean,347.0482109665427
2,distance,ball_tree,50,3.0,euclidean,382.29184972878824
1,distance,ball_tree,10,1.5,manhattan,464.5469330855019
2,uniform,ball_tree,60,4.0,euclidean,382.38148698884766
9,distance,kd_tree,40,1.0,euclidean,383.1894167089229
7,uniform,ball_tree,50,4.5,cityblock,372.9310860329258
2,distance,ball_tree,90,4.0,cityblock,378.7416945477076
4,uniform,brute,30,4.0,cityblock,355.2714033457249
8,distance,brute,40,3.0,l1,348.3674483850885
2,distance,kd_tree,60,4.5,euclidean,386.200780955554
2,distance,kd_tree,60,1.5,euclidean,386.200780955554
10,distance,kd_tree,30,4.5,euclidean,395.23677441864453
6,distance,brute,100,4.5,cityblock,334.33506603372973
7,uniform,brute,80,2.0,l1,359.1915002655337
8,distance,ball_tree,90,1.5,euclidean,383.32366489968234
10,uniform,ball_tree,100,2.0,l2,409.3882546468403
9,uniform,ball_tree,90,1.5,l2,409.61312680710466
4,uniform,kd_tree,20,2.5,l2,355.1532063197025
10,uniform,ball_tree,10,2.5,cityblock,393.5990892193307
8,distance,brute,50,3.5,euclidean,375.0074113945002
9,uniform,ball_tree,80,1.0,l2,409.61312680710466
7,uniform,ball_tree,50,2.5,euclidean,385.3468481147105
8,distance,ball_tree,10,1.0,manhattan,357.99373108887744
7,uniform,ball_tree,50,3.5,manhattan,372.9310860329258
6,distance,kd_tree,80,4.0,l1,333.26710339334505
1,uniform,ball_tree,70,1.5,cityblock,446.7906133828996
5,distance,ball_tree,80,1.0,l2,343.3167484383807
10,uniform,brute,70,4.5,cityblock,371.9459107806691
4,uniform,ball_tree,10,2.5,l1,347.6913057620817
5,distance,brute,60,1.5,manhattan,337.66741171003747
4,uniform,kd_tree,50,1.0,cityblock,347.44840613382894
6,uniform,brute,70,2.0,cityblock,344.0910377942999
3,distance,kd_tree,90,4.5,l1,364.650434944238
9,uniform,ball_tree,40,2.0,manhattan,387.2543886823627
6,distance,ball_tree,60,1.5,manhattan,344.1206721699319
3,distance,ball_tree,40,1.0,l1,360.50251579925646
1,uniform,kd_tree,100,3.5,l2,442.82332713754647
10,uniform,brute,30,4.5,manhattan,371.9459107806691
3,uniform,ball_tree,60,3.5,manhattan,361.230179677819
10,distance,brute,70,3.0,l2,389.11246958900676
7,uniform,ball_tree,70,2.0,l1,358.5634121083377
10,distance,ball_tree,30,3.0,cityblock,370.01963368239876
7,uniform,kd_tree,100,3.0,l2,388.5243653744028
2,uniform,kd_tree,30,4.0,l2,403.88108736059485
5,uniform,kd_tree,50,3.0,cityblock,354.95324907063184
5,uniform,brute,30,3.0,cityblock,348.86965427509307
10,uniform,ball_tree,40,2.5,manhattan,380.5300501858735
8,uniform,brute,10,2.5,cityblock,367.68379646840145
5,distance,ball_tree,20,4.5,manhattan,348.32720269074184
10,distance,ball_tree,80,1.5,euclidean,394.36795207817954
3,uniform,kd_tree,60,3.0,cityblock,364.9797893432466
5,distance,ball_tree,20,1.5,l1,348.32720269074184
8,uniform,kd_tree,80,4.0,euclidean,402.1164660780669
10,uniform,kd_tree,70,2.5,manhattan,387.8630390334571
5,distance,brute,50,3.0,euclidean,351.3554252298326
1,uniform,kd_tree,100,2.0,l1,442.82332713754647
7,uniform,kd_tree,100,2.0,euclidean,388.5243653744028
4,distance,kd_tree,10,4.0,cityblock,336.8202316781731
3,uniform,brute,80,3.5,manhattan,343.66601610904576
10,uniform,kd_tree,80,4.0,euclidean,409.8248382899628
1,distance,ball_tree,40,2.5,cityblock,460.61118959107813
8,uniform,brute,30,1.0,l1,367.68379646840145
