Alpha,L1_ratio,fit_intercept,Max_iter,selection,warm_start,Tol,Error-
4.0,0.04,False,3288,random,True,9.01573648605416e-07,0.6519254141177359
0.7000000000000001,0.6,True,1382,random,True,9.425365853878232e-07,0.3477130591452584
9.9,0.91,True,2233,cyclic,True,9.8946207728655e-07,0.3477130591452584
3.4000000000000004,0.41000000000000003,True,4406,random,False,7.736660583346203e-07,0.3477130591452584
1.0,0.34,True,1851,random,False,6.119815447914769e-07,0.3477130591452584
1.1,0.5700000000000001,False,2604,random,True,4.7109851657072126e-07,0.8350337875996283
7.300000000000001,0.66,True,2672,random,False,7.268414505378237e-07,0.3477130591452584
8.1,0.43,True,1621,cyclic,True,6.69647021797394e-07,0.3477130591452584
3.0,0.03,False,2855,cyclic,True,9.327326636644655e-07,0.5724455567815997
1.7000000000000002,0.03,False,4758,cyclic,False,9.269502723021267e-07,0.48028143538003887
4.2,0.54,True,3048,random,False,9.703707949502653e-07,0.3477130591452584
8.700000000000001,0.79,False,730,cyclic,True,2.6022540125804556e-07,0.8426425783524291
0.8,0.24,True,2528,cyclic,False,4.6750215336387075e-08,0.3477130591452584
7.4,0.56,False,4078,cyclic,True,1.944829006390306e-07,0.8426425783524291
0.4,0.44,True,3972,cyclic,True,6.87642026095421e-07,0.3477130591452584
3.0,0.36,False,1292,random,True,2.6443618165048347e-07,0.8426425783524291
4.3,0.6,False,843,random,True,5.907435277428236e-07,0.8426425783524291
6.9,0.92,True,3144,random,True,8.573362694156662e-07,0.3477130591452584
2.9000000000000004,0.35000000000000003,False,686,cyclic,False,3.520135538906036e-07,0.8426425783524291
6.9,0.29,False,644,random,True,4.5249383304657414e-07,0.8426425783524291
8.9,0.5700000000000001,False,1023,random,True,1.7814911606507483e-07,0.8426425783524291
9.0,0.88,False,3009,cyclic,True,4.465802954828939e-07,0.8426425783524291
5.7,0.98,False,4081,random,True,4.321316183511582e-07,0.8426425783524291
7.7,0.28,False,1171,random,False,7.820933094648542e-07,0.8426425783524291
8.9,0.24,False,4520,cyclic,True,3.230584520137851e-07,0.8426425783524291
5.1000000000000005,0.8300000000000001,True,4595,cyclic,False,1.7950538585257467e-07,0.3477130591452584
3.7,0.48,True,1480,cyclic,False,1.3780950645776738e-07,0.3477130591452584
6.800000000000001,0.26,True,3088,cyclic,False,1.854783360757062e-07,0.3477130591452584
9.5,0.84,False,4743,cyclic,False,2.4825980497947015e-07,0.8426425783524291
4.0,0.63,False,3810,random,True,2.0495406252868055e-07,0.8426425783524291
5.4,0.98,False,2275,random,False,9.344756364369744e-07,0.8426425783524291
4.7,0.16,False,2465,cyclic,False,2.962109479871831e-07,0.8426425783524291
6.7,0.02,False,4789,cyclic,False,5.030233748623607e-07,0.6929766949897741
8.200000000000001,0.5,False,3321,random,False,4.303527506316062e-07,0.8426425783524291
0.9,0.15,True,2184,random,False,3.724155391766369e-07,0.34730791085596985
1.4000000000000001,0.71,True,3843,cyclic,False,7.548772341931636e-07,0.3477130591452584
3.8000000000000003,0.86,True,3972,random,True,7.938267232460833e-07,0.3477130591452584
8.9,0.11,True,2170,cyclic,True,2.4433576705978176e-07,0.3477130591452584
4.9,0.35000000000000003,True,3196,cyclic,False,2.712568099390503e-07,0.3477130591452584
4.3,0.32,True,1767,cyclic,True,1.0161453001767211e-07,0.3477130591452584
6.1000000000000005,0.07,True,1577,random,False,6.935559422325241e-07,0.3477130591452584
8.6,0.14,True,3670,cyclic,True,7.314125514471487e-07,0.3477130591452584
6.300000000000001,0.42,False,4428,random,True,9.350612395990784e-07,0.8426425783524291
2.0,0.8,False,2154,random,False,6.18922430903626e-07,0.8426425783524291
7.6000000000000005,0.96,True,3990,random,False,3.964387731142433e-07,0.3477130591452584
9.9,0.28,False,4206,cyclic,False,5.89125434320846e-07,0.8426425783524291
6.7,0.53,True,3673,random,False,1.3695635838196705e-07,0.3477130591452584
9.4,0.9,True,4530,cyclic,False,1.720301022267979e-07,0.3477130591452584
6.300000000000001,0.96,True,560,random,False,2.2548393336164292e-07,0.3477130591452584
8.5,0.68,True,2003,random,True,3.299841744917068e-07,0.3477130591452584
8.8,0.62,False,1509,random,False,9.097869974492748e-07,0.8426425783524291
0.5,0.54,True,3039,cyclic,True,6.90961701726175e-07,0.3477130591452584
2.2,0.91,False,2129,random,False,2.1733038793574173e-07,0.8426425783524291
9.5,0.88,True,3742,cyclic,True,8.575705678295104e-07,0.3477130591452584
6.800000000000001,0.46,True,816,random,False,3.065211339157511e-07,0.3477130591452584
7.2,0.02,False,3679,random,False,4.5285898407397516e-07,0.7047872633495883
3.0,0.74,False,678,random,False,7.586509520712366e-07,0.8426425783524291
9.9,0.62,True,1623,cyclic,True,5.703778688333713e-07,0.3477130591452584
2.7,0.89,True,2241,random,True,9.752588056023168e-07,0.3477130591452584
8.8,0.58,True,2770,random,False,1.2009672442129172e-08,0.3477130591452584
0.5,0.86,True,1750,random,False,3.44972676348125e-07,0.3477130591452584
0.7000000000000001,0.56,True,1982,cyclic,False,4.545929477022546e-07,0.3477130591452584
0.1,0.56,True,4398,cyclic,True,2.0675841351345265e-07,0.2577543818065076
2.7,0.1,True,2917,cyclic,False,8.680871696777646e-07,0.3477130591452584
0.4,0.75,False,858,random,True,5.496543352472308e-07,0.6001010804546419
0.8,0.37,False,3356,cyclic,True,6.881232590100565e-07,0.6379881786203688
5.2,0.7000000000000001,False,2862,cyclic,False,4.3927077413098617e-07,0.8426425783524291
9.5,0.58,False,3369,random,True,1.8117241152060753e-07,0.8426425783524291
10.0,0.15,False,3661,random,False,8.001314654270088e-07,0.8426425783524291
4.5,0.72,True,1155,cyclic,True,3.927627437261213e-07,0.3477130591452584
9.0,0.75,False,4757,cyclic,True,7.768552595350269e-07,0.8426425783524291
7.4,0.53,False,955,random,True,9.697622777724717e-07,0.8426425783524291
6.6000000000000005,0.8300000000000001,False,4121,random,False,4.9183621252005795e-08,0.8426425783524291
0.4,0.63,False,1552,cyclic,True,2.393046085854541e-07,0.5355062712821156
1.7000000000000002,0.7000000000000001,True,796,cyclic,True,9.988111950588835e-07,0.3477130591452584
4.1000000000000005,0.5700000000000001,False,584,random,False,8.46319627844877e-07,0.8426425783524291
7.0,0.24,True,946,cyclic,True,6.304477294768446e-07,0.3477130591452584
2.7,0.12,True,755,random,True,8.087526753312322e-07,0.3477130591452584
7.800000000000001,0.39,False,1515,cyclic,True,8.819726119639646e-07,0.8426425783524291
4.1000000000000005,0.59,False,1471,cyclic,True,9.396968502817823e-07,0.8426425783524291
5.2,0.5,False,4529,random,False,8.150540855196462e-07,0.8426425783524291
8.200000000000001,0.64,False,1424,random,False,8.29841664511074e-07,0.8426425783524291
9.700000000000001,0.2,True,995,cyclic,True,2.5655782362501286e-07,0.3477130591452584
4.4,0.8,True,530,cyclic,False,3.041026958486846e-08,0.3477130591452584
8.5,0.51,True,1942,cyclic,True,4.33756126949446e-07,0.3477130591452584
5.5,0.76,False,1166,random,True,4.058733708465361e-07,0.8426425783524291
5.7,0.56,False,3068,cyclic,True,5.657534233566383e-07,0.8426425783524291
9.200000000000001,0.29,True,1450,random,True,7.690800253739619e-07,0.3477130591452584
7.7,0.19,True,901,cyclic,True,9.610028301575512e-07,0.3477130591452584
0.6000000000000001,0.7000000000000001,True,3756,cyclic,True,7.053147728378566e-07,0.3477130591452584
6.6000000000000005,0.36,True,3162,cyclic,False,1.5999840448689962e-07,0.3477130591452584
1.4000000000000001,0.2,True,1635,random,False,5.863602717988129e-07,0.3477130591452584
8.8,0.22,True,4941,cyclic,True,7.122767678189782e-07,0.3477130591452584
4.800000000000001,0.59,False,3293,random,True,1.606194435203818e-07,0.8426425783524291
4.6000000000000005,0.32,False,2419,random,True,4.165843104384512e-07,0.8426425783524291
2.7,0.54,True,4935,random,False,1.0243411236700443e-07,0.3477130591452584
2.8000000000000003,0.54,False,2975,random,False,2.6978836480019814e-07,0.8426425783524291
3.3000000000000003,0.11,True,3541,random,False,7.624570136895926e-07,0.3477130591452584
0.9,0.07,False,692,random,False,1.0906885812818117e-07,0.42746116318741817
4.4,0.02,False,607,random,False,6.036248798811653e-07,0.6201778141737736
1.4000000000000001,0.93,True,2682,random,False,9.478913077884044e-08,0.3477130591452584
8.0,0.65,False,2408,random,False,3.994324853148823e-07,0.8426425783524291
3.6,0.27,True,2728,cyclic,True,7.641960000133043e-07,0.3477130591452584
4.6000000000000005,0.22,True,2781,random,True,5.743757313042294e-07,0.3477130591452584
2.1,0.97,True,2767,cyclic,False,5.811027343479026e-07,0.3477130591452584
0.2,0.9500000000000001,False,1081,cyclic,True,4.0326819564112374e-07,0.41199665238073163
2.6,0.98,True,3414,random,True,1.5481211370573248e-07,0.3477130591452584
7.800000000000001,0.96,False,2261,random,True,7.029448376520631e-07,0.8426425783524291
9.8,0.03,False,1946,random,False,3.9134382440531226e-07,0.7897314496557833
5.5,0.32,False,4591,random,True,7.336732402478853e-07,0.8426425783524291
3.1,0.98,False,4177,cyclic,False,6.094945311401608e-08,0.8426425783524291
8.700000000000001,0.75,False,3194,cyclic,True,9.591868616967188e-08,0.8426425783524291
8.3,0.79,True,1751,cyclic,False,3.3658772314971045e-07,0.3477130591452584
6.2,0.23,False,1633,cyclic,True,2.299911332159005e-07,0.8426425783524291
3.8000000000000003,0.78,True,2099,random,False,8.844070826388443e-07,0.3477130591452584
6.1000000000000005,0.12,False,743,random,False,2.1991203048676648e-08,0.8426425783524291
