Alpha,Max_iter,Tolerance,fit_intercept,positive,warm_start,selection,Error-
66,4800,0.01,True,False,False,random,0.2881174214581352
6,800,0.1,True,True,False,cyclic,0.5923656141384664
71,3800,0.1,False,True,False,random,0.612383783406566
11,4300,1e-08,True,True,False,random,0.5924649027809655
46,300,9.999999999999999e-06,True,True,True,cyclic,0.593163563813024
76,4800,1e-06,False,False,False,cyclic,0.45764597434099075
26,3800,0.1,True,True,False,random,0.5927627687084637
51,1300,9.999999999999999e-05,True,True,True,cyclic,0.5932639005521649
86,1800,1e-07,True,True,False,random,0.5939713551624337
61,3800,1e-08,False,True,True,random,0.6118358024825987
61,800,1e-08,False,False,True,random,0.45789027370653956
86,300,0.01,True,False,False,random,0.2885594389711378
31,2800,9.999999999999999e-05,True,True,True,random,0.5928625535956192
66,2800,9.999999999999999e-06,False,False,False,random,0.45772836646436416
71,300,0.01,True,False,True,random,0.3032130461620077
61,3800,1e-08,False,True,True,cyclic,0.6118358347050816
96,1800,0.01,False,False,True,random,0.46969840458768675
21,3800,9.999999999999999e-05,True,True,True,random,0.5926634800658216
41,1800,0.001,False,True,False,random,0.6124684823133266
76,1800,0.1,False,True,True,random,0.6159771684364335
1,3800,0.1,True,False,True,cyclic,0.29455580811645893
71,1300,9.999999999999999e-06,False,False,False,cyclic,0.4576523149496128
1,300,9.999999999999999e-05,True,True,False,cyclic,0.5922663254958245
56,4300,1e-06,False,True,False,cyclic,0.6120184676971289
11,2300,1e-07,True,True,True,random,0.5924649027809655
16,4800,0.001,True,True,True,random,0.5925641914233222
76,3800,1e-06,False,True,True,cyclic,0.6115790500050292
86,1800,9.999999999999999e-05,True,True,False,random,0.5939724943254021
56,1800,9.999999999999999e-05,False,False,False,cyclic,0.45806880746950995
51,4300,9.999999999999999e-05,False,True,False,random,0.6122065376282626
56,1800,0.1,True,True,True,random,0.5933642372913059
96,3300,0.01,False,True,True,cyclic,0.6112907072099902
71,1300,9.999999999999999e-06,True,True,False,random,0.5936656953425434
31,1800,0.001,False,False,True,cyclic,0.45958324948441437
36,800,0.001,False,True,True,cyclic,0.6130857744101632
71,2800,1e-07,False,False,True,random,0.45765251209091334
26,2800,9.999999999999999e-06,True,True,True,random,0.5927627689296251
61,3800,1e-06,True,False,True,cyclic,0.288130043372507
71,1800,0.01,True,False,True,random,0.2881160973906376
61,3300,0.001,False,False,False,random,0.4581306677819045
6,3800,0.001,False,True,True,cyclic,0.6164652091974663
1,2300,0.01,True,False,False,random,0.294564723204244
46,3800,1e-07,False,True,True,random,0.6125060015329907
71,3800,1e-06,False,True,False,cyclic,0.6115897171282905
26,1300,1e-07,False,False,True,cyclic,0.46004699748292643
71,4800,0.01,True,True,False,random,0.5936656958225727
26,2300,1e-07,True,True,False,cyclic,0.5927627687083209
21,4800,1e-07,True,False,False,random,0.2871182992337339
36,2800,1e-06,True,True,True,cyclic,0.592962890334741
96,300,0.1,False,True,False,cyclic,0.6081568104819445
61,4300,1e-08,True,True,True,cyclic,0.5934645740304477
11,300,9.999999999999999e-06,True,True,False,random,0.592464902780823
61,2300,0.1,True,True,True,cyclic,0.593464574030591
56,4300,1e-07,True,False,True,random,0.28820591366980974
16,1300,0.01,False,True,True,cyclic,0.6149895349453355
21,1800,0.1,True,True,False,cyclic,0.5926634800659644
86,2800,9.999999999999999e-05,False,False,True,cyclic,0.4577239704981902
96,1800,0.1,True,True,True,cyclic,0.5941760906327985
11,4800,0.001,True,False,False,random,0.289763506943054
16,4800,9.999999999999999e-06,True,True,False,cyclic,0.5925641914233222
21,3800,1e-08,False,True,False,cyclic,0.6145339658536266
16,3800,0.1,True,True,False,cyclic,0.5925641914234651
56,800,9.999999999999999e-06,False,True,False,random,0.6120162717881945
61,300,1e-06,False,True,True,random,0.6118359487535552
76,3300,0.1,False,False,True,random,0.5031847493421809
16,2800,0.001,True,False,False,cyclic,0.2881419948231281
6,3300,1e-07,True,True,False,random,0.5923656143600234
36,1800,1e-07,True,False,True,random,0.2892357798466674
26,1300,9.999999999999999e-06,False,False,True,cyclic,0.46004713418275855
26,2800,9.999999999999999e-05,False,True,True,random,0.6139795036323799
56,1800,0.1,False,True,False,cyclic,0.6107315619987598
36,2800,0.001,True,True,False,random,0.592962890334741
56,1300,0.01,True,True,True,random,0.5933642375192738
81,3800,0.1,True,False,False,random,0.2883228622907921
76,2300,1e-07,True,True,True,random,0.5937670958683858
96,1800,0.001,False,True,True,random,0.6123317389356341
56,4800,1e-07,True,True,False,cyclic,0.5933642372913059
36,800,1e-07,False,False,False,cyclic,0.4591662617741439
51,2300,0.001,False,False,False,cyclic,0.45830106849773355
36,300,1e-07,False,True,True,cyclic,0.6131325857627035
76,3800,9.999999999999999e-06,True,True,False,random,0.5937670953898024
31,3300,1e-08,False,False,True,random,0.45956689171314125
46,2300,0.001,False,False,False,random,0.46055593605790557
26,3800,0.01,True,True,True,random,0.5927627687083391
51,300,0.1,True,False,False,cyclic,0.2883415071911235
96,800,0.1,True,False,False,random,0.3032842055973528
31,3300,9.999999999999999e-05,False,True,True,cyclic,0.6135349317095166
26,1300,0.01,False,False,True,cyclic,0.46023954735423406
46,3800,0.1,True,False,True,random,0.2884850173647009
71,1800,1e-08,False,True,False,random,0.6115897937172926
41,1300,1e-06,False,False,False,random,0.4588356894166372
61,4300,1e-06,True,False,True,random,0.28813008515698085
76,4800,9.999999999999999e-06,True,False,True,cyclic,0.28818011195822923
71,3800,1e-07,True,True,False,random,0.5936656951065077
91,2300,0.01,False,False,False,cyclic,0.4577169743080212
26,2800,0.001,False,False,True,cyclic,0.46007358397932735
86,2300,0.01,True,False,True,random,0.3032253468551281
96,800,1e-06,True,True,False,random,0.5941760906326525
76,4800,0.001,False,False,False,random,0.4597088028225065
31,2800,9.999999999999999e-06,True,True,True,random,0.5928625535957437
71,2800,0.01,True,True,False,cyclic,0.593665695106652
66,4800,9.999999999999999e-06,True,True,True,cyclic,0.5935649107695891
31,4800,1e-06,True,False,True,cyclic,0.28782050655139096
61,2300,0.1,False,True,True,random,0.6283518618238431
31,800,9.999999999999999e-06,False,False,False,random,0.45956773084883984
26,3300,9.999999999999999e-05,True,True,True,random,0.5927627694253521
36,2800,0.01,False,False,False,random,0.4663168926533895
81,300,0.01,True,False,True,cyclic,0.2883231325199516
