Alpha,Max_iter,Tolerance,fit_intercept,positive,warm_start,selection,Error-
71,6600,0.1,False,True,True,random,2041.1516194099727
31,600,1e-06,True,True,False,random,1551.0013988391606
36,1600,1e-06,False,False,True,random,1803.3613866958276
66,6600,0.1,False,True,False,cyclic,1990.347368867106
36,2600,0.01,False,False,False,cyclic,1803.3534827484182
11,7100,0.01,True,False,False,random,1223.491244682993
11,2100,9.999999999999999e-05,True,True,False,cyclic,1549.7367104976818
56,2100,0.001,True,True,True,random,1552.671852539693
1,6600,1e-07,True,True,False,cyclic,1549.109177668388
6,6100,0.001,True,False,False,cyclic,1223.3845664026971
21,1600,9.999999999999999e-05,True,True,True,cyclic,1550.364243326975
66,5100,0.01,False,True,False,random,1974.5684926184217
11,3100,1e-07,False,False,True,random,1803.3721910430095
16,2100,9.999999999999999e-06,True,True,False,cyclic,1550.050476912329
11,2600,0.01,True,True,True,cyclic,1549.7367104980242
66,9600,1e-07,True,True,False,cyclic,1553.3400292352094
76,3600,0.01,True,True,False,random,1554.0620047638681
31,8100,9.999999999999999e-05,False,False,True,random,1803.2956489925277
61,2600,1e-06,True,True,True,cyclic,1553.0059391785776
86,4100,1e-08,False,True,True,cyclic,1963.7480034764071
76,5600,9.999999999999999e-05,True,False,False,random,1229.4984452576564
66,4100,0.1,True,False,True,random,1229.0925043050854
61,4600,0.1,True,False,True,random,1227.7293269744162
81,7100,1e-08,True,True,True,random,1554.4001255668782
51,2600,0.001,True,False,False,random,1227.2147210186208
46,9600,0.01,True,True,False,random,1552.003672429498
36,2600,1e-07,True,False,True,cyclic,1225.994244283066
76,3100,0.01,False,True,False,cyclic,1963.2875614402556
31,5600,1e-08,True,False,False,cyclic,1225.18703220207
81,8600,9.999999999999999e-06,True,False,False,random,1230.0543020577256
6,9100,0.001,False,True,False,cyclic,1962.9639653924257
36,8100,1e-06,False,False,True,cyclic,1803.361876679787
41,7100,9.999999999999999e-06,True,True,True,random,1551.669578952334
81,5100,0.1,False,False,False,random,2002.2967400819505
21,1100,0.01,True,False,False,random,1223.9363781088587
96,3600,1e-08,True,True,False,cyclic,1555.5064994327556
81,8600,1e-08,False,True,True,random,1963.6342775329742
31,3600,1e-06,False,True,False,cyclic,1962.9558604910192
91,100,0.001,False,True,False,cyclic,1963.8177870307516
36,100,9.999999999999999e-06,False,True,True,random,1962.9656294484528
36,8600,0.01,True,False,False,cyclic,1225.9941640532081
