N_estimators,max_features,Max_depth,Min_samples_leaf,Min_samples_split,bootstrap,Error-
106,,55.0,19,5,False,331.84653434508084
135,,191.0,30,20,True,447.50863116774747
279,sqrt,226.0,24,19,True,727.2253016098367
271,,234.0,40,7,True,554.0499204470797
235,sqrt,234.0,45,2,False,859.8769977075146
525,log2,96.0,26,18,True,751.9042256053383
291,,54.0,24,3,False,329.6052004648651
200,,294.0,24,7,True,348.5599001178344
696,log2,121.0,29,13,True,821.4154194696744
548,sqrt,53.0,42,16,True,962.4197157472328
486,,89.0,38,8,True,542.2938531884075
167,sqrt,103.0,1,3,False,317.8281103221071
214,,6.0,29,2,True,440.29368297615576
309,,40.0,18,9,False,325.9607873171813
676,,173.0,46,9,True,568.7202906082263
116,sqrt,154.0,32,7,True,874.2890754590262
782,,81.0,44,5,True,566.3041660070509
534,sqrt,256.0,14,3,True,593.9219554175215
618,,127.0,32,2,True,476.3742088885404
307,sqrt,185.0,27,2,False,670.2453219287497
596,sqrt,173.0,34,8,True,870.7525281109341
527,,190.0,10,19,True,291.7254597873445
687,sqrt,280.0,5,9,True,400.6070910044818
755,sqrt,277.0,5,20,False,399.12604590755177
486,log2,7.0,43,4,False,814.6733091062121
341,sqrt,258.0,4,5,True,380.3177828139936
291,log2,265.0,32,16,True,839.4785305819134
330,sqrt,83.0,6,11,True,418.71131723493176
405,log2,219.0,27,9,False,682.527305176962
571,,207.0,6,15,False,276.1082331304106
54,log2,212.0,34,9,True,881.9964076438979
272,sqrt,15.0,10,17,False,455.3900848268868
195,log2,87.0,8,2,True,479.9405473074012
760,log2,141.0,46,11,False,862.4190612162633
294,sqrt,122.0,50,18,False,919.5214268670402
658,,206.0,30,20,True,448.4165431168719
599,log2,288.0,48,16,True,1026.8056962733838
539,log2,248.0,28,5,True,799.1594042714468
103,,167.0,50,18,False,502.3502137802704
781,,204.0,3,13,True,242.53204341924032
166,sqrt,259.0,6,12,False,381.1212473203676
267,log2,56.0,9,3,True,482.8345560670206
257,log2,9.0,48,6,False,898.107988795841
473,,26.0,6,15,True,267.28168413623786
800,log2,2.0,7,4,False,1267.8542149433356
474,,118.0,42,3,False,488.19334161786713
336,,129.0,47,20,True,570.049175255786
203,log2,167.0,42,10,True,971.5256528082128
135,,59.0,20,6,False,328.43441348085565
20,log2,41.0,9,4,False,414.088376601073
364,,42.0,5,16,True,261.4901124063102
780,log2,142.0,44,9,False,836.7071937187882
231,log2,48.0,49,4,False,917.6389422799792
458,sqrt,210.0,20,17,False,558.6875454358028
378,sqrt,201.0,33,12,False,746.409682211034
610,,248.0,40,5,False,383.2445956008706
754,,202.0,11,14,True,296.5697307395145
30,,268.0,48,16,True,575.1372153422558
753,log2,131.0,22,17,True,705.0091134970792
32,sqrt,145.0,45,3,True,989.3466862438864
363,sqrt,182.0,5,7,True,403.5144881065272
197,,196.0,14,13,False,322.5571941485412
615,sqrt,274.0,14,10,True,587.0480535110177
639,,281.0,33,9,False,354.0578729274924
531,,145.0,8,15,True,279.9782680341996
651,,186.0,31,9,True,463.8084046002366
191,sqrt,149.0,24,20,False,643.6326175187141
534,log2,89.0,19,14,True,661.6775157948479
206,sqrt,239.0,38,18,True,924.8493896578152
402,,83.0,8,14,False,309.5241905169917
398,sqrt,212.0,8,15,False,424.0876392882548
742,log2,84.0,21,9,True,698.6694434635407
539,log2,119.0,17,19,True,619.5893690576372
743,log2,31.0,27,11,False,669.9854173426108
792,,256.0,11,12,False,306.1982897980822
262,sqrt,107.0,39,15,True,929.240200605332
447,sqrt,146.0,43,5,True,975.2536848052724
138,log2,171.0,32,7,False,751.0983231035505
301,,148.0,36,20,False,373.3235823728625
35,,233.0,31,10,True,475.0539591485547
90,,180.0,28,7,False,341.350405671692
354,,234.0,30,19,False,334.36153222792126
527,,22.0,43,7,True,564.6662359996697
496,,237.0,44,11,True,566.5339374476818
662,sqrt,156.0,1,8,False,323.1885502390219
619,log2,129.0,39,12,False,768.7110384748502
685,log2,161.0,26,18,False,665.6602899826465
366,,94.0,23,2,True,333.96874967125297
634,sqrt,146.0,42,16,False,811.3554560534974
691,log2,34.0,31,3,False,727.1114300185787
271,log2,186.0,32,2,False,722.1151908861848
415,sqrt,47.0,13,15,False,494.61423913203686
525,sqrt,11.0,20,13,True,679.4283529810122
377,log2,258.0,47,3,False,896.4559309809046
532,log2,290.0,32,18,True,839.9741209738718
236,log2,13.0,45,18,False,861.4127662226538
252,,44.0,11,19,True,296.695990528019
582,log2,102.0,44,17,True,979.8222924038369
407,log2,55.0,33,17,False,747.1889104825777
724,sqrt,119.0,35,14,True,890.4255032679216
401,log2,44.0,26,10,True,758.9976437853643
600,,202.0,46,11,False,496.26108573386784
28,sqrt,239.0,33,2,False,684.0012913164693
173,,179.0,41,11,False,488.1933416178682
258,sqrt,78.0,32,17,True,832.0054012160539
597,,177.0,33,5,False,354.05787292749204
669,log2,103.0,37,9,False,753.9823851088202
356,sqrt,119.0,45,14,False,851.8213458859107
665,sqrt,185.0,27,7,True,785.4558511669474
724,,98.0,28,12,False,341.35040567168966
592,sqrt,18.0,45,19,False,837.6137918864476
642,sqrt,135.0,21,6,True,700.2546886470042
768,sqrt,229.0,8,10,False,423.5639844469677
469,,292.0,13,3,True,304.4185406904396
141,,136.0,20,11,False,328.4344134808556
25,log2,14.0,22,13,True,664.4903059264753
390,log2,278.0,50,9,True,1059.1430473515484
747,log2,72.0,20,16,False,568.8887256627931
522,,22.0,41,4,True,558.7596864496145
142,log2,24.0,17,8,True,639.7591974105646
688,,87.0,13,4,True,304.536827112275
665,sqrt,198.0,19,17,False,566.5873402842778
550,,282.0,49,17,False,498.467470527604
667,sqrt,151.0,19,19,False,566.2171154428138
606,,48.0,32,16,False,352.31651605016884
675,sqrt,207.0,22,12,True,709.6341447269472
511,log2,111.0,13,17,False,492.7666275931281
109,sqrt,197.0,11,16,True,539.591432767182
449,sqrt,87.0,39,9,True,936.5640069861208
479,sqrt,25.0,39,3,False,768.7379801741866
443,,246.0,37,5,False,375.4192398319804
420,,275.0,43,8,True,564.7711354516169
12,sqrt,113.0,17,17,True,735.6612286046098
113,log2,74.0,37,16,False,779.8067308437843
98,sqrt,77.0,43,5,True,1011.9211020214505
277,log2,180.0,15,3,False,513.0659334038801
690,log2,292.0,34,11,False,748.0175461535832
710,log2,208.0,14,5,False,497.0050822897845
470,log2,102.0,32,20,False,730.9811379269181
113,sqrt,120.0,10,13,True,521.8627336420199
275,sqrt,10.0,48,9,False,897.8181689949832
488,log2,149.0,23,5,False,628.5032549826628
84,log2,57.0,22,17,False,628.093528775111
518,,141.0,31,11,False,346.2949837749986
636,,68.0,49,14,True,572.3070590037667
196,,204.0,21,20,True,322.1800828144488
798,sqrt,216.0,30,2,False,716.0941746437984
631,sqrt,51.0,8,17,True,468.4029686598507
484,,215.0,39,3,True,547.775980895012
90,log2,93.0,41,15,True,967.3710879570228
193,,29.0,41,7,True,557.7838872005302
243,sqrt,185.0,32,13,True,842.0179168673228
398,,296.0,7,15,False,280.9298855779709
546,log2,13.0,35,13,False,749.4222400175436
376,sqrt,253.0,31,5,True,834.1394390361575
773,log2,223.0,20,3,False,569.8827335670128
141,,284.0,6,5,True,266.59308930597297
508,log2,194.0,4,11,False,358.8271817175207
792,sqrt,27.0,31,4,False,726.7872001934877
481,sqrt,15.0,26,6,False,669.1193979343594
532,,234.0,15,13,True,310.18802341118163
40,,212.0,41,10,False,488.1933416178666
728,,3.0,10,13,True,497.4598234760316
513,sqrt,257.0,42,3,False,813.7586583525724
480,sqrt,206.0,7,15,True,448.0847551932836
576,log2,130.0,15,3,False,508.4905125639374
392,log2,83.0,50,7,True,1058.5281254976817
258,sqrt,21.0,49,20,False,902.2750089734706
143,sqrt,133.0,16,20,False,534.5251411039
358,sqrt,254.0,27,9,True,775.2643270643498
273,log2,291.0,25,14,True,731.3928408282109
407,,246.0,5,6,True,254.6430460814969
580,,82.0,35,18,True,513.270723392132
347,sqrt,27.0,6,9,True,418.97894427383625
157,log2,177.0,4,2,False,363.2225952254673
229,sqrt,232.0,39,3,False,770.1374413547836
119,log2,137.0,25,4,True,749.7583687079169
