N_estimators,max_features,Max_depth,Min_samples_leaf,Min_samples_split,bootstrap,Error-
406,sqrt,63,12,11,True,544.8827730656484
725,log2,292,18,6,True,643.0765078744963
594,log2,149,4,20,False,396.1752394785809
222,sqrt,207,18,7,False,558.341088842524
279,log2,156,43,15,True,968.2379610701537
693,log2,66,12,11,True,535.3512021542696
144,sqrt,57,50,8,False,949.5463946792535
418,sqrt,113,22,18,False,618.0977703368375
528,log2,12,37,7,False,747.2164099775625
683,,106,38,10,True,542.35713471925
180,log2,195,8,19,True,474.8816934968408
39,sqrt,67,28,9,False,680.0288480799593
177,,128,19,7,False,331.84653434508016
185,log2,232,28,7,False,682.8485698441876
799,,246,40,10,False,383.2445956008681
412,,223,19,8,False,331.84653434507885
62,sqrt,235,36,7,False,769.3872389283334
556,,66,37,14,False,375.4192398319782
365,log2,227,40,4,True,941.6554222636933
430,log2,133,19,6,False,571.1326767311916
96,,55,14,20,False,322.5571941485419
414,sqrt,127,19,10,True,674.3461054939711
491,sqrt,202,2,16,False,363.21083777903914
482,log2,95,32,9,False,734.0944207657818
202,sqrt,22,33,18,False,744.9801323333406
612,log2,277,23,11,False,626.1273209069541
487,log2,15,1,2,True,302.0805003735354
574,sqrt,217,11,13,False,463.9914811064112
157,sqrt,151,3,20,True,417.65102781623204
482,log2,179,50,17,False,908.4937155917689
131,,252,45,16,True,566.9904879398727
685,sqrt,258,39,11,False,776.2542926096224
312,sqrt,191,39,3,False,768.0219672568993
739,sqrt,75,44,6,False,837.0524138721364
761,,184,17,15,True,315.2611587360626
579,log2,218,50,15,True,1045.001993937197
184,log2,190,38,19,False,775.6391566013103
583,log2,154,35,6,True,884.152497971338
554,,83,4,11,True,241.64928299048313
771,,264,15,18,False,317.3247153263412
605,,10,10,7,False,305.2258245411561
764,sqrt,167,5,14,False,381.4262011583741
546,log2,192,17,5,False,551.9063446127652
727,sqrt,134,36,16,True,903.4102036909906
119,sqrt,45,31,2,True,845.2097265112384
755,log2,121,35,18,False,750.9945886045209
281,sqrt,298,15,3,True,590.3770466778786
565,log2,161,6,20,True,444.16487891887044
537,,97,37,4,False,375.41923983197836
625,,66,10,20,False,305.01628625744434
303,log2,280,4,2,False,359.32568792877134
761,sqrt,212,22,11,True,706.59446234451
327,sqrt,277,40,9,False,785.3257511115913
615,sqrt,74,9,5,False,435.9397276906384
302,log2,126,19,2,True,674.7707991414751
713,,213,11,12,False,306.19828979808227
191,,146,43,16,True,563.5418682958717
761,sqrt,167,47,6,False,886.0159378886631
230,log2,242,6,7,True,421.4412719843049
662,sqrt,41,24,8,True,737.1474378007906
225,sqrt,294,19,11,False,558.8535947354412
24,,256,47,7,False,500.59117807239085
441,sqrt,158,47,6,True,1022.6205987168664
751,sqrt,79,30,17,False,715.2401932545171
661,sqrt,121,13,7,True,562.5265484952408
179,,143,15,5,False,317.3247153263476
106,log2,26,21,7,False,594.5068436398006
544,,277,34,16,False,356.2636806208453
531,sqrt,240,46,2,True,1005.3928985429069
680,,96,13,9,True,304.55976248073335
292,sqrt,193,28,18,True,790.4331110751368
397,sqrt,152,20,6,True,694.2590064237121
468,sqrt,262,33,3,False,742.7073506179704
689,sqrt,180,21,9,False,589.1331452635246
156,,129,40,3,False,383.2445956008741
735,sqrt,276,47,20,True,1025.4134386974629
724,log2,7,16,18,False,548.8334592007823
171,sqrt,253,22,18,False,620.1305935457167
184,log2,171,22,17,True,728.9235059861879
799,sqrt,49,50,14,False,904.6707283215544
55,log2,57,11,2,True,540.2576900572943
402,,109,11,11,True,296.84469770239514
695,log2,24,38,6,False,764.8893138862867
551,log2,154,41,9,False,804.1403641280034
42,,140,16,17,True,312.3713222308875
653,,173,31,8,True,463.7509744500237
253,sqrt,220,14,9,True,622.5399241495325
