Alpha,L1_ratio,fit_intercept,Max_iter,selection,warm_start,Tol,Error-
8.8,0.03,False,4764,random,False,3.423702049266627e-07,2178.981216094608
7.2,0.75,True,1928,random,True,1.3528162816426137e-07,1281.356561888825
8.700000000000001,0.36,False,2997,random,False,8.818243404582011e-07,2054.800001633382
2.7,0.44,True,1890,random,False,4.657843268669204e-07,1274.1623427182428
4.9,0.53,False,1808,cyclic,True,5.623308533298152e-07,1901.6731314483736
8.4,0.5,False,778,random,True,9.312062160984313e-08,1992.6617340805028
9.0,0.35,True,3942,cyclic,False,4.063727694766604e-07,1355.7410671324412
3.4000000000000004,0.89,False,2760,cyclic,False,6.865118648172735e-07,1811.294797595546
6.0,0.79,False,4850,random,False,6.355760414809575e-07,1848.458363215139
7.7,0.7000000000000001,False,641,random,True,5.066589065687351e-08,1902.1391890627376
8.6,0.44,True,1948,cyclic,False,2.2114707651690937e-07,1340.9554397000588
7.7,0.1,False,1625,cyclic,False,6.907700710114448e-08,2113.033623746
5.9,0.78,False,2906,random,False,8.341001597823958e-07,1850.2437487404293
5.1000000000000005,0.5,False,536,cyclic,True,5.308601146106736e-07,1914.5592667817768
7.6,0.46,False,1068,random,True,7.795333867094538e-07,1988.2739411571104
1.8,0.06,True,4836,random,False,7.813930463834932e-08,1278.5672414804328
7.6,0.51,True,2733,random,False,5.081065914587112e-07,1322.6228787518753
8.1,0.8200000000000001,False,1721,cyclic,True,5.94315675925314e-07,1857.8420587695307
9.7,0.29,False,2387,random,False,7.432377392445141e-07,2111.3419552164487
8.0,0.18,False,1353,random,True,7.351455448922521e-07,2097.659168877851
4.1000000000000005,0.59,False,4735,cyclic,True,6.699700550983406e-08,1868.6216991793508
4.4,0.06,True,1548,random,False,5.353801628505704e-07,1329.7444929110748
10.0,0.74,False,3148,random,False,9.444855811985632e-07,1917.2916105430852
9.8,0.27,False,1003,random,True,4.916299060156642e-08,2122.5210192596705
8.5,0.32,False,688,cyclic,False,7.639299022403379e-07,2064.2523670239098
9.6,0.05,True,854,cyclic,False,8.466817125683971e-07,1392.3236633602364
7.7,0.24,False,1728,random,True,8.630429959612428e-07,2067.372201168305
9.8,0.77,False,3217,random,True,4.656817674474432e-07,1899.2873225101048
2.2,0.48,True,1987,cyclic,True,4.56622794753694e-07,1264.0986789543852
2.4000000000000004,0.9,True,1390,cyclic,False,1.1637185555415293e-07,1232.6754615850923
3.4000000000000004,0.71,False,4853,cyclic,False,8.65389394954435e-07,1835.2330089627208
9.3,0.5700000000000001,True,3930,cyclic,False,2.185275629633409e-07,1327.6985104435173
4.0,0.93,False,2840,cyclic,True,1.0464044554998593e-07,1808.7499898978404
7.9,0.96,True,3804,random,True,5.627561951643311e-07,1235.625425224273
7.1000000000000005,0.05,False,3949,random,True,8.472604994215794e-07,2105.3618505587133
9.3,0.23,True,3540,random,True,3.2050049305354093e-07,1371.848600053641
9.7,0.9,True,770,cyclic,True,3.698575730494979e-07,1259.156218203489
7.0,0.17,False,4997,random,False,9.498304151826908e-07,2065.5012502184954
7.2,0.36,False,2877,cyclic,True,9.769154683590989e-07,2010.7085223502245
3.4000000000000004,0.74,True,3637,random,True,5.717605060908457e-07,1256.0962848173922
4.1000000000000005,0.91,False,2539,random,True,1.685194562642786e-07,1811.1574159414604
0.4,0.51,True,4260,random,True,3.401320880944464e-07,1230.991281968769
2.2,0.99,False,4192,random,True,3.0461663507078533e-07,1803.800525206428
4.1000000000000005,0.0,True,4336,cyclic,True,2.489429566815624e-07,1329.1078073491783
0.1,0.7000000000000001,False,2994,random,True,9.30747016477098e-07,1803.9478358726
2.0,0.62,False,4755,random,True,9.72375784533146e-07,1825.6555157036544
3.9,0.31,False,2128,cyclic,False,1.5173041621755556e-07,1921.641073726717
1.4,0.36,False,614,cyclic,True,1.4463627817121437e-07,1831.2206408651132
9.2,0.44,True,2956,random,True,1.694324555888074e-07,1346.0431895277518
1.6,0.5,True,4945,cyclic,True,3.77139889658826e-07,1253.2383233342186
7.0,0.14,True,3119,cyclic,False,4.3810185720975913e-07,1357.8599829618784
3.8,0.37,True,1898,random,False,3.096815476237899e-07,1294.9282286932544
2.9000000000000004,0.09,True,1183,random,True,2.323616609274957e-07,1300.324124681753
2.1,0.25,True,2047,cyclic,False,9.311805440722628e-07,1275.7250959228154
8.4,0.8300000000000001,False,2460,cyclic,True,3.812278317887898e-07,1856.389737855033
6.0,0.98,True,4313,cyclic,False,1.3657106232056454e-07,1228.1009974343992
6.4,0.26,False,517,random,True,2.457646520042264e-07,2016.692015243996
5.300000000000001,0.33,True,4658,random,True,4.839585148897092e-07,1319.1995968136644
7.300000000000001,0.63,True,3773,random,True,5.519986717038127e-07,1301.9314298885345
1.1,0.53,False,4090,random,False,7.819340388393468e-07,1815.6727725281328
0.3,0.88,True,3527,random,True,3.348888610625525e-07,1224.7815391770512
0.4,0.24,True,1554,cyclic,False,5.6714107896197385e-08,1235.0139136657965
2.7,0.9,False,4671,random,False,3.711574193421318e-07,1808.4827003446292
7.7,0.85,True,3404,random,True,5.6519172652825604e-08,1264.6600117210949
8.1,0.75,False,4780,cyclic,True,7.083031033738656e-07,1887.2289391262675
5.6000000000000005,0.0,False,1470,cyclic,False,5.323046776606378e-07,2056.101209073209
6.4,0.72,False,3905,cyclic,False,7.424370268502299e-07,1874.734808857921
2.0,0.34,False,4147,cyclic,False,9.19346040650562e-07,1851.1692234678408
8.1,0.35,True,4949,random,False,5.770628078520269e-07,1347.6105559366963
7.2,0.66,False,4213,cyclic,True,7.298936245689761e-07,1909.3540329039104
1.9,0.58,False,4267,cyclic,False,5.54030406672004e-07,1827.1978167806064
7.800000000000001,0.36,False,3729,random,False,3.749868296090178e-07,2028.522236695774
8.0,0.52,True,3843,random,True,7.643198489134051e-07,1324.775801302007
9.3,0.03,False,2874,random,False,9.317081283464104e-07,2197.7531341142885
7.4,0.5700000000000001,False,2826,cyclic,True,8.629607755179911e-07,1945.6784753584388
1.4,0.89,False,2230,random,False,8.351041456698167e-07,1805.9353353296349
4.7,0.25,False,3947,cyclic,False,9.719180356861772e-07,1961.7198561800544
1.6,0.26,True,4650,random,True,9.286110339094172e-07,1265.2440384566703
0.4,0.45,False,3243,random,True,9.55584405403127e-07,1807.265238095327
0.3,0.87,False,1686,cyclic,True,6.01541930089178e-07,1804.0918469393864
7.6,0.55,False,4219,cyclic,True,8.653824634780184e-07,1956.9948502759012
5.7,0.73,False,4926,cyclic,True,5.662696581720515e-07,1861.6630130117028
3.4000000000000004,0.77,True,4869,random,True,6.32398460535503e-07,1252.6845753981595
4.6000000000000005,0.29,True,4490,random,True,2.60434433190739e-07,1313.513792715332
9.3,0.96,True,4522,cyclic,True,4.562609475035475e-07,1237.814662683218
6.800000000000001,0.41,False,4639,random,True,1.1599188059869161e-07,1984.0088046024368
2.5,0.9,False,4082,random,True,1.1531356244976049e-07,1807.9472585775968
2.9000000000000004,0.52,False,1464,cyclic,True,3.395765013940547e-08,1854.5182360850265
2.1,0.2,True,4014,random,True,4.422891548223271e-07,1278.2911797763527
2.3000000000000003,0.8,True,1568,random,False,8.225521155164512e-07,1240.857456207293
2.1,0.34,True,1670,cyclic,False,3.588956316450962e-07,1270.8551702298994
2.0,0.59,False,3445,cyclic,True,7.361955236776956e-07,1828.1035016347887
8.200000000000001,0.56,True,2567,cyclic,True,4.435662079354077e-07,1320.4893521906088
5.4,0.29,True,1627,random,True,4.6239283846754485e-07,1324.490894003783
1.9,0.67,True,3805,random,False,1.997294771411969e-07,1247.1320615472823
3.7,0.16,False,4478,cyclic,True,3.755649007571604e-07,1941.9142391220976
4.800000000000001,0.32,True,4800,random,False,6.002430844035039e-07,1313.4859104157283
7.7,0.51,True,3179,random,False,5.394288174655921e-07,1323.533729952875
0.8,0.0,True,707,random,True,2.460795167134649e-07,1253.2105295203808
7.5,0.35,True,2376,random,False,9.053392972989456e-07,1341.7862312031948
3.4000000000000004,0.99,False,744,cyclic,False,5.484928589800849e-07,1803.985231496366
8.4,0.46,True,4163,random,True,1.646195703735941e-07,1336.5979271282645
8.6,0.9,True,3787,random,True,9.944976048356088e-07,1255.5363338098368
